,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ATL201906130,musgj001,22,47,0,9,3,0,0,0,0,2,0,1,5,4.0
0,SLN201907150,musgj001,37,67,1,5,7,0,1,0,0,3,0,1,4,4.666666666666667
0,PIT201909190,musgj001,30,67,0,5,6,0,1,0,0,2,0,0,2,5.0
0,PIT201808180,musgj001,25,62,1,5,7,0,0,0,0,0,0,0,1,7.0
0,HOU201705260,musgj001,35,67,0,4,6,0,0,0,0,0,0,0,0,7.0
0,HOU201707150,musgj001,31,53,1,8,5,0,0,0,0,2,0,0,2,5.0
0,SEA201704110,musgj001,27,64,0,7,2,0,1,0,0,1,0,1,3,5.0
0,PIT201806170,musgj001,24,47,1,8,6,0,0,1,0,1,0,0,6,4.0
0,PIT201608230,musgj001,24,47,1,8,2,0,0,0,0,0,0,0,5,4.0
0,SDN201806290,musgj001,25,63,0,7,5,0,0,0,0,2,0,0,0,6.666666666666667
0,SLN201905090,musgj001,35,43,0,6,3,0,0,0,0,5,0,0,6,3.0
0,HOU201608290,musgj001,37,57,0,3,7,0,0,0,0,3,0,2,0,5.333333333333333
0,PIT201905250,musgj001,20,64,0,10,1,0,0,0,0,0,0,0,6,5.0
0,ATL201707050,musgj001,16,77,1,5,6,0,0,0,0,0,0,0,4,5.666666666666667
0,CLE201807240,musgj001,23,65,1,5,2,0,0,0,0,1,0,0,2,7.0
0,SLN201809110,musgj001,33,55,0,4,8,0,0,1,0,2,0,0,4,6.0
0,MIA201705150,musgj001,28,60,0,8,5,0,1,0,0,1,0,0,1,5.666666666666667
0,HOU201608070,musgj001,35,64,0,5,6,0,0,0,0,0,0,0,1,7.0
0,HOU201609140,musgj001,27,79,1,5,7,0,0,0,0,2,0,0,3,6.333333333333333
0,PIT201807290,musgj001,32,61,0,5,2,0,0,0,0,1,1,1,1,7.0
0,HOU201704180,musgj001,27,73,2,8,5,0,0,0,0,1,0,0,5,5.0
0,HOU201706180,musgj001,29,61,2,6,7,0,0,1,0,2,0,0,3,5.666666666666667
0,CIN201907300,musgj001,22,57,2,5,4,0,0,0,0,0,0,0,2,6.0
