,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,COL201404040,23,36,6,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,COL201404090,32,34,6,0,0,0,0,2,0,,4,5,7.2,0.0
0,SDN201404150,33,33,3,0,0,0,0,1,0,,2,6,3.0,0.0
0,COL201404200,29,32,5,0,0,0,0,1,0,,4,6,6.0,0.0
0,LAN201404260,39,32,4,0,0,0,0,2,0,,5,5,9.0,1.0
0,COL201405010,38,29,2,0,0,0,0,1,0,,0,7,0.0,0.0
0,COL201405060,36,26,1,0,0,0,0,5,0,,1,5,1.8,0.0
0,CIN201405110,29,30,3,0,0,0,1,1,0,,2,6,3.0,0.0
0,COL201405180,38,28,2,0,0,0,0,1,0,,4,6,6.0,0.0
0,ATL201405240,38,33,5,0,0,0,0,4,0,,0,6,0.0,0.0
0,CLE201405300,35,34,2,0,0,0,0,0,0,,5,5,9.0,0.0
0,COL201406050,31,35,3,0,0,1,0,1,0,,7,6,10.5,0.0
0,COL201406100,26,18,2,0,0,0,0,1,1,,10,4,22.5,0.0
0,SFN201406150,25,22,2,0,0,1,0,4,0,,3,3,9.0,0.0
0,COL201506021,13,15,1,0,0,0,0,0,0,,1,2,4.5,0.0
0,PIT201604060,25,29,7,0,0,0,0,0,0,,1,6,1.5,0.0
0,DET201604120,37,29,4,0,0,1,0,5,0,,4,3,12.0,0.0
0,PIT201604170,34,29,6,0,0,0,0,2,0,,3,6,4.5,0.0
0,ARI201604230,32,39,4,0,0,0,0,4,0,,2,5,3.6,0.0
0,PIT201604290,33,34,8,0,0,0,0,1,0,,0,7,0.0,0.0
0,PIT201605040,33,36,3,0,0,0,0,3,0,,4,5,7.2,0.0
0,CIN201605110,20,20,5,0,0,0,0,0,0,,4,6,6.0,1.0
0,PIT201605170,28,25,6,0,0,0,0,2,0,,3,5,5.4,0.0
0,TEX201605280,32,35,4,0,0,0,0,1,0,,4,5,7.2,0.0
0,MIA201606020,34,34,4,0,0,0,0,2,1,,3,6,4.5,0.0
0,PIT201606072,30,31,7,0,0,1,0,2,0,,1,6,1.5,0.0
0,NYN201606160,30,30,5,0,0,0,0,2,0,,6,5,10.8,1.0
