,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,NYA201504260,niesj001,24,29,1,8,3,0,0,0,0,1,0,0,4,4.666666666666667
0,PHI201406010,niesj001,26,30,1,8,6,0,0,0,0,1,0,0,2,8.0
0,LAN201408220,niesj001,34,34,0,8,4,0,1,0,0,3,0,0,2,6.666666666666667
0,NYN201404180,niesj001,34,33,0,4,7,0,0,0,0,3,0,0,1,6.0
0,NYN201509210,niesj001,30,30,0,3,2,0,0,0,0,2,0,0,0,6.0
0,NYN201506110,niesj001,32,34,1,5,4,0,0,0,0,2,0,0,2,7.0
0,SEA201407210,niesj001,28,32,1,11,6,0,0,1,0,2,0,0,4,5.666666666666667
0,NYN201509010,niesj001,21,19,1,7,2,0,0,0,0,2,0,0,6,4.666666666666667
0,PIT201406280,niesj001,33,34,0,7,5,0,0,0,0,3,0,0,3,6.0
0,NYN201507120,niesj001,31,31,1,5,3,0,0,0,0,0,0,0,3,6.666666666666667
0,PIT201607100,niesj001,28,24,1,8,3,0,0,0,0,2,0,0,5,3.6666666666666665
0,WAS201405160,niesj001,29,26,0,8,2,0,0,0,0,2,0,0,3,4.0
0,NYN201505190,niesj001,29,27,1,11,1,0,0,0,0,1,0,0,6,5.0
0,SLN201507190,niesj001,38,32,0,5,3,0,0,0,0,1,0,1,0,7.666666666666667
0,NYN201409080,niesj001,32,38,1,8,7,0,1,0,0,1,0,0,1,6.666666666666667
0,ANA201404120,niesj001,31,32,2,6,5,0,0,0,0,1,0,0,3,7.333333333333333
0,SFN201406060,niesj001,33,28,0,5,3,0,0,1,0,1,0,1,2,7.0
0,ARI201604220,niesj001,31,34,2,10,2,0,0,0,0,2,0,0,4,5.333333333333333
0,NYN201404060,niesj001,31,28,0,6,4,0,0,0,0,1,0,0,2,5.666666666666667
0,SLN201607040,niesj001,33,33,0,8,3,0,0,0,0,1,0,0,1,5.666666666666667
0,MIA201406220,niesj001,31,29,0,6,4,0,0,0,0,2,0,0,3,6.0
0,MIL201506230,niesj001,36,31,0,8,3,0,0,1,0,3,0,1,2,6.0
0,NYN201504150,niesj001,34,27,0,9,4,0,0,0,0,2,0,0,1,6.333333333333333
0,PIT201605030,niesj001,31,32,0,9,3,0,0,2,0,5,0,1,6,5.0
0,NYN201506300,niesj001,39,30,0,4,5,0,0,0,0,3,1,0,1,7.0
0,NYN201504210,niesj001,32,36,1,4,5,0,0,0,0,4,0,1,1,6.666666666666667
0,NYN201508100,niesj001,29,34,1,6,5,0,1,0,0,0,0,0,2,7.0
0,WAS201509070,niesj001,23,19,1,7,1,0,0,0,0,3,0,0,5,3.3333333333333335
0,MIA201405050,niesj001,38,34,0,5,6,0,0,0,0,1,0,0,0,6.666666666666667
0,NYN201507300,niesj001,28,33,0,6,6,0,0,0,0,1,0,0,1,5.666666666666667
0,NYN201404230,niesj001,30,33,0,6,3,0,0,0,0,2,0,0,1,6.666666666666667
0,PHI201505090,niesj001,27,32,0,5,6,0,0,0,0,1,0,0,0,7.0
0,ATL201509130,niesj001,28,34,0,8,3,0,0,0,0,1,0,0,2,6.0
0,PIT201604050,niesj001,26,27,1,5,7,0,0,0,0,1,0,1,4,5.0
0,SLN201406170,niesj001,26,29,1,8,3,0,0,0,0,1,0,1,3,6.0
0,COL201604270,niesj001,26,32,2,10,5,0,0,0,0,2,0,0,4,5.0
0,NYN201409260,niesj001,22,21,0,3,4,0,0,0,0,0,0,0,0,5.0
0,NYN201405110,niesj001,33,31,0,8,6,0,0,0,0,1,0,0,3,6.0
0,MIA201409020,niesj001,31,37,1,10,4,0,0,0,0,0,0,0,6,6.0
0,PIT201606120,niesj001,22,25,2,11,5,0,0,0,0,1,0,0,8,5.333333333333333
0,DET201604110,niesj001,33,26,2,5,5,0,0,0,0,1,0,0,3,6.0
0,NYN201505300,niesj001,28,29,2,7,3,0,0,0,0,0,0,0,4,4.0
0,NYN201408160,niesj001,29,36,2,7,6,0,0,0,0,2,0,0,3,6.0
0,PIT201505240,niesj001,40,34,1,7,6,0,0,0,0,3,1,0,4,4.666666666666667
0,TEX201605270,niesj001,30,29,1,7,2,0,0,1,0,1,0,0,1,6.0
0,PIT201606230,niesj001,34,40,1,7,4,0,1,0,0,2,0,0,5,6.0
0,NYN201505020,niesj001,33,33,0,9,5,0,0,0,0,1,0,0,1,7.0
