,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHA201405230,noesh001,48,63,1,4,3,0,0,0,0,5,0,0,3,5.666666666666667
0,NYN201908060,noesh001,32,56,2,5,3,0,0,0,0,3,0,0,5,5.0
0,CHA201404300,noesh001,19,32,0,5,2,0,0,0,0,1,0,0,4,3.6666666666666665
0,DET201407300,noesh001,30,57,1,10,3,0,0,0,0,3,0,0,6,6.0
0,COL201908170,noesh001,31,49,2,5,2,0,0,0,0,3,0,0,5,4.333333333333333
0,TBA201409200,noesh001,37,54,1,6,1,0,0,1,0,3,0,0,3,6.0
0,CHA201408270,noesh001,32,67,1,6,5,0,0,0,0,1,0,0,2,7.0
0,CHA201405110,noesh001,45,72,1,8,4,0,0,0,0,2,1,0,3,6.0
0,CHA201406140,noesh001,30,55,0,8,4,0,0,0,0,1,0,0,2,3.6666666666666665
0,MIA201908230,noesh001,34,47,0,6,2,0,0,1,0,3,0,1,7,3.0
0,LAN201406030,noesh001,38,66,0,5,6,0,0,0,0,4,0,0,1,6.0
0,MIA201908110,noesh001,40,68,2,4,8,0,1,0,0,3,0,0,5,6.0
0,CHA201504210,noesh001,37,62,2,4,5,0,0,0,0,1,0,0,2,5.666666666666667
0,CLE201407110,noesh001,38,50,2,7,4,0,0,0,0,4,0,0,6,4.666666666666667
0,CHN201405060,noesh001,30,51,0,4,6,0,0,2,0,1,0,0,1,5.0
0,CHA201407190,noesh001,31,52,1,6,2,0,0,1,0,1,0,0,3,5.666666666666667
0,BAL201406250,noesh001,23,61,0,9,2,0,0,1,0,0,0,0,0,7.0
0,CHA201405280,noesh001,29,67,1,5,5,0,0,0,1,0,0,0,1,7.333333333333333
0,MIN201406200,noesh001,40,68,0,6,4,0,0,0,0,2,0,1,4,7.0
0,CHA201408040,noesh001,37,66,1,4,6,0,0,0,0,3,0,1,1,7.0
0,CHA201504100,noesh001,46,64,0,4,6,0,0,2,1,5,1,1,2,4.666666666666667
0,SEA201408090,noesh001,25,66,0,5,4,0,0,0,0,1,0,0,0,7.333333333333333
0,CHA201408200,noesh001,37,74,3,7,8,0,0,0,0,0,0,0,4,7.0
0,CHA201409140,noesh001,41,62,2,8,3,0,0,1,0,2,0,0,4,6.666666666666667
0,CHA201407011,noesh001,51,60,2,3,7,0,0,0,0,7,0,0,4,5.0
0,CHA201505091,noesh001,18,28,0,3,3,0,0,1,0,2,0,0,0,1.6666666666666665
0,MIN201409020,noesh001,33,68,1,9,5,0,0,0,0,0,0,0,3,6.666666666666667
0,CHA201409260,noesh001,30,60,0,6,5,0,0,0,0,2,0,0,3,6.0
0,CHA201409080,noesh001,37,57,2,4,4,0,0,0,0,1,0,0,3,6.333333333333333
0,HOU201405170,noesh001,38,71,2,8,6,0,0,0,0,3,0,0,5,6.0
0,CHA201407060,noesh001,30,58,0,5,5,0,0,1,0,2,0,0,0,6.666666666666667
0,MIN201407240,noesh001,35,75,1,3,3,0,0,1,0,1,0,0,2,7.666666666666667
0,CHA201406090,noesh001,27,62,3,7,5,0,0,0,0,1,0,0,4,5.666666666666667
0,CHA201408150,noesh001,28,72,1,8,4,0,0,0,0,2,0,0,4,5.0
0,MIN201505020,noesh001,30,43,2,5,2,0,0,0,0,2,0,0,3,4.333333333333333
0,TOR201505250,noesh001,42,68,2,5,4,0,0,0,0,3,0,0,5,7.0
