,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TOR201409250,28,17,1,0,0,0,0,2,0,,2,4,4.5,0.0
0,NYA201504090,36,30,5,0,0,0,0,2,0,,3,6,4.5,1.0
0,TOR201504140,32,29,4,0,0,0,0,3,0,,2,5,3.6,1.0
0,TOR201504190,31,20,1,0,0,0,0,2,0,,4,3,12.0,0.0
0,TBA201504250,36,40,7,0,0,1,0,3,0,,1,7,1.2857142857142858,0.0
0,CLE201504300,34,24,1,0,0,1,0,2,0,,0,3,0.0,0.0
0,BAL201508020,33,23,5,0,0,0,0,1,0,,1,8,1.125,0.0
0,DET201508070,31,23,3,0,0,0,0,0,0,,5,4,11.25,0.0
0,KCA201508120,38,29,2,0,0,0,0,3,0,,3,7,3.857142857142857,0.0
0,CHN201508190,25,29,6,0,0,0,0,1,0,,3,5,5.4,0.0
0,MIN201509160,20,15,4,0,0,0,0,0,0,,1,4,2.25,0.0
0,DET201509220,22,24,4,0,0,0,0,0,0,,0,5,0.0,0.0
0,TEX201509290,27,20,0,0,0,1,0,1,0,,2,2,9.0,0.0
0,CHA201510040,28,21,3,0,0,0,0,1,0,,0,5,0.0,0.0
0,DET201606230,27,24,5,0,0,0,0,0,0,,3,5,5.4,0.0
0,DET201606290,38,34,8,0,0,0,0,1,0,,2,5,3.6,0.0
0,CLE201607040,9,12,3,0,0,0,0,1,0,,2,3,6.0,0.0
0,SEA201608090,31,25,3,0,0,0,0,2,0,,1,6,1.5,0.0
0,DET201608150,29,28,1,0,0,1,0,4,0,,1,6,1.5,0.0
0,DET201608200,27,32,4,0,0,0,0,2,0,,3,5,5.4,0.0
0,MIN201608250,32,32,5,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,DET201608300,33,36,4,0,0,0,0,3,0,,3,5,5.4,0.0
0,KCA201609040,33,32,7,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,DET201609120,34,40,11,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,CLE201609180,41,31,6,0,0,0,0,1,0,,1,5,1.8,0.0
0,DET201609240,34,29,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,ATL201609300,34,43,8,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,DET201704090,36,32,2,0,1,0,0,3,0,,3,7,3.857142857142857,0.0
0,CLE201704140,43,29,5,0,0,0,0,4,0,,0,6,0.0,0.0
0,TBA201704200,36,36,4,0,0,0,0,2,0,,4,5,7.2,0.0
0,DET201704260,34,33,4,0,0,0,0,2,0,,4,5,7.2,0.0
0,DET201705010,39,36,8,0,0,0,0,4,0,,1,6,1.5,0.0
0,OAK201705070,40,32,4,0,0,0,0,2,0,,4,5,7.2,0.0
0,ANA201705130,39,35,4,0,1,0,0,2,0,,2,6,3.0,1.0
0,DET201705190,42,33,8,0,0,0,0,2,0,,5,6,7.5,1.0
0,HOU201705240,36,28,5,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,KCA201705290,35,32,4,0,1,0,0,1,0,,3,5,5.4,1.0
0,DET201706060,39,35,7,0,0,0,0,3,0,,3,6,4.5,0.0
0,BOS201706110,41,30,6,0,0,0,0,2,1,,2,5,3.6,0.0
0,DET201706160,38,32,8,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,SEA201706220,40,31,5,0,0,0,0,3,0,,5,6,7.5,0.0
0,DET201706280,25,18,3,0,0,0,0,1,0,,5,4,11.25,0.0
0,DET201707050,30,23,2,0,0,1,0,2,2,,5,4,11.25,0.0
0,DET201709220,33,27,2,0,0,0,0,1,0,,5,5,9.0,0.0
0,KCA201709280,20,14,1,0,0,0,0,0,0,,0,5,0.0,0.0
0,DET201804202,27,26,5,0,0,0,0,3,0,,1,5,1.8,0.0
0,BAL201804290,21,15,2,0,0,0,0,2,0,,3,3,9.0,1.0
0,NYA201809010,21,18,7,0,0,0,0,1,0,,2,5,3.6,0.0
0,DET201809070,32,30,7,0,0,0,1,1,0,,3,5,5.4,0.0
0,DET201809120,28,33,3,0,0,0,0,1,0,,5,5,9.0,1.0
0,DET201809180,35,33,5,0,0,0,0,3,0,,2,6,3.0,0.0
0,DET201809230,37,27,3,0,0,0,0,2,0,,1,5,1.8,0.0
0,MIL201809290,32,32,8,0,0,0,0,2,0,,5,5,9.0,0.0
0,DET201904210,22,26,6,0,0,0,0,1,0,,0,5,0.0,0.0
0,CHA201904260,29,29,5,0,0,2,0,2,0,,4,5,7.2,0.0
0,PHI201905010,20,24,4,0,0,0,0,1,0,,1,5,1.8,0.0
0,DET201905070,33,28,2,0,1,0,0,2,0,,3,5,5.4,0.0
0,MIN201905120,37,30,5,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,DET201905170,32,31,2,0,0,1,0,1,0,,6,6,9.0,0.0
0,DET201905220,30,33,5,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,BAL201905270,30,38,5,0,0,0,0,3,0,,2,6,3.0,0.0
0,ATL201906010,34,32,4,0,0,0,0,1,0,,5,6,7.5,0.0
0,DET201906060,33,29,6,0,1,0,0,1,0,,3,6,4.5,0.0
0,KCA201906120,29,33,6,0,0,0,0,2,0,,2,5,3.6,1.0
0,PIT201906180,32,25,4,0,0,0,0,1,0,,2,6,3.0,0.0
0,CLE201906230,25,35,8,0,0,0,0,0,0,,6,7,7.714285714285714,0.0
0,DET201906280,27,26,3,0,0,0,0,1,0,,2,5,3.6,0.0
0,CHA201907031,33,35,2,0,0,1,0,3,0,,6,6,9.0,1.0
0,CLE201907150,27,36,8,0,0,0,0,2,0,,5,6,7.5,0.0
0,DET201907200,17,20,3,0,0,0,0,1,0,,1,4,2.25,0.0
0,SEA201907260,36,33,8,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,ANA201907310,23,28,5,0,0,0,0,2,0,,0,5,0.0,0.0
0,DET201908061,32,32,3,0,1,0,0,2,0,,4,6,6.0,1.0
0,DET201908110,25,24,4,0,0,0,0,2,0,,4,3,12.0,0.0
0,TBA201908160,20,18,3,0,0,0,0,2,0,,0,3,0.0,0.0
0,HOU201908210,12,17,2,0,0,0,0,0,0,,0,3,0.0,0.0
0,DET201908290,18,22,4,0,0,0,0,1,0,,1,3,3.0,0.0
0,KCA201909030,21,22,3,0,0,0,0,2,0,,3,3,9.0,0.0
0,OAK201909080,12,12,2,0,0,0,0,0,0,,1,3,3.0,1.0
0,DET201909140,12,15,3,0,0,0,0,0,0,,0,3,0.0,0.0
0,CLE201909190,13,13,1,0,0,0,0,0,0,,1,3,3.0,0.0
0,DET201909250,16,13,5,0,0,0,0,0,0,,0,3,0.0,0.0
