,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PHI201407270,nunov001,37,40,1,4,5,0,0,0,0,3,0,0,2,6.666666666666667
0,WAS201408180,nunov001,26,33,1,5,7,0,1,0,0,2,0,0,2,7.0
0,BOS201508160,nunov001,27,28,2,9,2,0,1,1,0,1,0,0,4,4.333333333333333
0,ARI201407210,nunov001,24,27,2,7,3,0,0,0,0,1,0,0,3,4.666666666666667
0,NYA201404260,nunov001,22,25,1,5,4,0,0,0,0,2,0,0,3,4.333333333333333
0,NYA201406040,nunov001,31,30,1,6,5,0,0,0,0,1,0,0,2,4.666666666666667
0,COL201409180,nunov001,23,35,1,8,7,0,0,1,0,1,0,0,3,5.333333333333333
0,ARI201409120,nunov001,22,26,1,8,2,0,0,0,0,1,0,0,6,5.0
0,ANA201405070,nunov001,31,25,0,4,3,0,0,0,0,1,0,0,1,6.333333333333333
0,HOU201508310,nunov001,33,37,3,7,2,0,0,1,0,2,0,1,5,6.0
0,CLE201408131,nunov001,24,30,0,6,6,0,0,0,0,0,0,0,2,5.666666666666667
0,NYA201405182,nunov001,27,27,1,6,5,0,0,0,0,1,0,0,2,6.0
0,MIN201409240,nunov001,30,36,0,3,6,0,0,0,0,4,0,1,2,4.666666666666667
0,TEX201509190,nunov001,27,23,0,5,3,0,0,1,0,4,0,1,2,3.3333333333333335
0,ARI201408230,nunov001,31,30,0,2,4,0,0,0,0,2,0,1,0,7.333333333333333
0,SEA201509090,nunov001,33,40,0,1,10,0,0,0,0,2,0,2,0,7.0
0,ARI201408010,nunov001,34,32,0,3,5,0,0,0,0,2,0,0,1,6.0
0,NYA201405300,nunov001,28,39,3,7,6,0,0,0,0,0,0,0,4,6.666666666666667
0,NYA201407020,nunov001,30,31,0,8,5,0,0,0,0,1,1,1,2,5.0
0,ANA201509250,nunov001,17,27,1,9,4,0,0,0,0,0,0,0,5,4.333333333333333
0,ARI201408070,nunov001,14,23,1,7,1,0,1,0,0,0,0,0,5,4.0
0,NYA201405130,nunov001,23,24,1,4,1,0,0,0,0,4,0,1,5,3.3333333333333335
0,NYA201406270,nunov001,32,31,0,2,5,0,0,0,0,2,0,0,0,5.666666666666667
0,NYA201406210,nunov001,38,36,3,6,4,0,0,0,0,2,0,0,4,6.333333333333333
0,SEA201509290,nunov001,25,31,1,6,5,0,0,0,0,0,0,0,3,5.0
0,SFN201407130,nunov001,28,27,1,6,4,0,0,0,0,1,0,1,4,5.0
0,TBA201404200,nunov001,21,26,0,3,6,0,0,0,0,2,0,0,0,5.0
0,SEA201508100,nunov001,30,32,1,5,5,0,0,0,0,0,0,0,2,5.0
0,ARI201408300,nunov001,27,40,1,2,7,0,0,0,0,0,0,0,1,8.0
0,SEA201510040,nunov001,33,34,1,6,4,0,0,0,0,1,0,0,2,6.0
0,COL201508040,nunov001,19,24,2,5,3,0,0,0,0,1,1,0,3,3.6666666666666665
0,NYA201405020,nunov001,32,25,1,5,2,0,0,1,0,3,0,0,4,4.666666666666667
0,ARI201407080,nunov001,28,35,0,3,7,0,0,0,0,1,0,0,0,7.0
0,OAK201406150,nunov001,28,25,2,8,2,0,0,1,0,1,0,0,6,3.0
0,LAN201409050,nunov001,32,42,1,7,5,0,0,0,0,2,0,1,2,7.0
0,CHA201405240,nunov001,33,36,0,9,5,0,0,0,0,1,0,0,3,7.0
0,SEA201508220,nunov001,32,37,1,5,4,0,0,0,0,1,0,1,1,6.666666666666667
0,SEA201406100,nunov001,30,30,0,4,2,0,0,1,0,1,0,0,1,5.666666666666667
