,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,OAK201804010,ohtas001,29,63,1,3,6,0,0,0,0,1,0,0,3,6.0
0,ANA201804080,ohtas001,32,59,0,1,12,0,0,0,0,1,0,0,0,7.0
0,HOU201809020,ohtas001,19,30,1,2,2,0,0,0,0,2,0,0,2,2.3333333333333335
0,DET201805300,ohtas001,28,55,0,3,5,0,0,0,0,3,0,0,1,5.0
0,ANA201804170,ohtas001,32,34,1,4,1,0,0,1,0,2,0,0,3,2.0
0,ANA201805130,ohtas001,34,69,0,3,11,0,0,1,0,2,0,0,0,6.333333333333333
0,HOU201804240,ohtas001,43,55,1,6,7,0,0,0,0,5,0,0,3,5.333333333333333
0,ANA201806060,ohtas001,30,33,0,4,4,0,0,2,0,3,0,0,1,4.0
0,SEA201805060,ohtas001,39,59,1,6,6,0,0,0,0,2,0,1,2,6.0
0,ANA201805200,ohtas001,42,68,1,6,9,0,0,1,0,1,0,0,2,7.666666666666667
