,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,OAK201404200,29,30,4,0,0,0,0,3,0,,2,5,3.6,0.0
0,HOU201404250,35,24,3,0,1,0,0,6,0,,3,5,5.4,0.0
0,HOU201405020,32,31,6,0,0,0,0,3,0,,4,6,6.0,0.0
0,DET201405070,39,32,4,0,0,0,0,4,0,,3,7,3.857142857142857,0.0
0,HOU201405120,31,39,11,0,0,0,0,2,0,,4,6,6.0,0.0
0,HOU201405180,39,33,5,0,0,0,0,4,0,,2,7,2.5714285714285716,0.0
0,HOU201405290,28,33,8,0,0,0,0,0,0,,1,6,1.5,0.0
0,HOU201406050,29,28,1,0,0,0,0,1,0,,3,5,5.4,0.0
0,ARI201406100,35,29,4,0,0,1,0,3,0,,1,6,1.5,0.0
0,HOU201406150,34,28,3,0,0,1,0,4,0,,2,4,4.5,0.0
0,HOU201406270,27,34,3,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,HOU201407020,35,30,6,0,0,1,0,2,0,,4,6,6.0,1.0
0,TEX201407080,38,29,5,0,0,0,0,0,0,,2,6,3.0,0.0
0,HOU201407130,12,9,1,0,0,0,0,1,0,,1,1,9.0,1.0
0,OAK201407230,32,26,2,0,0,0,0,5,0,,7,4,15.75,0.0
0,PHI201408060,30,32,4,0,0,1,0,3,1,,8,5,14.4,0.0
0,HOU201408110,37,37,5,0,1,0,0,1,0,,1,5,1.8,0.0
0,BOS201408160,28,36,3,0,0,0,0,2,0,,5,5,9.0,0.0
0,CLE201408220,25,18,4,0,0,0,0,0,0,,1,5,1.8,0.0
0,HOU201408270,41,34,6,0,0,1,0,5,0,,1,6,1.5,1.0
0,HOU201409020,34,32,5,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,SEA201409080,30,32,6,0,0,0,0,1,1,,0,5,0.0,1.0
0,HOU201409190,29,27,2,0,0,0,0,4,0,,2,4,4.5,0.0
0,NYN201409260,35,33,7,0,0,0,0,2,0,,1,5,1.8,0.0
0,HOU201504140,30,30,3,0,0,0,0,2,0,,3,6,4.5,1.0
0,CLE201609060,25,25,2,0,0,0,0,1,0,,1,4,2.25,0.0
0,HOU201609130,29,25,5,0,0,0,0,2,0,,1,6,1.5,0.0
0,OAK201609190,26,28,2,0,0,0,0,2,0,,2,6,3.0,0.0
0,HOU201609240,25,23,7,0,0,0,0,2,0,,1,5,1.8,0.0
0,ANA201609300,30,31,5,0,0,1,0,4,0,,5,5,9.0,0.0
0,HOU201705220,23,30,8,0,0,1,0,2,0,,0,5,0.0,0.0
0,MIN201705290,23,27,8,0,0,0,0,1,0,,4,5,7.2,0.0
0,TEX201706040,29,32,9,0,0,0,0,1,0,,2,6,3.0,1.0
0,HOU201706090,30,20,1,0,1,0,0,4,0,,4,3,12.0,0.0
0,HOU201706130,31,33,10,0,0,0,0,4,0,,1,5,1.8,0.0
0,OAK201706190,35,35,8,0,0,0,0,2,0,,1,6,1.5,0.0
0,HOU201706290,35,34,7,0,0,0,0,6,0,,1,5,1.8,0.0
0,ATL201707040,29,37,7,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,TOR201707090,34,35,4,0,0,0,0,5,0,,0,6,0.0,0.0
0,HOU201707180,38,38,9,0,1,0,0,1,0,,1,7,1.2857142857142858,0.0
0,PHI201707240,19,18,4,0,0,0,0,2,0,,1,3,3.0,0.0
0,HOU201708040,30,36,6,0,0,0,0,2,0,,7,6,10.5,0.0
0,CHA201708100,27,36,5,0,0,1,0,1,0,,1,7,1.2857142857142858,0.0
0,ARI201708150,31,32,9,0,0,0,0,1,0,,4,5,7.2,0.0
0,HOU201708200,29,34,8,0,0,0,0,2,0,,1,6,1.5,0.0
0,ANA201708260,34,32,8,0,0,0,0,1,0,,1,6,1.5,0.0
0,HOU201709022,32,35,4,0,0,1,0,3,0,,1,6,1.5,1.0
0,OAK201709092,24,31,9,0,0,0,0,0,0,,2,6,3.0,0.0
0,ANA201709140,35,33,3,0,0,1,0,3,0,,1,6,1.5,0.0
0,HOU201709200,33,33,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,BOS201709280,28,28,2,0,0,0,0,1,0,,2,5,3.6,0.0
0,SEA201808210,11,13,2,0,0,0,0,0,0,,0,2,0.0,0.0
0,TEX201904010,32,25,5,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,HOU201904070,31,32,3,0,0,0,0,1,0,,5,5,9.0,0.0
0,HOU201904220,27,25,2,0,0,0,0,3,0,,3,5,5.4,0.0
0,HOU201904270,30,32,7,0,0,0,0,1,0,,1,6,1.5,0.0
0,MIN201905020,22,21,2,0,0,0,0,2,0,,7,4,15.75,0.0
0,HOU201905080,31,37,12,0,0,0,0,1,0,,0,7,0.0,1.0
0,DET201905130,35,29,3,0,0,0,0,4,0,,1,5,1.8,0.0
0,HOU201905200,30,29,9,0,0,0,0,0,0,,0,5,0.0,2.0
0,HOU201905250,30,31,8,0,0,0,0,1,0,,0,6,0.0,0.0
0,OAK201905310,35,31,3,0,0,0,0,3,0,,2,6,3.0,0.0
0,SEA201906050,32,33,6,0,0,0,0,2,0,,2,5,3.6,1.0
0,HOU201906110,29,29,4,0,0,0,1,1,0,,4,7,5.142857142857143,1.0
0,HOU201906160,31,33,5,0,0,0,0,3,0,,4,5,7.2,0.0
0,NYA201906210,33,36,11,0,0,0,0,0,0,,2,6,3.0,0.0
