,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,BOS201404040,32,30,4,0,0,0,0,2,0,,2,6,3.0,0.0
0,BOS201404090,38,33,8,0,1,0,0,4,0,,1,7,1.2857142857142858,0.0
0,CHA201404150,41,34,8,0,0,0,0,4,0,,1,6,1.5,0.0
0,BOS201404200,34,35,5,0,0,0,0,3,1,,5,6,7.5,0.0
0,TOR201404250,37,39,7,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,BOS201405011,42,37,4,0,0,0,0,5,0,,2,7,2.5714285714285716,0.0
0,BOS201405070,34,32,4,0,0,0,0,4,0,,3,7,3.857142857142857,0.0
0,MIN201405130,34,31,1,0,0,0,0,2,0,,6,5,10.8,0.0
0,BOS201405180,28,31,2,0,0,0,0,0,0,,5,6,7.5,0.0
0,TBA201405240,30,32,5,0,0,0,0,1,0,,5,6,7.5,0.0
0,BOS201405290,39,36,4,0,0,0,1,1,0,,3,8,3.375,0.0
0,CLE201406030,34,33,3,0,0,0,0,1,0,,5,7,6.428571428571429,0.0
0,BAL201406090,27,33,7,0,0,0,0,1,0,,4,7,5.142857142857143,0.0
0,BOS201406140,38,32,5,0,0,0,0,2,0,,1,6,1.5,2.0
0,OAK201406190,45,36,4,0,0,1,0,3,0,,3,7,3.857142857142857,0.0
0,SEA201406240,30,24,3,0,0,0,0,2,0,,7,5,12.6,0.0
0,BOS201406300,34,33,7,0,0,1,0,2,0,,2,6,3.0,0.0
0,BOS201407060,38,34,3,0,0,0,0,2,0,,1,6,1.5,1.0
0,HOU201407120,35,35,9,0,0,0,0,1,0,,3,8,3.375,0.0
0,TOR201407220,35,35,7,0,0,0,0,3,0,,5,7,6.428571428571429,0.0
0,SFN201407270,36,35,5,0,0,1,0,2,0,,3,6,4.5,1.0
0,NYN201408020,25,32,4,0,0,0,0,0,0,,4,7,5.142857142857143,1.0
0,MIL201408070,31,35,3,0,0,0,0,3,0,,3,6,4.5,0.0
0,SFN201408130,33,34,3,0,0,1,0,2,1,,1,7,1.2857142857142858,0.0
0,CHN201408200,33,41,8,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,SFN201408250,29,33,5,0,1,0,1,1,0,,1,7,1.2857142857142858,0.0
0,SFN201408300,38,45,8,0,0,0,0,3,0,,0,8,0.0,1.0
0,DET201409050,26,25,3,0,1,0,0,0,0,,0,6,0.0,0.0
0,SFN201409110,30,35,8,0,0,0,0,0,0,,1,6,1.5,0.0
0,ARI201409160,25,36,4,0,0,0,0,1,0,,1,8,1.125,1.0
0,LAN201409220,26,29,4,0,0,0,0,1,0,,2,7,2.5714285714285716,2.0
0,SFN201409270,28,29,3,0,0,0,0,3,0,,1,5,1.8,0.0
0,SDN201504120,30,29,5,0,0,0,0,3,0,,4,4,9.0,0.0
0,SFN201504170,25,21,2,0,0,0,0,1,0,,4,4,9.0,0.0
0,WAS201507030,33,28,4,0,0,0,0,3,1,,2,7,2.5714285714285716,0.0
