,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ATL201508280,perew001,22,18,1,5,2,0,0,0,0,3,0,0,5,1.6666666666666665
0,ATL201605270,perew001,21,29,0,7,3,0,0,0,0,1,0,0,2,5.666666666666667
0,PHI201507310,perew001,26,28,1,9,3,0,0,1,0,3,1,1,7,4.333333333333333
0,BOS201506150,perew001,30,26,0,5,2,0,1,0,0,2,0,0,0,6.0
0,ATL201509020,perew001,24,30,1,9,0,0,0,0,0,1,0,0,4,5.0
0,SFN201505300,perew001,38,34,0,4,3,0,0,0,0,4,0,0,0,7.0
0,ATL201509300,perew001,34,31,0,6,3,0,0,0,0,2,1,0,0,6.0
0,NYN201509230,perew001,30,29,1,7,2,0,0,0,0,1,0,0,2,6.0
0,ATL201604190,perew001,22,15,0,2,1,0,0,1,0,3,0,0,0,3.3333333333333335
0,SDN201606060,perew001,30,28,1,7,2,0,0,1,0,0,0,0,5,4.333333333333333
0,ATL201606010,perew001,38,32,1,5,2,0,1,0,0,1,1,0,2,5.666666666666667
0,ATL201609110,perew001,12,10,1,4,2,0,0,0,0,1,0,0,5,2.6666666666666665
0,ATL201508050,perew001,37,26,0,10,2,0,0,0,0,2,0,1,4,6.0
0,TBA201508110,perew001,30,26,1,4,1,0,0,0,0,4,0,0,2,8.0
0,ATL201604100,perew001,31,24,1,3,4,0,0,1,0,3,0,1,4,4.666666666666667
0,ATL201509180,perew001,31,32,1,6,6,0,0,0,0,1,0,0,1,5.666666666666667
0,PIT201506260,perew001,22,21,0,4,2,0,0,0,1,2,0,2,0,4.666666666666667
0,ATL201506200,perew001,34,38,2,5,5,0,0,0,0,2,0,2,4,5.666666666666667
0,SDN201508170,perew001,38,31,1,7,2,0,0,1,0,4,0,0,4,6.333333333333333
0,ATL201506100,perew001,34,32,0,4,5,0,0,0,0,2,0,1,0,7.0
0,PHI201509070,perew001,34,29,1,6,7,0,0,0,0,0,0,1,2,7.0
0,CHN201508220,perew001,28,27,1,8,4,0,0,0,0,2,0,0,6,4.666666666666667
0,ATL201505200,perew001,29,26,0,6,7,0,0,0,0,1,0,0,1,5.0
0,PIT201605160,perew001,35,29,0,9,2,0,0,1,0,1,1,0,6,6.0
0,WAS201609060,perew001,21,27,2,8,2,0,0,0,0,0,0,1,6,2.3333333333333335
0,MIA201604150,perew001,26,22,0,8,1,0,0,0,0,1,1,0,3,4.333333333333333
0,ATL201605110,perew001,22,32,1,2,4,0,0,0,0,0,0,0,1,7.666666666666667
0,LAN201505250,perew001,45,35,0,7,7,0,0,0,0,1,0,1,1,6.0
0,ATL201506050,perew001,38,31,1,5,5,0,0,0,0,5,0,0,4,5.0
0,ATL201509120,perew001,29,29,0,8,3,0,0,1,0,3,0,0,3,5.666666666666667
0,PHI201605210,perew001,31,33,0,2,4,0,0,0,0,1,0,0,0,6.333333333333333
