,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,KCA201506190,pinoy001,22,54,1,11,0,0,0,0,0,1,0,0,6,5.333333333333333
0,MIN201407050,pinoy001,35,63,0,3,3,0,0,1,0,2,0,0,1,6.0
0,OAK201408070,pinoy001,30,66,1,6,2,0,0,0,0,1,0,0,3,5.666666666666667
0,MIN201406190,pinoy001,26,68,0,5,7,0,0,0,0,1,0,0,2,7.0
0,ANA201406250,pinoy001,22,52,0,7,2,0,0,1,0,1,0,0,5,3.0
0,CHA201408020,pinoy001,35,52,1,7,5,0,0,0,0,2,0,0,2,6.333333333333333
0,MIN201406300,pinoy001,31,63,1,7,3,0,0,0,0,1,0,0,4,5.666666666666667
0,MIN201407220,pinoy001,29,71,1,7,5,0,0,0,0,0,0,1,4,6.333333333333333
0,SEA201407100,pinoy001,38,61,1,7,4,0,1,0,0,2,0,0,1,5.0
0,MIN201408231,pinoy001,32,56,0,6,6,0,0,0,0,2,0,0,1,5.0
0,MIN201407270,pinoy001,32,57,0,4,6,0,0,0,0,1,0,0,2,6.0
0,HOU201408120,pinoy001,31,58,3,7,7,0,0,0,0,1,0,0,7,4.333333333333333
