,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,LAN201704300,31,30,5,0,1,0,0,1,0,,2,5,3.6,0.0
0,PHI201705050,41,27,6,0,0,0,0,0,0,,4,5,7.2,1.0
0,WAS201705130,38,29,5,0,0,0,0,4,0,,4,5,7.2,0.0
0,TEX201705180,45,31,5,0,0,0,0,4,0,,1,5,1.8,0.0
0,ATL201706050,31,33,4,0,0,1,0,3,0,,3,5,5.4,0.0
0,SLN201706100,28,29,2,0,2,1,1,4,0,,4,5,7.2,0.0
0,PHI201706150,32,42,9,0,0,1,0,2,0,,0,7,0.0,0.0
0,PHI201706210,32,36,10,0,0,0,0,1,0,,3,6,4.5,0.0
0,ARI201706260,34,26,3,0,0,0,0,5,0,,6,3,18.0,0.0
0,NYN201707020,32,32,4,0,0,1,0,4,0,,1,7,1.2857142857142858,0.0
0,PHI201707070,23,37,9,0,0,0,0,0,0,,3,7,3.857142857142857,1.0
0,MIL201707140,30,26,5,0,0,0,0,3,0,,9,5,16.2,0.0
0,MIA201707190,30,32,4,0,0,2,0,1,0,,3,6,4.5,0.0
0,PHI201707250,34,32,7,0,0,0,0,1,0,,5,6,7.5,0.0
0,PHI201707310,28,33,5,0,0,0,0,1,0,,1,6,1.5,0.0
0,COL201708050,21,21,1,0,0,0,0,1,0,,8,3,24.0,1.0
0,PHI201708110,34,27,4,0,0,1,0,2,0,,5,5,9.0,0.0
0,SDN201708160,31,34,11,0,0,0,1,3,0,,3,6,4.5,0.0
0,PHI201708222,22,19,2,0,0,0,0,1,0,,6,2,27.0,0.0
0,PHI201708270,39,34,5,0,0,0,0,4,0,,2,5,3.6,0.0
0,MIA201709010,38,31,6,0,0,2,0,3,0,,1,6,1.5,0.0
0,NYN201709060,37,37,5,0,0,0,0,0,0,,6,5,10.8,0.0
0,PHI201709120,23,30,4,0,0,0,0,1,0,,7,6,10.5,0.0
0,PHI201709180,39,32,8,0,0,0,0,2,0,,2,6,3.0,0.0
0,ATL201709240,27,34,4,0,0,0,0,1,0,,0,6,0.0,0.0
0,PHI201710010,35,34,7,0,0,1,0,5,0,,0,5,0.0,1.0
0,ATL201803300,25,22,3,0,0,0,0,2,0,,3,4,6.75,1.0
0,PHI201804050,31,38,9,0,0,0,0,0,0,,0,6,0.0,0.0
0,PHI201804110,31,36,7,0,0,0,0,0,0,,2,7,2.5714285714285716,0.0
0,ATL201804170,29,35,2,0,0,1,0,0,0,,1,5,1.8,1.0
0,PHI201804220,26,35,7,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,PHI201804280,25,28,6,0,0,0,0,3,0,,4,5,7.2,0.0
0,WAS201805040,16,15,1,0,0,0,0,3,0,,6,2,27.0,0.0
0,PHI201805090,34,31,7,0,0,0,0,0,0,,0,5,0.0,0.0
0,BAL201805160,31,34,11,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,PHI201805210,34,39,7,0,0,0,0,1,0,,0,7,0.0,0.0
0,PHI201805270,33,31,7,0,1,2,0,2,0,,2,5,3.6,0.0
0,SFN201806010,28,30,3,0,0,0,0,3,0,,3,4,6.75,1.0
0,CHN201806070,28,29,6,0,0,0,0,1,0,,4,5,7.2,0.0
0,PHI201806130,32,31,5,0,0,0,0,3,0,,6,5,10.8,0.0
0,PHI201806180,27,47,13,0,0,0,0,1,0,,2,8,2.25,0.0
0,WAS201806240,25,33,7,0,0,0,0,2,0,,2,5,3.6,0.0
0,PHI201806290,20,19,2,0,0,0,0,2,0,,7,2,31.5,0.0
0,PIT201807060,26,24,2,0,0,0,0,2,0,,1,3,3.0,1.0
0,BAL201807120,38,34,7,0,0,1,0,1,0,,3,7,3.857142857142857,0.0
0,PHI201807221,30,36,9,0,0,0,0,0,0,,4,6,6.0,0.0
0,CIN201807270,27,37,12,0,0,1,0,2,0,,5,6,7.5,0.0
0,PHI201808020,24,32,7,0,0,1,0,0,0,,2,6,3.0,0.0
0,ARI201808070,32,30,6,0,0,0,0,1,0,,0,6,0.0,0.0
0,PHI201808140,23,29,6,0,0,0,0,1,0,,1,6,1.5,0.0
0,PHI201808190,24,26,5,0,0,0,0,1,0,,6,4,13.5,0.0
0,TOR201808250,35,33,4,0,0,0,0,3,0,,5,7,6.428571428571429,0.0
0,PHI201808310,39,31,6,0,0,0,0,3,0,,1,5,1.8,0.0
0,MIA201809050,21,26,4,0,0,0,0,2,0,,2,4,4.5,1.0
0,PHI201809111,32,31,1,0,0,0,0,3,0,,2,5,3.6,0.0
0,PHI201809160,28,30,8,0,0,0,0,1,0,,3,5,5.4,0.0
0,ATL201809210,31,30,4,0,1,1,0,1,0,,1,5,1.8,0.0
0,COL201809260,33,24,3,0,0,0,0,3,0,,6,5,10.8,0.0
0,PHI201903300,25,28,4,0,0,0,0,1,0,,4,5,7.2,0.0
0,PHI201904050,26,29,4,0,0,0,0,1,0,,3,5,5.4,0.0
0,PHI201904100,33,33,6,0,0,0,0,3,0,,7,4,15.75,0.0
0,PHI201904160,37,29,2,0,0,0,0,3,0,,3,5,5.4,1.0
0,PHI201905280,40,33,6,0,0,0,0,2,0,,3,5,5.4,1.0
0,LAN201906020,26,30,9,0,0,0,1,0,0,,0,6,0.0,0.0
0,PHI201906080,34,38,6,0,0,0,0,0,0,,1,9,1.0,0.0
0,ATL201906140,34,38,6,0,0,0,0,2,0,,4,7,5.142857142857143,0.0
0,WAS201906200,32,33,2,0,0,0,0,3,0,,6,6,9.0,0.0
0,PHI201906260,30,27,3,0,0,0,0,3,0,,4,6,6.0,0.0
0,ATL201907030,29,29,4,0,0,0,0,1,0,,5,6,7.5,0.0
0,PHI201907120,33,29,2,0,0,0,0,2,0,,3,5,5.4,0.0
0,PHI201907170,19,19,4,0,0,0,0,4,0,,1,3,3.0,0.0
