,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,BOS201905280,28,29,2,0,1,0,0,1,0,,1,6,1.5,0.0
0,CHA201906020,30,33,7,0,1,0,0,1,0,,1,7,1.2857142857142858,0.0
0,CLE201906070,40,36,5,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,CLE201906120,26,32,6,0,1,0,0,2,0,,4,6,6.0,0.0
0,TEX201906180,37,32,6,0,0,0,0,5,0,,1,8,1.125,0.0
0,CLE201906230,27,35,2,0,1,0,0,1,0,,1,7,1.2857142857142858,0.0
0,BAL201906290,30,32,4,0,1,0,0,3,0,,7,4,15.75,2.0
0,KCA201907040,23,18,1,0,0,0,0,3,0,,2,3,6.0,0.0
0,CLE201907160,15,13,1,0,1,0,0,1,0,,0,3,0.0,0.0
0,CLE201907210,37,37,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,KCA201907260,29,39,4,0,0,0,0,2,0,,0,7,0.0,1.0
0,CLE201907310,30,35,3,0,0,0,0,3,0,,4,6,6.0,0.0
0,CLE201908071,29,40,7,0,1,0,0,2,0,,0,6,0.0,0.0
0,CLE201908120,30,24,2,0,0,1,0,2,0,,3,5,5.4,0.0
0,NYA201908170,32,34,5,0,0,0,0,1,0,,4,5,7.2,0.0
0,CLE201908230,31,33,5,0,1,0,0,2,0,,1,6,1.5,0.0
0,TBA201908310,32,28,4,0,0,0,0,1,0,,4,6,6.0,0.0
0,CLE201909050,29,30,4,0,0,0,0,2,0,,6,6,9.0,0.0
0,ANA201909100,34,44,5,0,0,0,0,2,0,,0,9,0.0,0.0
0,CLE201909210,32,30,3,0,0,0,0,2,0,,4,5,7.2,0.0
0,WAS201909270,24,27,6,0,0,0,0,1,0,,2,5,3.6,0.0
