,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,NYA201809210,ramiy001,37,30,2,6,3,0,0,0,0,3,0,0,6,3.6666666666666665
0,NYA201807310,ramiy001,40,30,1,6,4,0,0,0,0,3,0,1,6,5.0
0,BAL201809150,ramiy001,28,27,0,4,7,0,0,0,0,1,0,0,1,5.666666666666667
0,BAL201809292,ramiy001,41,35,2,5,4,0,0,0,0,3,0,0,3,6.0
0,BAL201807092,ramiy001,32,30,1,9,4,0,0,1,0,2,0,1,4,4.0
0,BAL201807140,ramiy001,36,33,0,2,7,0,0,0,0,3,0,0,0,5.0
0,BAL201808112,ramiy001,32,28,1,3,5,0,0,0,0,2,0,0,2,5.0
0,TEX201808050,ramiy001,30,19,0,5,1,0,0,0,0,5,0,0,5,1.6666666666666665
0,CLE201905190,ramiy001,33,18,1,6,3,0,0,1,0,4,0,0,4,3.3333333333333335
0,PHI201807040,ramiy001,21,23,0,1,4,0,0,0,0,2,0,0,1,5.0
0,BAL201807240,ramiy001,33,30,3,4,6,0,0,0,0,1,0,0,3,5.0
0,CLE201808190,ramiy001,33,29,0,7,2,0,0,2,0,4,1,1,4,3.0
0,BAL201806130,ramiy001,37,30,1,4,6,0,0,0,0,2,0,1,1,4.333333333333333
