,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,NYN201608100,ray-r002,31,33,0,3,4,0,0,0,0,0,0,0,0,7.0
0,SLN201707280,ray-r002,10,8,0,1,2,0,0,0,0,1,0,0,0,1.6666666666666665
0,SFN201704110,ray-r002,39,38,0,4,8,0,0,0,0,5,0,0,0,6.666666666666667
0,ARI201605270,ray-r002,31,37,2,9,8,0,0,0,0,2,0,0,4,4.666666666666667
0,ARI201604240,ray-r002,30,28,0,8,5,0,0,0,0,2,0,0,3,3.0
0,ARI201609180,ray-r002,33,36,1,5,8,0,0,0,0,2,0,0,3,5.666666666666667
0,BAL201609240,ray-r002,35,30,1,6,5,0,0,1,0,3,1,0,4,3.6666666666666665
0,SDN201506260,ray-r002,37,32,0,5,5,0,0,0,0,0,0,0,2,6.0
0,SLN201907120,ray-r002,30,33,1,2,8,0,0,0,0,2,0,0,1,6.333333333333333
0,LAN201903290,ray-r002,44,33,1,3,9,0,0,0,0,5,0,0,3,5.0
0,DET201405220,ray-r002,36,25,1,9,1,0,1,0,0,4,0,0,7,3.3333333333333335
0,COL201905290,ray-r002,39,34,0,8,6,0,0,0,0,4,0,0,4,4.666666666666667
0,ARI201509290,ray-r002,32,30,1,7,3,0,1,0,0,1,1,0,2,6.0
0,DET201405110,ray-r002,38,28,0,4,2,0,1,0,0,1,0,0,0,5.666666666666667
0,CIN201808110,ray-r002,36,36,0,4,6,0,0,1,0,2,0,1,2,5.0
0,ARI201604290,ray-r002,34,24,4,7,5,0,0,0,0,2,0,0,5,4.0
0,ARI201907060,ray-r002,34,34,1,2,8,0,0,0,0,4,1,0,1,6.0
0,ARI201803300,ray-r002,30,29,3,7,8,0,0,1,0,3,0,0,6,5.0
0,CIN201707180,ray-r002,36,30,1,4,4,0,0,0,0,2,1,0,2,6.0
0,ATL201904160,ray-r002,40,33,1,7,4,0,1,0,0,3,1,0,5,6.0
0,CIN201607230,ray-r002,39,33,1,6,10,0,0,1,0,1,0,0,3,5.0
0,ARI201804180,ray-r002,34,33,1,5,9,0,0,0,0,3,0,1,2,6.0
0,ARI201906030,ray-r002,30,38,1,6,9,0,0,1,0,1,0,0,3,7.0
0,MIL201705250,ray-r002,30,34,0,2,9,0,1,0,0,0,0,1,0,7.0
0,ARI201707230,ray-r002,39,32,1,6,4,0,1,0,0,2,0,0,4,5.0
0,ARI201605160,ray-r002,39,38,0,6,6,0,0,0,0,0,1,0,2,7.0
0,SDN201705200,ray-r002,43,36,0,2,6,0,0,0,0,3,0,0,0,7.666666666666667
0,COL201505062,ray-r002,26,31,0,5,5,0,0,0,0,0,0,0,1,5.666666666666667
