,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,CHN201507040,28,30,4,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,CIN201507200,24,20,1,0,0,1,0,1,0,,3,6,4.5,0.0
0,MIL201508020,32,31,3,0,0,1,0,0,0,,1,6,1.5,0.0
0,NYN201608140,27,24,3,0,1,0,0,3,0,,2,5,3.6,0.0
0,SDN201608200,34,30,5,0,0,1,0,3,0,,0,6,0.0,0.0
0,MIA201608270,30,34,3,0,0,0,0,1,0,,0,7,0.0,0.0
0,LAN201609020,26,28,4,0,0,0,0,1,0,,1,5,1.8,0.0
0,SDN201609080,40,37,8,0,0,0,0,2,0,,0,7,0.0,0.0
0,SFN201609130,32,27,4,0,1,0,0,3,0,,3,6,4.5,0.0
0,SDN201609190,32,30,2,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,SDN201609250,31,26,1,0,0,0,0,3,0,,2,6,3.0,0.0
0,ARI201610010,32,23,1,0,0,1,0,4,0,,4,5,7.2,0.0
0,LAN201704040,29,38,5,0,0,0,0,2,0,,0,8,0.0,0.0
0,SDN201704090,31,28,3,0,0,0,0,3,0,,4,6,6.0,0.0
0,ATL201704150,30,34,2,0,1,0,1,2,0,,4,6,6.0,0.0
0,SDN201704200,26,41,8,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,ARI201704250,26,18,2,0,1,2,0,3,0,,6,4,13.5,0.0
0,SFN201704300,20,28,3,0,0,0,0,1,0,,2,6,3.0,1.0
0,SDN201705060,37,29,5,0,1,0,0,6,0,,5,5,9.0,0.0
0,TEX201705110,25,34,4,0,1,0,0,1,0,,1,8,1.125,0.0
0,SDN201705160,25,37,7,0,0,0,0,0,0,,6,6,9.0,0.0
0,SDN201705210,31,30,6,0,0,1,0,0,0,,1,9,1.0,0.0
0,WAS201705270,35,40,5,0,1,0,0,1,0,,3,6,4.5,0.0
0,SDN201706020,35,36,3,0,0,0,0,0,0,,3,6,4.5,1.0
0,ARI201706080,22,27,5,0,0,0,0,1,0,,4,5,7.2,0.0
0,SDN201706130,41,42,6,0,0,1,0,2,0,,2,9,2.0,1.0
0,CHN201706190,34,27,3,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,SDN201706250,29,26,3,0,0,0,0,2,0,,5,6,7.5,0.0
0,SDN201706300,35,31,3,0,1,0,0,4,0,,7,5,12.6,1.0
0,PHI201707070,26,26,2,0,0,0,0,1,0,,1,6,1.5,0.0
0,SDN201707140,30,31,4,0,0,0,0,2,0,,4,6,6.0,0.0
0,COL201707190,35,29,3,0,0,0,0,1,0,,10,4,22.5,1.0
0,SDN201707240,45,42,8,0,0,0,0,0,2,,5,8,5.625,0.0
0,SDN201707300,39,34,5,0,1,0,0,2,0,,4,6,6.0,0.0
0,PIT201708060,24,33,5,0,0,0,0,1,0,,0,6,0.0,1.0
0,LAN201708110,35,32,5,0,0,1,0,3,1,,3,6,4.5,2.0
0,SDN201708160,41,38,6,0,0,0,0,1,0,,0,9,0.0,0.0
0,SLN201708220,26,32,6,0,0,0,0,1,0,,4,6,6.0,0.0
0,MIA201708270,31,33,7,0,0,1,0,1,1,,5,8,5.625,0.0
0,SDN201709021,29,26,4,0,1,0,0,2,1,,3,6,4.5,0.0
0,SDN201709070,35,32,5,0,0,0,0,1,0,,0,6,0.0,0.0
0,COL201709150,30,26,3,0,0,0,0,2,1,,4,6,6.0,0.0
0,SDN201709210,32,34,8,0,0,0,0,1,0,,0,8,0.0,0.0
0,LAN201709270,37,35,7,0,0,0,0,3,0,,6,5,10.8,0.0
0,SDN201803290,26,26,4,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,SDN201804040,39,34,6,0,0,1,0,2,1,,5,5,9.0,0.0
0,COL201804090,32,22,3,0,1,0,0,3,0,,4,5,7.2,0.0
0,SDN201804140,38,23,3,0,1,0,0,3,0,,4,5,7.2,0.0
0,ARI201804210,34,33,6,0,0,0,0,3,0,,3,6,4.5,0.0
0,SDN201804270,28,31,4,0,0,0,0,3,0,,3,7,3.857142857142857,0.0
0,SFN201805020,40,31,6,0,0,1,0,4,0,,6,4,13.5,1.0
0,SDN201805080,30,36,8,0,0,0,0,0,0,,3,8,3.375,0.0
0,SDN201805130,34,37,10,0,0,0,0,1,0,,2,8,2.25,0.0
0,PIT201805190,19,29,2,0,0,0,0,0,0,,2,8,2.25,0.0
0,LAN201805250,39,34,4,0,0,0,0,3,0,,4,6,6.0,0.0
0,SDN201805300,37,32,5,0,0,0,0,1,0,,2,7,2.5714285714285716,1.0
0,SDN201806040,31,39,5,0,0,0,0,2,0,,3,7,3.857142857142857,1.0
0,MIA201806100,35,31,5,0,0,0,0,3,0,,1,7,1.2857142857142858,1.0
0,ATL201806150,35,31,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,SFN201806220,28,27,4,0,0,1,0,0,0,,2,7,2.5714285714285716,0.0
0,TEX201806270,34,35,3,0,0,0,0,1,0,,4,7,5.142857142857143,3.0
0,OAK201807030,27,24,2,0,0,0,0,5,0,,5,6,7.5,0.0
0,ARI201807080,26,24,2,0,0,1,0,4,0,,3,5,5.4,2.0
0,SDN201807130,31,32,4,0,1,1,0,5,0,,2,6,3.0,0.0
0,PHI201807200,23,19,3,0,0,0,0,4,0,,7,3,21.0,0.0
0,NYN201807250,25,20,1,0,0,0,0,2,0,,6,6,9.0,0.0
0,SDN201807310,24,20,1,0,0,0,0,3,0,,2,5,3.6,0.0
0,MIL201808070,30,24,3,0,1,0,1,2,0,,5,5,9.0,0.0
0,SDN201808130,29,28,2,0,0,1,0,0,0,,2,8,2.25,1.0
0,SDN201808180,20,25,3,0,1,1,0,0,0,,5,5,9.0,0.0
0,LAN201808240,24,23,3,0,0,0,0,2,0,,6,4,13.5,0.0
0,TOR201905230,19,14,2,0,1,0,1,2,0,,1,4,2.25,1.0
0,TBA201905280,28,24,3,0,1,0,0,4,0,,2,4,4.5,0.0
0,TOR201906040,32,27,4,0,0,0,1,3,0,,2,5,3.6,0.0
0,TOR201906090,24,22,2,0,0,1,0,2,0,,7,3,21.0,0.0
0,HOU201906150,30,26,1,0,0,2,0,2,0,,5,5,9.0,1.0
0,TOR201906200,27,23,2,0,0,0,1,2,0,,4,6,6.0,0.0
0,NYA201906250,26,23,1,0,1,0,0,1,0,,3,6,4.5,1.0
0,TOR201907010,23,28,4,0,0,0,0,1,0,,3,6,4.5,0.0
0,TOR201907060,31,25,2,0,1,0,0,1,0,,3,6,4.5,0.0
0,NYA201907130,10,10,1,0,1,0,0,0,0,,0,2,0.0,1.0
