,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ANA201508030,richg002,37,38,1,4,11,0,0,0,0,3,0,0,3,7.333333333333333
0,ARI202008160,richg002,31,32,1,6,2,0,0,0,0,2,0,0,2,6.666666666666667
0,ANA201405190,richg002,32,29,0,10,1,0,1,0,0,2,0,0,5,6.666666666666667
0,BOS201408200,richg002,15,12,0,5,0,0,0,0,0,1,0,0,2,1.6666666666666665
0,COL202008310,richg002,17,15,0,1,4,0,0,0,0,0,0,0,0,3.6666666666666665
0,ANA201805160,richg002,33,29,1,4,4,0,0,0,0,1,0,0,0,7.0
0,OAK201803290,richg002,32,31,2,7,4,0,0,0,0,3,0,0,4,5.0
0,MIN201806080,richg002,37,34,1,6,7,0,0,0,0,3,0,0,2,5.333333333333333
0,SEA201404090,richg002,43,29,0,1,6,0,0,0,0,3,0,0,0,7.0
0,TOR201805220,richg002,32,32,1,6,4,0,0,2,0,2,0,0,1,5.0
0,TEX201510040,richg002,33,32,1,6,6,0,0,0,0,2,0,0,3,6.0
0,TEX201408150,richg002,33,40,0,7,7,0,0,1,0,0,0,0,1,7.333333333333333
0,OAK201504300,richg002,37,38,0,4,5,0,0,0,0,3,0,0,0,6.0
0,SEA201806130,richg002,10,11,0,4,2,0,0,0,0,0,0,0,2,2.0
0,ANA201604250,richg002,40,35,0,3,5,0,0,0,0,5,0,0,0,6.666666666666667
0,HOU201504190,richg002,36,31,1,5,4,0,0,0,0,4,0,0,3,5.0
0,KCA201804140,richg002,29,23,0,1,5,0,0,3,0,3,0,0,1,5.0
0,ANA201509300,richg002,40,37,0,2,7,0,0,1,0,4,0,0,0,6.0
0,MIL201909160,richg002,19,25,0,5,5,0,0,1,0,0,0,0,3,3.6666666666666665
0,SEA201807040,richg002,26,24,2,4,8,0,0,0,0,1,0,0,2,5.333333333333333
0,OAK201506210,richg002,36,37,0,8,3,0,0,0,0,2,0,0,3,6.0
0,OAK201704050,richg002,26,23,0,3,4,0,0,1,0,1,0,0,0,4.666666666666667
0,ANA201806020,richg002,36,35,0,1,9,0,0,1,0,1,0,0,0,7.0
0,ANA201804210,richg002,34,38,1,5,11,0,0,1,0,1,0,0,2,6.0
0,ANA201507180,richg002,33,42,0,2,6,0,0,0,0,1,0,0,0,9.0
0,ANA201406200,richg002,43,37,0,4,7,0,0,2,0,3,0,0,1,6.0
0,TOR201405090,richg002,37,30,0,5,6,0,0,2,0,2,0,0,2,7.0
0,ANA201505100,richg002,37,42,0,1,10,0,0,0,0,4,0,1,1,6.666666666666667
0,SDN202007260,richg002,26,25,0,1,6,0,1,0,0,3,0,0,0,5.0
0,HOU201406040,richg002,25,45,0,4,9,0,0,0,0,0,0,2,0,8.0
0,ANA201807100,richg002,14,12,1,4,1,0,0,0,0,0,0,0,3,2.6666666666666665
0,ANA201804280,richg002,23,16,0,5,2,0,0,0,0,3,0,0,4,1.6666666666666665
0,ANA201509090,richg002,36,38,1,4,11,0,1,0,0,3,0,1,2,7.666666666666667
0,SDN202008210,richg002,25,21,0,4,4,0,0,0,0,3,0,0,1,2.0
0,NYA201805270,richg002,29,22,0,3,3,0,0,3,0,5,0,0,1,2.3333333333333335
0,ANA201506160,richg002,31,35,0,4,4,0,0,0,0,3,0,0,0,7.0
0,ANA201506010,richg002,37,31,1,6,4,0,0,0,0,3,0,0,3,6.0
0,ANA201404150,richg002,36,25,0,8,5,0,0,1,0,2,0,0,5,7.0
0,ANA201408090,richg002,38,35,0,3,5,0,0,0,0,2,0,0,1,6.333333333333333
0,BOS201505220,richg002,35,37,1,9,1,0,0,0,0,2,0,1,5,6.0
0,WAS201404210,richg002,39,32,0,1,6,0,0,1,0,4,0,1,1,6.0
0,ANA201504240,richg002,28,37,0,3,5,0,0,0,0,3,0,0,2,7.0
0,ANA201407190,richg002,31,35,0,3,7,0,0,0,0,1,0,1,1,7.666666666666667
0,LAN201408040,richg002,44,40,0,5,9,0,0,2,0,2,0,0,0,9.0
0,ANA201406090,richg002,39,31,0,4,4,0,0,0,0,0,0,1,1,7.0
0,HOU201709220,richg002,33,29,0,1,6,0,0,0,0,1,0,0,0,6.0
0,TEX201804090,richg002,38,31,0,4,6,0,0,0,0,5,0,0,1,4.333333333333333
0,SDN202008272,richg002,14,10,2,4,0,0,0,1,0,2,0,0,6,0.6666666666666666
0,ANA201508080,richg002,38,35,1,7,7,0,0,2,0,1,0,0,3,6.0
0,TBA201506110,richg002,21,35,1,4,7,0,0,0,0,1,0,0,2,7.0
0,ANA201508230,richg002,40,37,2,10,4,0,0,0,0,3,0,0,6,5.0
0,ANA201804030,richg002,39,36,1,1,9,0,0,1,0,4,0,1,2,5.666666666666667
0,LAN202008110,richg002,25,27,0,6,3,0,0,0,0,2,0,0,1,6.0
0,PHI201405140,richg002,35,39,0,5,8,0,0,1,0,0,0,0,0,7.0
0,MIN201604150,richg002,34,37,0,4,6,0,0,0,0,1,0,1,2,6.0
0,CHA201709270,richg002,29,26,0,4,3,0,0,1,0,3,0,0,3,3.6666666666666665
0,ANA201505270,richg002,35,32,1,8,6,0,1,0,0,2,0,0,3,6.666666666666667
0,CHA201407011,richg002,39,38,1,2,9,0,0,1,0,2,0,1,3,8.0
0,ANA201407060,richg002,36,39,0,6,11,0,0,1,0,1,0,0,1,7.333333333333333
0,ANA201407240,richg002,33,37,0,7,5,0,0,1,0,2,0,0,4,6.0
0,SDN201909220,richg002,11,11,1,4,2,0,0,0,0,2,0,0,4,1.6666666666666665
0,BAL201505170,richg002,32,36,0,5,7,0,0,2,0,1,0,0,1,7.666666666666667
0,ANA201406250,richg002,41,34,1,4,5,0,0,1,0,5,0,0,1,7.333333333333333
0,ANA201505050,richg002,41,37,0,5,5,0,0,3,0,1,1,1,1,7.0
0,ANA201405030,richg002,41,39,0,9,9,0,0,0,0,1,1,0,3,6.0
0,ANA201506270,richg002,28,35,1,7,6,0,0,2,0,1,0,0,2,7.666666666666667
0,ANA201509250,richg002,37,40,1,5,8,0,0,0,0,4,0,0,3,7.0
0,CLE201508290,richg002,35,45,0,7,9,0,0,0,0,0,0,0,3,7.0
0,NYA201506060,richg002,17,9,1,5,1,0,0,1,0,2,0,0,6,0.6666666666666666
0,OAK201709050,richg002,19,17,0,4,3,0,0,0,0,1,0,0,1,3.3333333333333335
0,MIN201509192,richg002,44,40,1,5,7,0,0,1,0,4,0,0,2,8.666666666666666
0,ANA201604090,richg002,37,32,1,8,6,0,1,1,0,1,0,0,2,6.666666666666667
