,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CLE201509190,rodoc001,36,33,0,6,4,0,0,0,0,1,0,1,1,7.666666666666667
0,CHA201509080,rodoc001,41,31,0,5,8,0,0,0,0,1,0,0,1,7.0
0,CLE201904030,rodoc001,36,37,0,2,9,0,0,1,0,1,0,0,0,6.0
0,DET201904190,rodoc001,35,28,1,3,6,0,0,0,0,3,0,0,1,6.0
0,OAK201505150,rodoc001,38,30,1,5,5,0,0,1,0,6,0,0,4,4.0
0,CLE201809180,rodoc001,32,22,1,7,1,0,0,0,0,3,0,2,4,7.0
0,CHA201904260,rodoc001,31,26,3,9,5,0,0,1,0,3,0,0,6,3.0
0,CHA201807290,rodoc001,47,34,1,5,6,0,0,0,0,1,0,1,2,7.666666666666667
0,CLE201609250,rodoc001,32,40,0,2,11,0,0,1,0,3,0,0,0,8.0
0,CHA201904080,rodoc001,44,36,0,8,9,0,0,1,0,5,0,0,4,4.666666666666667
0,CHA201505092,rodoc001,37,40,0,4,8,0,0,0,0,4,0,0,2,6.0
0,MIA201608120,rodoc001,46,34,0,3,4,0,0,1,0,3,0,0,1,6.0
0,OAK201604060,rodoc001,37,29,1,7,6,0,0,0,0,1,0,0,2,7.0
0,TEX201605100,rodoc001,38,35,2,12,7,0,0,0,0,2,0,0,6,6.666666666666667
0,TEX201506040,rodoc001,39,38,0,5,10,0,0,0,0,3,0,0,1,6.0
0,CHN201507100,rodoc001,41,34,0,2,6,0,0,0,0,6,0,0,0,6.0
0,CHA201605170,rodoc001,44,32,2,6,7,0,0,0,0,0,1,0,2,6.0
0,BAL201604290,rodoc001,36,33,1,8,7,0,0,0,0,1,0,0,4,7.0
0,CLE201606190,rodoc001,32,33,1,8,8,0,0,0,0,1,0,0,2,6.333333333333333
0,DET201808150,rodoc001,35,37,0,5,6,0,0,0,0,1,0,1,3,8.0
0,CHA201604180,rodoc001,17,13,0,6,1,0,0,0,0,2,0,0,5,0.3333333333333333
0,CHA201707190,rodoc001,36,28,4,7,4,0,0,0,0,3,0,0,5,3.6666666666666665
0,KCA201609190,rodoc001,38,31,3,8,4,0,0,1,0,1,0,1,6,4.0
0,KCA201809120,rodoc001,41,28,0,5,5,0,0,0,0,5,0,0,2,5.666666666666667
0,CLE201608180,rodoc001,38,30,0,8,5,0,0,0,0,0,0,1,2,6.0
0,CHA201808100,rodoc001,35,32,0,4,5,0,0,0,0,2,0,0,0,8.0
0,CHA201604230,rodoc001,38,29,1,2,7,0,0,0,0,2,0,0,1,6.666666666666667
0,CHA201809070,rodoc001,44,23,1,6,4,0,0,0,0,4,1,1,4,4.666666666666667
0,DET201506250,rodoc001,38,36,2,8,7,0,0,0,0,3,0,0,4,5.0
0,NYA201808270,rodoc001,38,35,1,2,2,0,0,1,0,4,0,0,2,6.666666666666667
0,CHA201608060,rodoc001,44,32,0,5,7,0,0,1,0,2,0,0,1,6.0
0,PIT201506150,rodoc001,26,19,0,9,3,0,0,1,0,1,0,0,6,3.6666666666666665
0,CHA201609140,rodoc001,26,34,1,9,5,0,0,0,0,3,0,0,6,5.0
0,NYA201509250,rodoc001,35,27,0,5,4,0,0,1,0,5,0,2,2,5.666666666666667
0,MIN201607310,rodoc001,29,29,2,8,7,0,0,1,0,2,0,0,5,6.333333333333333
0,SEA201508220,rodoc001,46,35,0,6,8,0,0,0,0,4,0,0,1,7.0
0,ANA201508170,rodoc001,33,38,2,4,5,0,1,0,0,3,0,0,2,8.0
0,LAN201708160,rodoc001,35,32,1,5,4,0,1,1,0,4,0,0,2,7.333333333333333
0,CHA201606300,rodoc001,27,31,2,5,6,0,0,0,0,1,0,0,4,5.333333333333333
0,KCA201605280,rodoc001,37,35,0,6,3,0,0,1,0,2,0,0,1,5.0
0,CHA201605220,rodoc001,37,30,0,8,4,0,0,0,0,2,0,0,2,6.666666666666667
0,MIN201609020,rodoc001,23,26,1,7,5,0,1,0,0,1,0,1,3,7.0
0,CHA201507050,rodoc001,33,36,1,4,7,0,0,0,0,4,0,0,1,5.0
0,CHA201708211,rodoc001,40,38,0,4,9,0,0,1,0,3,0,0,2,6.333333333333333
0,CHA201809230,rodoc001,24,24,1,9,3,0,0,0,0,0,0,1,5,2.3333333333333335
0,MIN201509020,rodoc001,35,34,1,5,4,0,0,0,0,3,0,0,1,6.0
0,CHA201506200,rodoc001,39,36,0,4,5,0,0,1,0,3,0,0,2,6.0
0,CHA201609090,rodoc001,38,44,0,6,9,0,0,1,0,2,0,0,1,6.0
0,CHA201606240,rodoc001,38,38,0,6,8,0,0,0,1,2,0,1,2,5.666666666666667
0,COL201707090,rodoc001,40,31,1,5,4,0,1,0,0,3,0,0,4,5.333333333333333
0,CHA201708100,rodoc001,27,34,1,9,4,0,0,0,0,0,0,1,2,7.666666666666667
0,CHA201806240,rodoc001,30,32,1,7,3,0,0,0,0,0,0,0,2,8.0
0,HOU201807050,rodoc001,45,34,1,5,6,0,0,0,0,6,0,0,2,5.666666666666667
0,CHA201605040,rodoc001,42,36,1,6,6,0,0,1,0,3,0,1,3,6.0
0,CHA201607050,rodoc001,31,29,2,12,3,0,0,0,0,2,0,0,5,5.0
0,CHA201806140,rodoc001,36,31,1,2,4,0,0,0,0,3,0,2,2,5.0
0,MIN201809290,rodoc001,28,21,0,6,2,0,0,0,0,4,0,0,5,1.0
0,CLE201507260,rodoc001,37,43,0,5,9,0,0,0,0,0,0,1,0,6.666666666666667
0,CHA201905011,rodoc001,28,31,0,5,6,0,0,1,0,2,0,0,3,3.6666666666666665
