,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,NYA201809200,rodre004,47,53,1,4,4,0,0,0,0,7,0,0,2,3.6666666666666665
0,WAS201807040,rodre004,30,54,0,3,6,0,0,0,0,1,0,0,0,6.0
0,BOS201909190,rodre004,35,67,0,3,10,0,0,0,0,2,0,0,1,6.0
0,KCA201906040,rodre004,29,60,1,6,7,0,0,0,0,0,0,0,2,5.666666666666667
0,CLE201708210,rodre004,37,61,1,4,5,0,0,0,1,2,0,0,3,5.666666666666667
0,BOS201907270,rodre004,44,64,1,7,5,0,0,0,0,3,0,0,3,5.666666666666667
0,CIN201709230,rodre004,38,74,0,3,6,0,0,0,0,2,0,0,0,7.666666666666667
0,SEA201608010,rodre004,37,64,0,3,6,0,0,0,0,2,0,0,1,6.333333333333333
0,HOU201905260,rodre004,35,63,0,4,5,0,1,0,0,1,0,1,1,6.0
0,TEX201805050,rodre004,40,67,3,4,10,0,0,0,0,2,0,0,5,6.0
0,KCA201506190,rodre004,41,63,0,6,5,0,0,0,0,1,0,1,1,6.333333333333333
0,BOS201506250,rodre004,24,43,1,7,5,0,0,0,0,0,0,0,6,3.6666666666666665
0,BOS201906240,rodre004,39,64,2,6,4,0,0,0,0,1,1,0,4,6.333333333333333
0,NYA201509280,rodre004,39,58,0,7,5,0,0,0,0,1,0,0,1,6.0
0,BOS201806230,rodre004,36,52,0,7,2,0,0,0,0,1,1,1,4,4.0
0,BOS201606160,rodre004,33,50,1,8,5,0,0,0,0,2,0,0,4,4.333333333333333
0,BAL201609200,rodre004,31,59,1,4,7,0,0,0,0,1,0,0,1,6.333333333333333
0,BOS201606050,rodre004,43,56,4,4,0,0,0,0,0,3,0,0,5,5.666666666666667
0,BOS201906300,rodre004,51,64,0,4,5,0,0,0,0,4,0,0,2,5.333333333333333
0,TOR201506300,rodre004,38,59,0,4,4,0,0,0,0,2,0,0,1,6.0
0,CHA201905040,rodre004,39,61,0,6,6,0,0,0,0,2,0,0,1,6.0
0,SEA201903300,rodre004,44,61,1,8,5,0,0,0,0,3,0,0,5,4.333333333333333
0,BAL201906140,rodre004,41,73,1,6,4,0,0,0,0,0,0,1,1,7.0
0,BOS201608110,rodre004,34,59,1,3,6,0,0,0,0,1,0,0,1,7.0
0,SEA201806170,rodre004,43,70,1,6,9,0,0,0,0,1,0,0,2,6.0
0,BOS201509060,rodre004,29,73,0,8,7,0,0,0,0,1,0,0,1,7.0
0,NYA201708310,rodre004,29,69,2,10,4,0,0,0,0,2,0,1,4,5.0
0,BOS201709280,rodre004,19,31,1,6,2,0,0,0,0,2,0,0,5,1.6666666666666665
0,ANA201804190,rodre004,39,65,1,3,5,0,0,0,0,3,0,0,2,6.0
0,DET201704080,rodre004,39,41,2,5,5,0,0,1,0,3,0,0,4,5.0
0,BOS201904240,rodre004,36,54,0,2,7,0,0,0,0,3,0,0,1,6.0
0,NYA201508060,rodre004,35,68,1,6,5,0,0,0,0,1,1,1,2,7.0
0,BOS201507050,rodre004,36,65,0,6,8,0,0,0,0,2,0,0,1,5.0
0,MIN201606110,rodre004,34,59,1,6,4,0,0,0,0,4,0,0,4,4.666666666666667
0,BOS201907120,rodre004,38,67,1,5,10,0,0,0,0,2,0,0,1,7.0
0,BOS201506031,rodre004,26,77,1,2,7,0,0,1,0,2,0,0,1,7.0
0,BOS201908070,rodre004,41,60,0,7,1,0,0,0,0,3,0,0,2,5.0
0,BOS201807090,rodre004,37,68,0,3,5,0,0,0,0,3,0,0,0,5.666666666666667
0,ANA201507201,rodre004,16,20,2,6,0,0,0,0,0,3,0,0,7,1.6666666666666665
0,BOS201905100,rodre004,35,68,0,5,5,0,0,0,0,1,0,0,0,7.0
0,BOS201708260,rodre004,43,74,1,7,7,0,0,0,0,1,0,0,5,6.666666666666667
0,BOS201508180,rodre004,35,79,1,6,5,0,0,0,0,0,0,0,1,8.0
0,BOS201709050,rodre004,37,70,1,6,8,0,0,0,0,1,0,0,2,6.0
0,BOS201707170,rodre004,43,68,1,6,8,0,0,0,0,4,0,0,3,5.333333333333333
0,TBA201709170,rodre004,38,72,1,7,7,0,0,0,0,1,0,0,2,5.666666666666667
0,BOS201508310,rodre004,38,62,0,7,4,0,0,0,0,3,0,0,1,5.0
0,SEA201707240,rodre004,38,61,1,6,6,0,0,0,0,2,0,1,4,5.333333333333333
0,TOR201905210,rodre004,38,57,3,6,5,0,0,1,0,3,0,0,6,5.0
0,BOS201507260,rodre004,29,66,1,3,6,0,0,0,0,1,0,0,1,6.666666666666667
0,NYA201805100,rodre004,40,53,0,1,8,0,0,0,0,3,0,0,0,5.0
0,BAL201608160,rodre004,21,39,0,0,7,0,0,0,0,1,0,0,0,4.0
0,SDN201908230,rodre004,32,61,0,5,6,0,0,0,0,1,0,0,0,6.666666666666667
0,TOR201609100,rodre004,38,62,1,4,5,0,0,0,0,2,0,0,2,6.0
0,BOS201607220,rodre004,31,60,1,6,8,0,0,0,0,1,0,0,1,5.333333333333333
0,LAN201608060,rodre004,32,56,0,8,5,0,0,0,0,1,0,0,3,4.333333333333333
0,CHA201809010,rodre004,30,60,0,3,12,0,0,0,0,1,0,0,1,5.666666666666667
0,BOS201609150,rodre004,21,37,0,8,0,0,0,0,0,0,0,1,4,2.3333333333333335
0,TBA201606270,rodre004,24,47,2,11,2,0,0,0,0,1,0,0,9,2.6666666666666665
0,BOS201905150,rodre004,33,70,0,9,10,0,0,0,0,1,0,1,2,6.0
0,SLN201705160,rodre004,36,74,0,5,5,0,0,0,0,2,0,1,3,6.0
0,BOS201805200,rodre004,36,74,0,9,7,0,0,0,0,0,0,0,0,5.666666666666667
0,NYA201908020,rodre004,48,65,1,5,8,0,0,0,0,6,0,0,4,6.666666666666667
0,BAL201706010,rodre004,33,61,4,8,6,0,0,0,0,0,0,0,7,5.666666666666667
0,BOS201708040,rodre004,46,71,0,4,5,0,0,0,0,2,0,0,2,6.0
0,BOS201809080,rodre004,29,49,2,6,4,0,0,0,0,3,0,0,4,3.3333333333333335
0,COL201908280,rodre004,44,60,0,9,5,0,0,0,0,3,0,0,3,5.0
0,MIA201508120,rodre004,34,58,1,9,2,0,0,0,0,1,0,0,7,5.0
0,BOS201805250,rodre004,40,61,0,6,7,0,0,0,0,3,0,0,2,5.666666666666667
0,BOS201909040,rodre004,46,67,0,5,8,0,0,0,0,4,0,1,0,7.0
0,TBA201904190,rodre004,37,57,1,7,6,0,0,0,0,1,0,1,3,5.333333333333333
0,PHI201909140,rodre004,35,70,0,4,12,0,0,0,0,1,0,1,1,6.666666666666667
0,BOS201606220,rodre004,38,64,1,4,7,0,0,0,0,2,0,0,3,6.0
0,CLE201908120,rodre004,35,78,2,10,5,0,0,0,0,3,0,0,5,6.0
0,NYA201806290,rodre004,40,55,2,7,2,0,0,0,0,2,0,0,5,6.0
0,BOS201904290,rodre004,34,63,0,7,7,0,1,1,0,2,0,0,4,4.666666666666667
0,BOS201508230,rodre004,33,71,1,7,1,0,0,0,0,0,0,0,2,6.0
0,DET201907050,rodre004,27,49,0,4,4,0,0,0,0,1,0,0,1,5.0
0,NYA201607160,rodre004,35,62,1,4,1,0,0,0,0,2,0,0,1,7.0
0,BOS201709120,rodre004,45,64,0,1,9,0,0,0,0,4,0,1,1,6.0
0,MIN201705050,rodre004,37,73,0,7,6,0,0,0,0,0,1,1,2,6.0
0,OAK201705210,rodre004,28,70,1,6,8,0,0,0,0,1,0,0,3,8.0
0,BOS201904120,rodre004,31,62,1,3,8,0,0,0,0,0,0,0,2,6.666666666666667
0,BOS201809130,rodre004,26,52,0,5,7,0,0,0,0,0,0,0,1,6.0
0,BOS201805300,rodre004,30,70,1,3,7,0,0,0,0,1,0,0,2,6.666666666666667
0,TBA201609250,rodre004,45,68,0,3,13,0,0,0,0,2,0,1,1,5.333333333333333
0,BOS201704130,rodre004,44,63,1,4,8,0,0,0,0,4,0,0,2,5.333333333333333
0,BAL201506090,rodre004,41,61,0,3,7,0,0,0,0,3,0,1,0,6.0
