,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,WAS201806190,32,33,6,0,0,0,0,3,0,,5,5,9.0,1.0
0,WAS201806240,36,32,3,0,0,0,0,2,1,,4,5,7.2,1.0
0,PIT201807090,32,28,4,0,0,0,0,3,1,,6,5,10.8,0.0
0,WAS201808071,20,22,3,0,0,0,0,1,0,,1,5,1.8,0.0
0,WAS201808180,27,24,3,0,1,0,0,3,0,,2,6,3.0,0.0
0,NYN201808260,40,29,3,0,0,1,0,4,0,,0,6,0.0,0.0
0,WAS201809020,43,26,2,0,0,0,0,7,0,,7,5,12.6,0.0
0,WAS201809082,36,28,7,0,0,0,0,2,1,,4,4,9.0,1.0
0,KCA201904130,29,26,3,0,0,0,0,0,0,,2,6,3.0,0.0
0,CLE201904240,32,29,3,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,CLE201905070,36,27,6,0,1,0,0,3,0,,2,7,2.5714285714285716,0.0
0,OAK201905120,38,32,3,0,0,0,0,3,0,,3,6,4.5,0.0
0,CLE201905170,33,36,5,0,0,1,0,1,0,,4,7,5.142857142857143,0.0
0,CLE201905220,41,25,3,0,0,1,0,4,0,,4,4,9.0,0.0
0,BOS201905270,35,37,6,0,0,2,1,2,1,,6,5,10.8,0.0
0,CHA201906010,21,16,3,0,1,0,0,3,0,,1,4,2.25,0.0
