,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,HOU201404010,30,36,6,0,0,0,0,1,0,,6,6,9.0,0.0
0,TOR201404060,28,33,6,0,0,0,0,0,0,,4,6,6.0,0.0
0,NYA201404110,36,39,9,0,0,0,0,2,0,,4,7,5.142857142857143,0.0
0,TBA201404170,33,39,6,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,BOS201404240,30,44,8,0,0,1,0,3,0,,2,6,3.0,2.0
0,NYA201404290,28,38,6,0,0,0,0,0,0,,4,6,6.0,2.0
0,NYA201405040,24,28,3,0,0,0,0,1,0,,5,4,11.25,0.0
0,MIL201405100,36,38,4,0,0,0,0,1,0,,1,6,1.5,0.0
0,NYA201504090,27,37,8,0,0,0,0,0,0,,4,6,6.0,0.0
0,BAL201504140,27,33,7,0,0,1,0,1,0,,4,7,5.142857142857143,0.0
0,DET201504200,32,32,5,0,0,0,0,2,1,,2,8,2.25,0.0
0,NYA201504250,23,36,2,0,0,0,0,0,0,,7,6,10.5,1.0
0,BOS201505010,39,31,3,0,0,0,0,2,0,,2,6,3.0,0.0
0,TOR201505060,32,37,4,0,0,0,1,2,0,,4,7,5.142857142857143,0.0
0,TBA201505110,41,35,9,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,KCA201505160,22,33,5,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,NYA201505230,19,23,4,0,0,1,0,1,0,,6,3,18.0,0.0
0,OAK201505280,28,35,4,0,0,0,0,1,0,,5,7,6.428571428571429,0.0
0,SEA201506020,29,36,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,NYA201506070,29,32,7,0,0,0,0,1,0,,2,6,3.0,0.0
0,BAL201506130,35,29,3,0,0,0,0,0,0,,4,5,7.2,0.0
0,NYA201506180,30,31,7,0,0,0,0,0,0,,3,6,4.5,1.0
0,NYA201506230,31,33,4,0,0,0,0,2,0,,6,5,10.8,0.0
0,ANA201506290,33,31,5,0,0,0,0,1,0,,4,8,4.5,0.0
0,NYA201507080,27,30,1,0,0,0,0,2,0,,2,6,3.0,0.0
0,NYA201507190,26,34,7,0,0,2,0,1,0,,1,6,1.5,0.0
0,MIN201507250,33,35,3,0,0,0,0,3,0,,5,6,7.5,1.0
0,TEX201507300,31,24,3,0,0,0,0,1,0,,5,6,7.5,1.0
0,NYA201508060,33,34,8,0,0,0,0,3,0,,1,6,1.5,0.0
0,CLE201508120,37,33,2,0,0,1,0,2,0,,2,6,3.0,0.0
0,NYA201508180,37,37,5,0,0,0,0,3,0,,4,7,5.142857142857143,0.0
0,NYA201508230,21,17,1,0,0,0,0,4,0,,2,3,6.0,0.0
0,NYA201509090,30,29,5,0,0,0,0,3,0,,1,5,1.8,1.0
0,TBA201509140,41,35,6,0,0,0,0,2,0,,0,7,0.0,0.0
0,NYN201509200,37,41,7,0,0,0,0,2,1,,1,6,1.5,0.0
0,NYA201509250,34,33,3,0,0,0,0,2,0,,4,7,5.142857142857143,1.0
0,NYA201510010,34,32,3,0,0,0,0,2,1,,1,5,1.8,0.0
0,DET201604090,34,30,3,0,0,1,0,4,0,,3,7,3.857142857142857,0.0
0,NYA201604160,32,30,5,0,0,0,0,1,0,,3,5,5.4,0.0
0,NYA201604220,29,23,2,0,0,0,0,3,0,,3,5,5.4,0.0
0,TEX201604270,29,30,5,0,0,0,0,3,0,,3,6,4.5,1.0
0,BAL201605040,35,34,6,0,0,0,0,2,0,,0,7,0.0,0.0
0,OAK201605200,32,36,8,0,0,0,0,1,0,,1,6,1.5,1.0
0,NYA201605260,24,29,7,0,0,0,0,1,0,,0,7,0.0,1.0
0,TOR201605310,30,25,4,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,BAL201606050,36,30,5,0,0,0,0,6,0,,0,6,0.0,1.0
0,NYA201606100,39,32,4,0,0,0,0,2,0,,0,7,0.0,0.0
0,MIN201606160,38,39,7,0,0,0,0,3,0,,1,6,1.5,1.0
0,NYA201606220,27,30,3,0,0,0,0,2,0,,5,5,9.0,0.0
0,NYA201606280,32,36,2,0,0,0,0,1,0,,6,8,6.75,1.0
0,CHA201607040,26,40,9,0,0,0,0,2,0,,5,6,7.5,0.0
0,CLE201607090,29,30,2,0,0,0,0,2,0,,5,6,7.5,1.0
0,NYA201607160,31,33,2,0,0,0,0,3,0,,4,6,6.0,0.0
0,NYA201607210,29,33,2,0,0,0,1,1,0,,4,7,5.142857142857143,0.0
0,HOU201607260,37,31,5,0,0,0,0,2,0,,2,7,2.5714285714285716,0.0
0,NYN201608010,37,34,5,0,0,0,0,2,1,,5,6,7.5,0.0
0,NYA201608060,38,33,5,0,0,0,0,4,0,,3,6,4.5,1.0
0,NYA201608120,33,32,7,0,0,0,0,3,0,,3,6,4.5,0.0
0,NYA201608170,27,40,12,0,0,0,0,1,0,,7,6,10.5,0.0
0,SEA201608230,30,39,7,0,0,1,0,1,0,,1,7,1.2857142857142858,0.0
0,NYA201608280,33,33,8,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,BAL201609030,32,33,1,0,0,0,0,2,0,,1,6,1.5,0.0
0,NYA201609080,31,33,4,0,0,0,0,0,0,,3,5,5.4,1.0
0,NYA201609130,31,35,7,0,0,0,0,1,0,,0,7,0.0,0.0
0,BOS201609180,39,39,5,0,0,0,0,3,0,,4,6,6.0,0.0
0,TOR201609240,30,32,2,0,0,0,0,3,0,,0,7,0.0,0.0
0,NYA201609290,43,35,8,0,0,0,0,2,0,,1,8,1.125,0.0
0,TBA201704040,28,28,2,0,0,0,0,2,0,,0,5,0.0,0.0
0,BAL201704090,36,32,3,0,0,1,0,4,0,,2,6,3.0,0.0
0,NYA201704150,33,32,6,0,0,0,0,1,0,,1,8,1.125,1.0
0,PIT201704210,26,24,3,0,0,0,0,2,0,,4,5,7.2,0.0
0,NYA201704280,20,30,6,0,0,0,0,2,0,,7,6,10.5,1.0
0,NYA201705030,32,24,5,0,0,0,0,4,0,,6,5,10.8,0.0
0,CIN201705090,31,29,2,0,0,0,0,2,0,,5,6,7.5,1.0
0,KCA201705160,27,29,4,0,0,0,0,2,0,,0,7,0.0,0.0
0,TBA201705210,27,31,6,0,1,0,0,1,0,,1,6,1.5,0.0
0,NYA201705270,33,32,9,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,TOR201706010,38,32,7,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,NYA201706070,31,34,5,0,0,0,0,0,0,,0,8,0.0,0.0
0,ANA201706130,22,16,4,0,0,0,0,1,0,,0,4,0.0,0.0
0,NYA201707040,25,20,1,0,0,1,0,3,0,,4,3,12.0,0.0
0,BOS201707161,35,33,3,0,0,1,0,5,0,,0,6,0.0,0.0
0,SEA201707210,32,32,5,0,0,1,0,3,0,,1,6,1.5,1.0
0,NYA201707270,31,27,3,0,0,0,0,1,0,,4,5,7.2,0.0
0,NYA201708010,36,28,3,0,0,0,0,1,0,,4,6,6.0,0.0
0,TOR201708080,22,18,3,0,0,0,0,1,0,,4,3,12.0,0.0
0,BOS201708190,26,26,4,0,0,0,0,1,0,,2,6,3.0,0.0
0,NYA201708250,35,30,6,0,1,0,0,1,0,,1,7,1.2857142857142858,0.0
0,NYA201708310,37,34,6,0,0,0,0,5,0,,1,6,1.5,0.0
0,BAL201709050,34,26,3,0,0,1,0,1,0,,5,6,7.5,0.0
0,TBA201709110,26,30,6,0,0,0,0,2,0,,1,5,1.8,0.0
0,NYA201709190,26,23,5,0,0,0,0,0,1,,2,6,3.0,0.0
0,NYA201709250,22,30,4,0,0,0,0,1,0,,3,7,3.857142857142857,1.0
0,NYA201709300,24,28,6,0,0,0,0,0,0,,0,6,0.0,0.0
0,TOR201803310,28,30,4,0,0,0,0,2,0,,1,5,1.8,0.0
0,NYA201804060,15,21,3,0,0,0,0,0,0,,3,4,6.75,1.0
0,NYA201804190,19,30,1,0,0,0,0,1,0,,0,5,0.0,1.0
0,NYA201804240,27,26,4,0,0,0,0,1,0,,0,6,0.0,0.0
0,ANA201804290,32,36,4,0,0,1,0,1,0,,1,7,1.2857142857142858,0.0
0,NYA201805040,31,30,7,0,0,0,0,0,0,,0,6,0.0,0.0
0,NYA201805100,23,29,5,0,0,0,0,0,0,,4,5,7.2,0.0
0,KCA201805180,33,35,5,0,0,0,0,4,0,,2,5,3.6,0.0
0,TEX201805230,30,32,1,0,0,0,0,3,0,,7,5,12.6,0.0
0,NYA201805290,31,36,4,0,0,1,0,2,0,,3,5,5.4,0.0
0,TOR201806050,31,32,6,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,NYA201806120,35,36,3,0,0,0,0,3,0,,0,6,0.0,1.0
0,NYA201806170,24,40,10,0,0,0,0,1,0,,3,8,3.375,1.0
0,TBA201806220,31,32,4,0,0,0,0,1,0,,1,6,1.5,1.0
0,NYA201806290,33,34,5,0,0,0,0,1,0,,1,7,1.2857142857142858,1.0
0,NYA201807040,30,34,5,0,0,0,0,3,0,,2,6,3.0,2.0
0,BAL201807091,39,31,4,0,0,0,0,3,0,,5,6,7.5,0.0
0,CLE201807140,31,30,2,0,0,0,0,2,0,,4,6,6.0,0.0
0,NYA201807282,27,27,8,0,0,0,0,2,0,,2,5,3.6,1.0
0,BOS201808020,28,25,2,0,0,0,0,4,0,,2,3,6.0,0.0
0,CHA201808070,31,38,12,0,0,0,0,3,0,,1,6,1.5,0.0
0,NYA201808120,33,36,7,0,0,0,0,3,0,,0,6,0.0,0.0
0,BAL201808240,20,32,8,0,0,0,0,2,0,,2,6,3.0,0.0
0,NYA201808290,23,34,6,0,0,0,0,2,0,,3,6,4.5,0.0
0,OAK201809030,19,24,4,0,0,0,0,2,0,,4,4,9.0,0.0
0,SEA201809090,23,29,4,0,0,0,0,1,0,,2,6,3.0,0.0
0,NYA201809150,13,18,2,0,0,1,0,0,0,,5,3,15.0,0.0
0,NYA201809210,35,33,5,0,0,0,0,3,0,,2,6,3.0,0.0
0,TBA201809270,14,20,5,0,0,0,0,0,0,,0,6,0.0,2.0
0,NYA201904130,20,24,3,0,0,0,0,0,0,,0,5,0.0,0.0
0,NYA201904190,33,27,5,0,0,0,0,4,0,,0,5,0.0,0.0
0,ANA201904240,26,32,3,0,0,0,0,0,0,,4,5,7.2,0.0
0,ARI201904300,34,25,5,0,0,0,0,2,0,,2,6,3.0,0.0
0,NYA201905060,34,33,5,0,0,0,0,3,0,,3,5,5.4,0.0
0,TBA201905110,23,26,2,0,0,0,0,4,0,,2,5,3.6,0.0
0,NYA201905170,25,32,4,0,0,0,0,2,0,,1,6,1.5,0.0
0,BAL201905220,26,32,7,0,0,0,0,2,0,,4,5,7.2,1.0
0,NYA201906020,22,33,8,0,0,0,0,0,0,,3,6,4.5,0.0
0,CLE201906080,23,21,5,0,0,0,0,1,0,,4,5,7.2,0.0
0,CHA201906140,25,24,3,0,0,0,0,3,0,,5,5,9.0,0.0
0,NYA201906190,32,34,7,0,0,0,0,3,0,,1,6,1.5,0.0
0,NYA201906240,38,36,9,0,0,0,0,2,0,,2,6,3.0,0.0
0,TBA201907060,28,30,5,0,0,0,0,2,0,,3,7,3.857142857142857,1.0
0,NYA201907160,29,26,6,0,0,0,0,0,0,,3,6,4.5,0.0
0,MIN201907220,30,24,2,0,0,0,0,2,0,,6,4,13.5,0.0
0,BOS201907270,21,22,3,0,0,0,0,0,0,,5,5,9.0,0.0
0,NYA201908180,27,22,5,0,0,0,0,3,0,,4,3,12.0,0.0
0,LAN201908240,26,30,7,0,0,0,0,1,0,,2,4,4.5,0.0
0,NYA201908300,18,15,2,0,0,0,0,2,0,,1,3,3.0,1.0
0,DET201909122,15,23,5,0,0,0,0,1,0,,2,4,4.5,0.0
0,NYA201909180,22,21,4,0,0,0,0,2,0,,2,3,6.0,0.0
