,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,CIN201508020,27,26,6,0,0,0,0,1,0,,3,5,5.4,0.0
0,ARI201508080,34,28,4,0,0,0,0,3,0,,1,6,1.5,0.0
0,LAN201508130,43,25,3,0,0,0,0,3,0,,2,5,3.6,0.0
0,CIN201508190,35,30,2,0,0,0,0,2,0,,4,4,9.0,0.0
0,CIN201508240,36,32,5,0,0,0,0,2,0,,5,4,11.25,0.0
0,MIL201508290,34,33,3,0,0,1,0,2,0,,5,4,11.25,0.0
0,CIN201509052,23,22,3,0,0,1,0,3,0,,3,3,9.0,0.0
0,CIN201509090,30,34,4,0,0,0,0,3,0,,5,6,7.5,0.0
0,SFN201509140,25,14,0,0,0,1,0,2,0,,3,3,9.0,0.0
0,SLN201509220,39,27,1,0,0,0,0,3,0,,1,6,1.5,0.0
0,CIN201509270,22,21,2,0,0,0,0,0,0,,2,3,6.0,0.0
0,PIT201510020,35,31,7,0,0,0,0,2,0,,4,6,6.0,0.0
0,CIN201607230,27,27,6,0,0,1,0,2,0,,1,5,1.8,0.0
0,CIN201609120,31,30,7,0,0,0,0,2,0,,0,5,0.0,1.0
