,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,DET201507220,sanca004,31,37,2,9,6,0,0,0,0,2,0,0,4,6.666666666666667
0,DET201408030,sanca004,33,40,0,2,12,0,0,0,0,0,0,0,0,7.0
0,DET201504080,sanca004,35,33,0,3,6,0,0,0,0,2,0,0,0,6.666666666666667
0,KCA201609020,sanca004,33,29,0,5,4,0,0,0,0,1,0,1,0,5.0
0,WAS201907310,sanca004,26,39,1,10,6,0,0,0,0,0,1,0,4,5.0
0,BAL201605140,sanca004,27,29,2,6,4,0,0,0,1,2,0,0,4,6.0
0,BAL201508010,sanca004,29,34,2,9,5,0,0,0,0,0,0,0,6,6.666666666666667
0,ATL201806140,sanca004,21,35,0,4,6,0,0,0,0,0,0,0,0,7.0
0,DET201505190,sanca004,25,20,3,7,2,0,0,0,0,2,0,0,7,3.6666666666666665
0,MIN201609221,sanca004,29,24,1,2,4,0,0,0,0,1,0,0,1,5.0
0,ATL201806030,sanca004,31,32,1,2,5,0,0,0,0,1,0,0,0,7.0
0,DET201609140,sanca004,16,25,2,5,7,0,0,0,0,2,0,0,6,4.0
0,MIA201808250,sanca004,39,31,0,4,2,0,0,0,0,2,0,0,1,5.666666666666667
0,NYN201908110,sanca004,32,28,0,7,3,0,0,0,0,1,0,0,3,5.0
0,CHN201508180,sanca004,14,13,1,3,2,0,0,1,0,1,0,0,2,2.3333333333333335
0,WAS201906220,sanca004,36,30,1,6,6,0,0,0,0,1,0,0,4,6.0
0,ATL201806260,sanca004,24,26,0,5,5,0,0,0,0,1,0,0,2,4.666666666666667
0,MIA201909200,sanca004,32,26,1,6,1,0,0,0,1,1,0,1,2,5.0
0,LAN201905100,sanca004,34,27,2,6,3,0,0,0,1,1,1,0,3,4.333333333333333
0,ATL201805290,sanca004,19,23,2,5,2,0,1,1,0,2,0,1,4,4.0
0,WAS201906160,sanca004,34,33,1,6,3,0,0,0,0,0,0,2,2,6.0
0,DET201608070,sanca004,30,39,1,4,10,0,0,0,0,0,0,0,1,8.0
0,TOR201709100,sanca004,29,32,2,12,5,0,0,0,0,1,0,0,7,4.666666666666667
0,DET201608170,sanca004,34,30,0,1,8,0,0,0,0,2,0,0,0,7.0
0,DET201607190,sanca004,29,41,0,7,10,0,0,0,0,2,0,0,1,6.0
0,NYA201708010,sanca004,38,31,1,6,3,0,0,1,0,1,0,1,2,6.666666666666667
0,SFN201809120,sanca004,30,35,0,6,4,0,0,1,0,5,0,0,1,6.0
0,PHI201905050,sanca004,38,36,0,2,9,0,0,0,0,3,1,0,0,4.666666666666667
0,TBA201507270,sanca004,42,30,1,8,6,0,0,0,0,2,0,0,3,5.333333333333333
0,DET201506150,sanca004,39,38,0,2,7,0,0,0,0,0,0,0,0,9.0
0,ATL201807260,sanca004,32,35,1,7,4,0,0,0,0,2,0,0,3,6.333333333333333
0,DET201708110,sanca004,29,32,2,8,6,0,0,0,0,0,0,0,5,6.0
0,WAS201605090,sanca004,32,28,1,6,2,0,0,0,0,3,0,0,3,6.0
0,DET201407050,sanca004,37,31,1,6,1,0,0,1,0,4,0,0,5,5.666666666666667
0,SEA201706190,sanca004,35,30,1,5,5,0,0,0,0,3,0,1,2,5.0
0,DET201606250,sanca004,33,28,2,5,3,0,0,0,0,2,0,0,4,5.0
0,DET201707260,sanca004,31,26,0,9,4,0,1,0,1,2,0,0,4,3.6666666666666665
0,TOR201806200,sanca004,39,30,1,5,7,0,0,0,0,4,0,0,4,5.0
0,DET201404040,sanca004,22,23,0,2,3,0,0,0,0,3,0,0,2,4.0
0,WAS201906050,sanca004,24,32,1,4,7,0,0,0,0,1,0,0,1,5.333333333333333
0,CHN201804130,sanca004,29,30,0,3,6,0,0,0,0,1,0,1,0,5.666666666666667
0,DET201906280,sanca004,36,38,1,6,8,0,0,0,0,1,0,0,1,6.0
0,ATL201809180,sanca004,30,31,1,4,9,0,0,0,0,0,0,1,2,6.0
0,MIN201504280,sanca004,31,37,0,9,6,0,0,0,0,0,0,0,3,7.0
0,CHA201609070,sanca004,30,25,0,8,3,0,0,0,0,1,0,0,3,5.0
0,DET201604230,sanca004,19,21,1,9,2,0,0,0,0,1,0,0,6,2.3333333333333335
0,CLE201607050,sanca004,35,27,0,5,6,0,0,0,0,4,0,0,5,4.333333333333333
0,ATL201808140,sanca004,29,23,1,7,6,0,0,0,0,2,0,0,4,5.0
0,KCA201709260,sanca004,34,32,0,7,6,0,0,1,0,1,0,0,2,6.0
0,MIN201909100,sanca004,32,34,1,4,5,0,0,0,0,1,0,0,2,7.0
0,DET201707060,sanca004,33,30,0,5,8,0,0,0,0,0,0,1,2,6.0
0,LAN201404090,sanca004,41,36,0,6,6,0,0,1,0,1,0,0,1,5.0
0,WAS201907260,sanca004,30,30,0,3,6,0,0,0,0,1,0,0,1,7.0
0,DET201506030,sanca004,40,28,1,5,1,0,0,0,0,4,0,0,4,7.0
0,WAS201908300,sanca004,32,30,1,3,6,0,0,0,0,3,1,0,2,5.0
0,ARI201809060,sanca004,25,32,0,4,8,0,0,0,0,1,0,0,3,5.0
0,DET201709200,sanca004,44,36,0,3,8,0,0,0,0,3,0,0,1,6.0
0,TOR201607100,sanca004,31,32,1,8,6,0,0,0,0,2,0,0,5,4.0
0,WAS201909040,sanca004,29,22,3,8,2,0,0,0,0,2,1,0,6,5.0
0,WAS201904130,sanca004,36,31,1,7,2,0,0,0,0,1,0,0,2,7.0
0,DET201405230,sanca004,32,35,0,5,5,0,0,0,0,0,0,0,2,7.0
0,CHA201607240,sanca004,28,34,1,10,5,0,0,0,0,0,0,0,4,6.0
0,CHA201906100,sanca004,18,21,1,4,1,0,1,0,0,1,0,0,1,6.0
0,BOS201405180,sanca004,21,34,0,5,3,0,0,0,0,2,1,0,1,4.666666666666667
0,DET201709050,sanca004,2,2,0,1,0,0,0,0,0,0,0,0,0,0.0
0,BAL201708060,sanca004,28,25,5,10,2,0,0,0,0,0,1,0,8,3.0
0,KCA201407110,sanca004,28,28,0,8,3,0,1,0,0,0,0,0,1,7.0
0,PIT201504130,sanca004,27,35,3,8,9,0,0,0,0,0,0,0,5,6.333333333333333
0,COL201804070,sanca004,27,30,1,7,6,0,0,0,0,2,0,0,2,5.0
0,DET201608020,sanca004,24,30,0,6,2,0,0,0,0,3,0,0,1,5.666666666666667
0,DET201605250,sanca004,32,34,2,8,5,0,0,0,0,1,0,0,3,6.0
0,DET201507030,sanca004,40,40,0,3,5,0,0,0,0,3,0,0,1,7.333333333333333
0,SEA201507080,sanca004,46,33,1,5,6,0,0,0,0,5,0,0,3,6.333333333333333
0,TEX201708160,sanca004,13,16,2,5,1,0,0,0,0,1,0,0,4,2.3333333333333335
0,WAS201909150,sanca004,41,35,0,3,3,0,0,0,0,1,0,0,0,7.0
0,DET201604120,sanca004,42,33,1,4,4,0,0,1,0,3,0,0,2,5.666666666666667
0,TOR201408080,sanca004,34,30,0,9,3,0,0,0,0,1,0,0,3,4.666666666666667
0,DET201505240,sanca004,43,38,2,8,11,0,0,1,1,2,0,0,7,5.666666666666667
0,ATL201807130,sanca004,33,31,0,5,6,0,1,0,0,0,0,0,1,6.0
0,WAS201904300,sanca004,32,31,0,5,7,0,0,0,1,2,0,0,3,5.0
0,DET201505090,sanca004,31,31,1,9,2,0,0,0,0,2,1,1,5,6.0
0,WAS201909250,sanca004,30,31,1,6,7,0,0,0,0,0,0,0,2,7.0
0,ATL201808190,sanca004,29,35,2,5,8,0,0,0,0,2,0,0,3,6.666666666666667
0,DET201605200,sanca004,35,30,1,6,4,0,0,0,0,2,0,0,3,5.0
0,WAS201907040,sanca004,29,32,1,5,2,0,0,1,0,3,0,0,1,6.0
0,DET201406300,sanca004,40,34,0,8,2,0,0,0,0,0,0,1,1,7.0
0,DET201709150,sanca004,31,37,1,6,11,0,0,0,0,1,0,0,1,6.0
0,DET201406080,sanca004,39,35,1,6,7,0,0,1,0,2,0,0,2,5.666666666666667
0,DET201406190,sanca004,38,33,0,5,0,0,0,0,0,1,0,0,1,7.0
0,ANA201505290,sanca004,37,43,1,6,9,0,0,0,0,2,0,0,2,7.0
0,SFN201908060,sanca004,26,31,0,4,3,0,1,0,0,1,0,0,1,6.0
