,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,ANA201404020,34,24,4,0,0,0,0,3,0,,4,6,6.0,0.0
0,SEA201404080,31,33,6,0,0,0,0,3,0,,4,5,7.2,1.0
0,ANA201404140,35,36,3,0,0,0,0,1,0,,1,7,1.2857142857142858,0.0
0,DET201404200,52,35,7,0,0,0,0,5,0,,0,6,0.0,0.0
0,NYA201404260,26,24,3,0,0,0,1,1,0,,4,5,7.2,1.0
0,ANA201405020,32,38,5,0,1,0,0,2,0,,5,7,6.428571428571429,0.0
0,ANA201405070,19,18,2,0,1,1,0,3,0,,2,3,6.0,0.0
0,ANA201406100,35,34,8,0,1,0,0,1,0,,0,6,0.0,0.0
0,ATL201406150,30,28,4,0,0,0,0,2,0,,4,6,6.0,0.0
0,KCA201406280,18,25,4,0,0,1,0,0,0,,0,4,0.0,0.0
0,ANA201407050,34,35,7,0,0,1,0,2,1,,5,5,9.0,1.0
0,TEX201407100,38,36,8,0,0,0,0,1,0,,3,6,4.5,0.0
0,ANA201407220,33,33,2,0,0,0,0,3,0,,0,5,0.0,0.0
0,ANA201407270,25,29,3,0,0,0,0,0,0,,1,6,1.5,0.0
0,LAN201408050,31,29,2,0,1,0,0,3,0,,3,6,4.5,0.0
0,ANA201408100,32,31,5,0,0,0,0,2,1,,0,6,0.0,0.0
0,TEX201408170,35,26,5,0,0,0,0,1,0,,1,6,1.5,0.0
0,OAK201408220,37,32,5,0,0,0,0,2,0,,1,5,1.8,0.0
0,ANA201408270,29,32,6,0,1,1,0,2,0,,1,6,1.5,0.0
0,MIN201409040,33,28,3,0,0,0,0,3,0,,4,6,6.0,0.0
0,TEX201409090,28,25,2,0,1,0,0,1,0,,1,5,1.8,0.0
0,ANA201409140,39,22,4,0,1,0,0,4,1,,3,3,9.0,0.0
0,ANA201409190,8,10,0,0,0,0,0,0,0,,6,2,27.0,0.0
0,OAK201409240,32,30,3,0,0,0,0,2,0,,0,6,0.0,0.0
0,ANA201504100,32,34,4,0,0,0,0,1,0,,3,6,4.5,1.0
0,TEX201504150,33,36,5,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,ANA201504210,35,37,8,0,0,0,0,3,0,,1,6,1.5,0.0
0,ANA201504260,40,33,5,0,0,0,0,5,1,,1,6,1.5,1.0
0,SFN201505020,31,31,4,0,0,0,0,2,0,,4,5,7.2,0.0
0,ANA201505070,36,34,5,0,0,0,2,3,1,,0,7,0.0,0.0
0,ANA201505130,38,36,8,0,0,0,0,0,0,,1,6,1.5,0.0
0,TOR201505190,37,31,5,0,0,0,0,3,0,,1,7,1.2857142857142858,0.0
0,BOS201505240,42,42,6,0,1,0,0,0,1,,3,7,3.857142857142857,0.0
0,ANA201505290,36,39,7,0,0,0,0,3,0,,0,8,0.0,0.0
0,ANA201506030,34,29,3,0,1,0,0,2,0,,5,6,7.5,2.0
0,ANA201506120,34,39,6,0,0,0,0,1,0,,2,6,3.0,0.0
0,ARI201506170,36,31,9,0,0,0,0,2,0,,3,6,4.5,0.0
0,ANA201506220,38,31,4,0,0,0,0,1,0,,1,6,1.5,0.0
0,ANA201506280,33,29,6,0,1,0,0,2,0,,1,7,1.2857142857142858,0.0
0,TEX201507040,36,32,3,0,0,0,0,1,0,,0,7,0.0,0.0
0,SEA201507100,30,40,7,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,ANA201507201,36,39,10,0,0,0,0,1,0,,1,6,1.5,0.0
0,ANA201507250,35,34,4,0,0,1,0,3,0,,3,5,5.4,1.0
0,LAN201507310,21,34,3,0,0,0,0,1,0,,5,6,7.5,1.0
0,ANA201508050,30,40,7,0,1,0,0,1,0,,3,7,3.857142857142857,0.0
0,CHA201508110,32,29,4,0,0,0,1,1,0,,3,6,4.5,1.0
0,KCA201508160,39,31,5,0,0,0,0,2,1,,2,7,2.5714285714285716,0.0
0,ANA201508210,33,31,4,0,0,0,0,4,0,,2,4,4.5,0.0
