,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CHA201608070,shiej002,20,20,4,6,1,0,0,0,0,2,0,2,7,1.3333333333333333
0,CLE201704110,shiej002,40,29,1,2,6,0,0,0,0,1,1,0,1,5.333333333333333
0,MIA201508020,shiej002,33,29,0,5,4,0,0,0,0,2,0,0,2,6.0
0,COL201509200,shiej002,44,34,1,2,8,0,0,1,0,4,0,0,2,6.666666666666667
0,NYN201507280,shiej002,35,35,1,7,4,0,0,0,0,0,0,0,2,7.0
0,SLN201805010,shiej002,33,33,1,2,4,0,0,0,0,0,0,0,1,6.0
0,SDN201509090,shiej002,41,36,1,8,6,0,0,0,0,4,0,0,4,6.0
0,SDN201507010,shiej002,44,40,1,4,7,0,0,0,0,4,0,0,1,6.666666666666667
0,DET201805270,shiej002,33,33,0,5,4,0,1,0,0,3,0,0,3,7.0
0,CHA201805060,shiej002,34,31,0,2,5,0,0,1,0,2,0,0,1,6.666666666666667
0,MIN201404120,shiej002,43,38,2,6,5,0,0,0,0,3,0,0,1,5.666666666666667
0,CHA201709250,shiej002,37,35,1,4,8,0,0,0,0,2,0,0,2,7.0
0,CHA201808170,shiej002,31,35,0,6,5,0,0,0,0,2,0,0,3,6.666666666666667
0,KCA201803290,shiej002,36,26,1,5,0,0,0,0,0,1,0,1,4,6.0
0,KCA201409200,shiej002,33,35,1,6,6,0,0,1,0,1,0,0,3,6.666666666666667
0,BOS201407180,shiej002,37,40,1,8,3,0,0,0,0,1,0,0,2,5.666666666666667
0,SDN201508070,shiej002,39,38,3,6,8,0,0,0,0,1,0,0,3,6.666666666666667
0,KCA201404060,shiej002,35,32,0,5,6,0,0,0,0,0,0,2,1,7.0
0,PIT201507060,shiej002,40,33,0,2,3,0,0,0,0,1,0,1,0,7.0
0,SDN201605190,shiej002,37,38,1,9,7,0,0,0,0,1,0,0,2,6.666666666666667
0,CHA201804050,shiej002,36,26,0,8,1,0,1,0,0,1,0,0,3,5.0
0,ARI201505080,shiej002,40,36,4,6,7,0,0,0,0,3,0,0,5,6.0
0,CHA201809080,shiej002,32,21,2,9,1,0,0,1,0,1,0,1,6,4.333333333333333
0,SFN201604260,shiej002,41,21,0,3,2,0,0,0,0,3,1,1,1,7.0
0,KCA201408090,shiej002,36,38,0,4,5,0,0,1,0,1,0,0,0,9.0
0,CHA201606080,shiej002,38,25,3,8,2,0,0,1,0,2,0,0,6,2.0
0,NYA201409050,shiej002,28,36,0,3,6,0,0,0,0,0,0,1,0,8.333333333333334
0,DET201403310,shiej002,34,36,1,5,3,0,0,0,0,1,0,0,1,6.333333333333333
0,ANA201405240,shiej002,39,37,2,9,4,0,0,1,0,2,0,0,4,6.0
0,MIN201806070,shiej002,31,34,3,8,6,0,0,0,0,2,0,0,7,6.0
0,WAS201508250,shiej002,43,39,1,8,2,0,0,0,0,3,1,0,4,5.666666666666667
0,KCA201707210,shiej002,39,29,1,10,3,0,0,0,0,2,1,0,6,4.333333333333333
0,CHA201706290,shiej002,30,23,0,5,2,0,0,0,0,3,0,1,2,6.333333333333333
0,TOR201405290,shiej002,36,38,3,8,6,0,2,0,0,0,0,0,6,7.0
0,CHA201706240,shiej002,30,26,3,7,5,0,0,0,0,3,0,1,6,3.0
0,TBA201808050,shiej002,43,38,1,5,6,0,0,0,0,4,0,0,2,6.0
0,CHA201808110,shiej002,35,27,2,7,4,0,0,0,0,0,0,0,2,7.0
0,SDN201505290,shiej002,36,36,0,6,6,0,0,0,0,2,0,1,2,6.0
0,ANA201807250,shiej002,34,31,3,7,7,0,0,0,0,3,0,1,5,4.0
0,DET201709140,shiej002,31,38,3,9,7,0,0,0,0,1,0,0,4,6.0
0,OAK201707040,shiej002,36,27,3,6,4,0,0,0,0,2,0,0,6,4.666666666666667
0,CHA201704060,shiej002,41,34,1,2,5,0,0,0,0,5,0,0,1,5.333333333333333
0,KCA201408140,shiej002,37,40,0,7,5,0,0,1,0,1,0,0,3,6.0
0,CHA201806170,shiej002,38,37,1,6,5,0,0,0,0,4,0,0,3,6.0
0,CHA201709040,shiej002,37,34,1,6,5,0,0,0,0,2,0,0,3,6.333333333333333
0,CHA201809250,shiej002,50,34,1,6,6,0,0,0,0,4,0,0,4,6.0
0,DET201608020,shiej002,33,31,0,9,1,0,0,0,0,2,0,1,6,5.0
0,CHA201805220,shiej002,36,35,0,5,5,0,0,1,0,2,0,1,2,7.0
0,CHA201707260,shiej002,36,27,0,5,4,0,0,0,0,3,0,0,3,4.0
0,MIN201609030,shiej002,34,19,3,5,2,0,0,0,0,4,0,0,5,2.3333333333333335
0,KCA201406200,shiej002,35,34,2,9,4,0,0,1,0,1,0,0,5,7.0
0,CHA201708230,shiej002,29,34,1,3,6,0,0,1,0,2,0,0,3,6.0
0,CHA201607100,shiej002,30,30,2,6,2,0,0,1,0,2,0,0,2,7.666666666666667
0,CHA201805170,shiej002,34,29,0,3,8,0,0,1,0,3,0,0,1,7.333333333333333
0,CHA201610010,shiej002,37,34,2,4,7,0,0,0,0,3,0,0,5,7.0
0,BAL201404270,shiej002,30,37,1,3,6,0,0,0,0,2,0,0,2,7.0
0,CHA201707140,shiej002,38,26,1,7,1,0,0,1,0,3,0,0,4,6.0
0,HOU201404170,shiej002,41,34,0,4,12,0,0,0,0,2,0,0,1,8.0
0,CHA201406150,shiej002,39,33,0,10,3,0,0,0,1,1,0,0,3,6.0
0,CHA201809020,shiej002,33,28,0,4,6,0,0,1,0,2,0,1,0,6.0
0,CHA201409250,shiej002,43,33,1,5,4,0,0,1,0,2,0,0,3,6.0
0,SDN201604050,shiej002,26,26,0,6,6,0,0,1,0,1,0,0,3,6.0
0,DET201409100,shiej002,29,35,0,2,8,0,1,1,0,1,0,0,0,7.0
0,CHA201709090,shiej002,35,35,1,2,5,0,0,0,0,2,0,0,1,7.0
0,KCA201409150,shiej002,30,34,0,10,6,0,0,0,0,0,0,0,3,7.0
0,CLE201606180,shiej002,20,15,1,7,2,0,0,0,0,3,0,0,6,1.6666666666666665
0,COL201408190,shiej002,30,36,1,9,6,0,0,0,0,1,0,1,2,6.0
0,CHA201607260,shiej002,43,37,0,4,5,0,0,0,0,4,0,0,0,7.666666666666667
0,CHA201804200,shiej002,42,35,0,8,4,0,0,0,0,4,0,0,5,5.333333333333333
0,DET201808230,shiej002,37,37,3,10,5,0,1,0,0,1,0,1,7,6.666666666666667
0,SDN201505030,shiej002,28,32,3,9,7,0,0,0,0,0,0,1,5,5.333333333333333
0,SDN201509270,shiej002,42,32,3,9,8,0,1,0,0,4,0,0,4,6.333333333333333
0,SDN201507170,shiej002,37,31,1,7,6,0,1,0,0,4,0,0,1,4.666666666666667
0,HOU201709200,shiej002,36,34,0,6,5,0,0,0,0,4,0,0,3,5.666666666666667
0,MIN201708290,shiej002,41,24,1,5,3,0,1,1,0,5,0,0,4,5.0
0,ARI201509140,shiej002,36,30,0,4,6,0,0,0,0,2,0,0,1,7.0
0,PHI201508300,shiej002,39,33,1,6,8,0,1,0,0,1,0,1,1,7.0
0,CHA201608240,shiej002,42,34,2,7,6,0,0,1,0,0,0,1,4,6.0
0,CHA201806020,shiej002,33,37,3,8,6,0,0,1,0,1,0,0,3,7.0
0,LAN201505240,shiej002,21,30,1,5,7,0,0,0,0,1,0,0,3,7.0
0,KCA201406250,shiej002,40,33,1,7,2,0,0,0,1,1,0,1,4,7.0
0,CHA201606130,shiej002,45,25,1,9,1,0,0,1,0,4,0,0,6,5.0
0,KCA201407120,shiej002,43,43,0,7,8,0,0,1,0,0,0,0,2,7.0
0,SDN201506140,shiej002,30,30,1,5,6,0,0,0,0,3,0,0,1,7.0
0,CHA201607210,shiej002,38,33,2,7,4,0,0,0,0,0,1,0,2,6.0
0,MIN201407010,shiej002,40,38,0,9,5,0,0,0,0,2,0,0,4,5.0
0,SDN201605020,shiej002,32,33,0,9,5,0,0,0,0,2,0,0,1,6.0
0,CHA201807310,shiej002,40,31,2,5,8,0,0,0,0,3,0,0,4,7.0
0,DET201608290,shiej002,39,31,1,6,6,0,1,0,0,3,0,1,2,6.0
