,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ANA201404110,skagt001,31,27,1,9,4,0,1,0,0,0,0,0,4,7.0
0,TOR201906180,skagt001,29,27,1,3,6,0,0,0,0,0,0,0,1,7.333333333333333
0,ANA201905020,skagt001,32,31,0,4,5,0,0,0,0,3,0,0,2,6.0
0,ANA201904060,skagt001,30,38,0,5,5,0,0,0,0,1,0,0,1,6.333333333333333
0,SEA201905310,skagt001,32,37,2,5,8,0,1,0,1,1,0,0,4,7.0
0,TEX201709010,skagt001,26,27,1,5,1,0,0,0,0,3,0,0,5,2.0
0,ANA201804290,skagt001,41,31,1,3,8,0,0,0,0,2,0,0,2,5.333333333333333
0,DET201905080,skagt001,28,30,0,8,4,0,0,0,0,2,0,1,7,4.666666666666667
0,OAK201704060,skagt001,30,28,1,5,5,0,0,0,0,3,0,0,5,5.333333333333333
0,ANA201805170,skagt001,36,33,1,6,7,0,0,1,0,3,0,0,1,6.0
0,OAK201405310,skagt001,32,33,1,5,7,0,1,0,0,5,0,0,2,6.0
0,ANA201607310,skagt001,31,36,0,4,8,0,0,0,0,2,0,0,0,5.333333333333333
0,KCA201607260,skagt001,24,30,0,3,5,0,0,0,0,1,0,0,0,7.0
0,BAL201407310,skagt001,24,23,0,0,7,0,0,0,0,2,0,0,0,4.666666666666667
0,TOR201608230,skagt001,35,31,0,4,2,0,0,0,0,5,0,0,4,4.0
0,ANA201407250,skagt001,32,34,1,5,5,0,1,0,0,1,0,1,1,5.666666666666667
0,KCA201704160,skagt001,29,40,0,4,9,0,0,1,0,2,0,0,0,7.0
0,OAK201709060,skagt001,31,37,1,6,9,0,0,1,1,1,0,1,3,6.0
0,ANA201804180,skagt001,33,36,1,8,4,0,0,0,0,1,0,0,6,4.0
0,CHN201904120,skagt001,27,26,3,7,7,0,0,0,0,0,0,0,4,4.0
0,ANA201806030,skagt001,33,35,0,4,6,0,0,0,0,3,0,0,0,6.0
0,MIN201806090,skagt001,37,39,0,5,8,0,0,0,0,1,0,0,1,7.0
0,ANA201807250,skagt001,28,35,0,4,9,0,0,0,0,0,0,0,1,6.0
0,ANA201709130,skagt001,32,27,0,3,5,0,0,0,0,1,0,0,0,7.0
0,ANA201405040,skagt001,26,21,1,8,2,0,0,1,0,2,1,0,6,2.6666666666666665
0,TBA201807310,skagt001,33,26,1,8,3,0,0,0,0,3,0,1,7,3.3333333333333335
0,ANA201708210,skagt001,26,24,1,4,4,0,0,0,0,1,0,2,4,5.333333333333333
0,ANA201906290,skagt001,35,29,0,2,5,0,0,0,1,4,0,0,1,4.333333333333333
0,DET201608280,skagt001,28,29,0,2,6,0,0,0,0,2,0,1,0,6.0
0,KCA201904260,skagt001,36,29,0,3,5,0,1,0,0,3,0,0,0,5.0
0,ANA201805110,skagt001,36,32,2,6,7,0,0,0,0,2,0,0,2,6.0
0,ANA201405200,skagt001,28,38,0,5,6,0,0,1,0,1,0,1,1,7.0
0,ANA201404280,skagt001,32,38,1,4,6,0,0,0,0,1,0,0,3,7.0
0,ANA201905250,skagt001,31,31,0,3,7,0,0,0,0,2,0,1,0,5.666666666666667
0,HOU201406050,skagt001,29,31,0,7,4,0,0,1,0,3,0,0,4,5.0
0,ANA201404160,skagt001,35,29,1,7,2,0,0,0,0,3,0,0,4,6.0
0,ANA201804040,skagt001,34,35,0,5,5,0,0,0,0,2,0,0,2,4.666666666666667
