,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,ANA201706150,20,26,3,0,0,0,0,1,0,,0,5,0.0,0.0
0,KCA201706200,24,27,4,0,0,1,0,1,0,,5,4,11.25,0.0
0,DET201706270,31,26,4,0,0,0,0,0,0,,5,4,11.25,1.0
0,LAN201805270,9,11,2,0,0,0,0,1,0,,0,2,0.0,0.0
0,SDN201806060,9,11,2,0,0,0,0,0,0,,1,3,3.0,0.0
0,SLN201806120,11,14,4,0,0,0,0,0,0,,0,3,0.0,0.0
0,ATL201806170,12,17,5,0,0,0,0,0,0,,0,3,0.0,0.0
0,SDN201904010,21,22,2,0,0,0,1,3,0,,5,3,15.0,0.0
0,SLN201904070,29,32,2,0,0,0,0,2,0,,1,5,1.8,0.0
0,ARI201904130,31,30,4,0,0,0,0,0,0,,0,5,0.0,1.0
0,SDN201904190,25,32,5,0,0,0,0,0,0,,1,8,1.125,0.0
0,WAS201904260,25,32,8,0,0,0,0,0,0,,2,6,3.0,1.0
0,ATL201905020,18,30,6,0,0,1,0,0,0,,2,6,3.0,0.0
0,SDN201905080,26,33,7,0,0,0,0,1,0,,2,7,2.5714285714285716,0.0
0,LAN201905150,23,33,5,0,0,0,0,2,0,,2,5,3.6,2.0
0,SDN201905210,20,24,2,0,0,0,0,0,0,,2,6,3.0,0.0
0,NYA201905270,33,35,10,0,0,0,0,3,0,,3,6,4.5,0.0
0,SDN201906020,25,31,5,0,0,0,0,0,0,,7,5,12.6,1.0
0,COL201906130,36,25,4,0,0,0,0,3,1,,6,4,13.5,0.0
0,SDN201906190,26,31,2,0,0,0,0,1,0,,4,5,7.2,0.0
0,BAL201906260,22,32,9,0,0,0,0,0,0,,4,6,6.0,0.0
0,SDN201907020,18,31,6,0,0,0,0,0,1,,7,5,12.6,0.0
0,CIN201908210,10,17,4,0,0,0,0,0,0,,0,2,0.0,0.0
