,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,MIL201708120,suteb001,39,61,3,4,3,0,0,0,0,4,0,0,5,4.666666666666667
0,MIL201806150,suteb001,35,70,0,6,3,0,1,0,0,1,0,1,1,6.666666666666667
0,MIL201806210,suteb001,34,55,1,2,5,0,0,0,0,1,0,1,2,7.0
0,MIL201804160,suteb001,16,53,0,6,4,0,0,0,0,0,0,0,3,5.0
0,MIL201804210,suteb001,31,56,2,8,4,0,0,1,0,1,0,0,5,5.0
0,SDN201803310,suteb001,34,49,1,5,4,0,1,0,0,1,0,0,3,5.0
0,SEA201608190,suteb001,32,57,2,7,2,0,1,1,0,3,0,0,4,4.333333333333333
0,NYA201707080,suteb001,29,64,0,5,5,0,1,0,0,1,0,0,2,6.333333333333333
0,MIL201805280,suteb001,21,53,2,5,6,0,0,0,0,0,0,0,3,5.0
0,MIL201707280,suteb001,28,54,0,4,5,0,0,0,0,1,0,0,0,7.0
0,MIL201807220,suteb001,20,42,2,7,3,0,0,0,0,0,0,0,2,3.0
0,CHA201806030,suteb001,32,53,0,3,6,0,0,0,0,2,0,0,1,5.0
0,SLN201804100,suteb001,30,57,0,4,2,0,0,0,0,1,0,1,0,5.333333333333333
0,PHI201806090,suteb001,27,58,1,4,5,0,0,0,0,1,0,0,3,5.0
0,MIL201709120,suteb001,17,33,0,3,3,0,0,0,0,1,0,0,2,3.0
0,MIN201805180,suteb001,34,63,0,5,6,0,0,0,0,1,0,0,1,5.666666666666667
0,MIL201709030,suteb001,12,31,0,2,2,0,0,0,0,1,0,0,0,3.0
0,MIL201805230,suteb001,31,57,2,4,6,0,0,0,0,2,0,0,2,5.666666666666667
0,MIL201807020,suteb001,28,65,1,9,5,0,1,0,0,0,0,0,5,5.0
0,COL201805120,suteb001,29,53,2,7,2,0,0,0,0,1,0,0,4,5.0
0,MIL201709230,suteb001,21,49,0,6,2,0,0,0,0,0,0,0,1,5.333333333333333
0,PIT201807142,suteb001,27,43,1,2,3,0,0,0,0,1,0,0,1,5.0
0,MIL201709280,suteb001,23,51,1,7,4,0,1,0,0,1,0,0,2,5.0
0,MIL201804050,suteb001,39,65,0,8,5,0,0,0,0,1,2,0,4,5.0
0,MIL201708020,suteb001,29,65,2,8,7,0,0,0,0,1,0,1,3,5.333333333333333
0,CHN201804270,suteb001,32,61,0,5,3,0,0,0,0,1,0,0,2,5.0
0,MIL201707030,suteb001,30,67,0,4,8,0,0,0,0,1,0,0,0,6.0
0,PIT201707170,suteb001,29,44,0,7,2,0,1,0,0,1,1,0,2,4.666666666666667
0,MIL201806270,suteb001,29,53,1,6,6,0,0,0,0,1,0,0,1,6.0
0,SLN201706131,suteb001,28,59,1,5,2,0,0,0,0,1,0,0,3,4.666666666666667
0,COL201609300,suteb001,27,53,1,10,3,0,2,0,0,0,0,0,4,5.0
0,PIT201709180,suteb001,18,46,0,5,4,0,0,0,0,0,0,0,0,5.0
0,MIN201708070,suteb001,24,42,0,5,2,0,0,0,0,2,0,0,3,4.0
0,PHI201707220,suteb001,22,63,1,5,5,0,0,0,0,0,0,0,1,6.0
