,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,MIL201805250,syndn001,28,26,1,6,8,0,0,0,0,0,0,0,3,6.0
0,NYN201508130,syndn001,34,30,2,4,5,0,0,0,0,2,0,0,3,7.0
0,NYN201605280,syndn001,9,15,0,2,3,0,0,0,0,0,0,0,0,2.3333333333333335
0,NYN201609020,syndn001,34,39,0,3,4,0,0,0,0,1,0,0,2,7.0
0,NYN201507280,syndn001,37,35,0,3,9,0,0,0,0,0,0,0,0,8.0
0,NYN201508020,syndn001,32,40,2,7,9,0,0,0,0,0,0,0,2,8.0
0,NYN201804150,syndn001,31,37,0,2,11,0,0,0,0,1,0,0,0,5.333333333333333
0,MIA201808120,syndn001,30,34,0,7,7,0,0,0,0,2,0,0,3,7.0
0,NYN201908220,syndn001,23,26,0,2,5,0,0,0,0,0,0,0,0,6.0
0,NYN201803290,syndn001,26,31,2,6,10,0,0,0,0,0,0,0,4,6.0
0,PIT201606080,syndn001,29,39,0,7,5,0,0,0,0,2,0,0,2,6.0
0,NYN201704090,syndn001,34,35,0,5,9,0,0,0,0,0,0,0,1,7.0
0,MIA201907130,syndn001,35,40,0,5,9,0,1,0,0,0,0,1,2,7.0
0,NYN201906040,syndn001,32,36,0,5,4,0,0,0,0,3,0,0,2,6.666666666666667
0,NYN201607261,syndn001,36,39,1,7,8,0,0,0,0,3,0,0,2,6.0
0,KCA201908160,syndn001,29,32,0,5,6,0,0,0,0,2,0,0,2,6.0
0,KCA201604050,syndn001,31,32,0,3,9,0,0,0,0,1,0,0,0,6.0
0,NYN201506150,syndn001,42,35,1,2,11,0,0,0,0,2,0,0,1,6.0
0,NYN201606220,syndn001,25,32,1,8,4,0,0,2,0,0,0,0,3,6.0
0,SDN201605060,syndn001,28,37,0,6,5,0,0,0,0,2,0,0,2,6.0
0,NYN201605010,syndn001,35,36,1,5,6,0,0,0,0,2,0,0,3,5.666666666666667
0,NYN201804040,syndn001,33,28,0,4,7,0,0,0,0,2,0,0,2,4.0
0,SFN201809020,syndn001,26,41,0,2,11,0,0,0,0,1,0,0,1,9.0
0,SLN201804260,syndn001,25,38,0,6,7,0,0,0,0,0,0,0,1,7.333333333333333
0,MIA201704140,syndn001,29,29,0,6,4,0,0,0,0,0,0,0,1,6.0
0,NYN201608110,syndn001,29,34,0,8,6,0,0,0,0,1,0,0,3,5.0
0,TBA201508080,syndn001,38,34,1,8,6,0,0,1,0,2,0,0,5,4.0
0,MIA201905190,syndn001,27,29,0,5,3,0,0,0,0,1,0,1,2,7.0
0,PHI201808170,syndn001,41,37,0,8,5,0,0,0,0,2,0,1,4,5.666666666666667
0,WAS201507220,syndn001,40,31,0,5,4,0,0,0,0,5,0,0,1,5.0
0,NYN201805060,syndn001,33,31,1,6,5,0,1,0,0,4,0,1,2,6.0
0,NYN201908280,syndn001,15,24,3,9,5,0,0,1,0,1,0,1,9,3.0
0,MIA201606030,syndn001,33,37,1,6,9,0,0,0,0,1,0,0,2,7.0
0,PHI201710010,syndn001,9,9,0,0,2,0,0,0,0,1,0,0,0,2.0
