,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,ATL201906130,tehej001,47,55,0,3,2,0,0,0,0,2,1,0,1,6.0
0,MIA201509260,tehej001,43,60,1,6,3,0,0,0,0,3,1,0,2,6.0
0,SEA201408060,tehej001,33,68,2,9,5,0,0,0,0,2,0,0,6,6.0
0,PHI201406270,tehej001,39,74,0,6,9,0,0,0,0,0,0,0,1,7.0
0,ATL201609090,tehej001,35,62,1,4,3,0,0,0,0,2,0,0,2,6.0
0,ATL201908040,tehej001,41,49,0,3,5,0,0,0,0,5,1,1,3,5.0
0,NYN201606190,tehej001,38,82,0,1,7,0,0,0,0,0,0,0,0,9.0
0,ATL201604090,tehej001,35,54,0,6,4,0,0,2,0,3,1,0,4,4.0
0,MIA201807240,tehej001,26,44,2,7,3,0,0,0,0,2,0,1,7,4.333333333333333
0,LAN201407310,tehej001,38,80,1,5,9,0,0,0,0,2,1,0,2,8.0
0,ATL201706200,tehej001,33,58,1,6,2,0,0,0,0,0,0,0,2,7.333333333333333
0,ATL201908210,tehej001,32,60,0,5,9,0,0,0,0,3,0,0,0,7.0
0,CHN201407130,tehej001,43,66,2,7,6,0,0,0,0,2,0,0,4,7.0
0,ATL201407020,tehej001,40,70,0,4,5,0,1,1,0,3,0,0,1,7.0
0,ATL201604250,tehej001,37,78,1,6,8,0,0,0,0,3,0,0,1,7.0
0,ATL201707170,tehej001,48,59,0,5,5,0,1,1,0,4,0,0,2,6.0
0,ATL201404110,tehej001,31,53,1,10,1,0,0,0,0,1,0,0,2,5.666666666666667
0,ATL201605240,tehej001,33,72,1,3,12,0,0,0,0,0,0,0,1,7.0
0,ATL201405200,tehej001,45,83,0,6,8,0,0,0,0,2,0,1,0,9.0
0,ATL201709062,tehej001,45,53,1,5,3,0,0,0,0,5,0,1,3,5.0
0,WAS201604140,tehej001,36,74,2,6,6,0,0,1,0,1,0,0,6,7.0
0,PHI201903280,tehej001,39,52,1,4,7,0,0,2,0,1,1,0,3,5.0
0,CIN201904250,tehej001,40,53,0,5,7,0,0,0,0,3,0,1,3,6.0
