,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,HOU201405140,36,32,8,0,0,0,0,3,0,,1,6,1.5,0.0
0,TEX201405210,39,37,4,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,MIN201405260,35,36,4,0,1,0,0,0,0,,2,7,2.5714285714285716,1.0
0,WAS201405310,22,20,1,0,1,0,0,2,0,,4,2,18.0,0.0
0,TEX201406070,33,23,1,0,1,0,0,4,0,,4,6,6.0,0.0
0,SEA201406130,29,21,5,0,0,0,0,2,0,,0,7,0.0,0.0
0,OAK201406180,42,25,1,0,0,0,0,2,0,,4,5,7.2,0.0
0,TEX201406270,36,37,5,0,0,0,0,2,0,,0,8,0.0,1.0
0,NYN201407060,35,25,4,0,0,0,0,4,0,,6,6,9.0,0.0
0,TEX201407110,32,24,2,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,TOR201407200,29,31,0,0,0,0,0,2,0,,5,5,9.0,1.0
0,TEX201407260,26,21,2,0,0,0,0,0,0,,3,6,4.5,0.0
0,CHA201408060,23,28,2,0,1,0,0,1,0,,0,6,0.0,0.0
0,TEX201408120,29,33,4,0,0,1,0,0,0,,2,7,2.5714285714285716,1.0
0,TEX201408170,35,25,1,0,1,0,0,4,0,,2,8,2.25,0.0
0,TEX201408230,29,25,2,0,0,0,0,3,0,,6,7,7.714285714285714,0.0
0,HOU201408280,31,31,1,0,0,0,0,3,0,,2,5,3.6,1.0
0,KCA201409030,36,25,1,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,TEX201409100,33,30,2,0,0,0,0,2,0,,3,5,5.4,1.0
0,OAK201409160,38,27,1,0,0,0,0,2,0,,1,6,1.5,0.0
0,ANA201409210,36,27,3,0,0,0,0,0,2,,1,7,1.2857142857142858,1.0
0,TEX201409260,38,25,2,0,0,0,0,4,0,,5,5,9.0,0.0
0,PIT201606240,18,24,3,0,0,0,0,0,0,,5,4,11.25,0.0
0,MIN201705060,24,17,2,0,0,0,0,2,0,,1,2,4.5,0.0
0,TOR201708090,26,27,4,0,0,0,0,1,0,,5,5,9.0,0.0
0,TOR201708140,31,34,0,0,0,0,0,3,0,,1,7,1.2857142857142858,2.0
0,CHN201708190,30,20,3,0,0,0,0,2,1,,2,4,4.5,1.0
