,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,PIT201608210,urenj001,35,30,0,4,3,0,0,0,0,1,0,0,2,5.666666666666667
0,WAS201808190,urenj001,35,37,0,2,4,0,0,0,0,2,0,0,1,9.0
0,MIA201904020,urenj001,27,22,0,7,4,0,0,0,0,1,0,0,5,4.0
0,SLN201806050,urenj001,36,28,0,10,3,0,1,1,0,1,0,0,4,5.0
0,SFN201806200,urenj001,31,32,0,8,5,0,0,0,0,1,1,0,5,5.666666666666667
0,WAS201708280,urenj001,36,33,1,5,4,0,0,1,0,3,0,0,4,4.0
0,ATL201708060,urenj001,25,23,0,3,3,0,0,0,0,1,0,0,1,6.0
0,NYN201705070,urenj001,22,19,0,1,2,0,0,0,0,1,0,1,0,6.0
0,MIA201609060,urenj001,23,30,0,7,5,0,0,0,0,1,0,1,4,5.0
0,PHI201904260,urenj001,43,36,2,4,4,0,0,0,0,3,0,0,2,7.0
0,MIA201506120,urenj001,28,28,1,6,1,0,0,0,0,0,0,0,1,6.666666666666667
0,MIA201809030,urenj001,34,35,1,4,7,0,0,0,0,0,0,0,1,7.0
0,MIA201506010,urenj001,38,33,0,4,4,0,0,0,0,3,0,1,3,6.0
0,ATL202009070,urenj001,29,28,0,4,2,0,1,0,0,3,0,2,3,5.0
0,CHN201905080,urenj001,41,32,0,5,3,0,0,0,0,2,1,0,1,7.0
0,MIA201807090,urenj001,37,32,1,7,4,0,0,0,0,1,0,0,2,5.666666666666667
0,ATL201805190,urenj001,23,23,0,5,2,0,0,0,0,1,0,0,4,6.0
0,SDN201805300,urenj001,36,29,1,3,6,0,0,0,0,2,0,0,1,6.0
0,ATL201508060,urenj001,16,9,0,6,0,0,0,0,0,0,1,1,5,2.0
0,MIA201709150,urenj001,43,27,1,4,3,0,0,0,0,3,1,0,2,4.666666666666667
0,MIA201806100,urenj001,32,27,1,6,5,0,0,1,0,0,0,0,3,6.0
0,MIA201904140,urenj001,36,36,1,7,7,0,0,0,0,0,0,0,1,7.0
0,WAS201905270,urenj001,31,23,0,4,4,0,0,0,0,1,0,0,2,7.0
0,MIA202009170,urenj001,27,36,0,5,6,0,0,0,0,2,0,0,2,5.666666666666667
0,MIA201707150,urenj001,33,21,2,7,3,0,0,1,0,3,0,0,5,3.0
0,DET201905220,urenj001,28,39,0,7,5,0,0,0,0,2,0,0,2,5.666666666666667
0,MIA201706230,urenj001,32,31,0,5,3,0,0,0,0,3,0,0,0,5.666666666666667
0,MIA201805250,urenj001,39,32,2,5,7,0,0,0,0,1,0,1,4,6.0
0,ATL201808150,urenj001,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
0,MIA201705170,urenj001,38,35,0,6,3,0,0,0,0,2,0,2,1,5.666666666666667
0,PHI201708222,urenj001,35,32,2,5,5,0,0,0,0,2,0,0,3,5.0
0,MIA202009120,urenj001,34,28,2,5,2,0,0,1,0,4,0,0,4,4.333333333333333
0,SLN201707040,urenj001,35,33,1,3,7,0,0,0,0,2,0,1,2,5.0
0,MIA201706130,urenj001,30,31,0,3,4,0,0,0,1,1,0,1,1,6.0
0,MIA201805130,urenj001,39,33,1,4,5,0,0,0,0,2,0,0,3,6.0
0,CIN201904090,urenj001,41,27,1,8,4,0,0,0,0,2,1,0,4,5.0
0,MIA201708110,urenj001,38,32,2,6,3,0,0,0,0,1,0,2,3,5.333333333333333
0,MIA201905150,urenj001,30,27,0,6,2,0,0,0,0,1,0,1,1,5.666666666666667
0,NYN201609010,urenj001,36,24,1,4,2,0,0,0,0,1,1,1,1,5.666666666666667
0,MIA201706290,urenj001,33,40,0,6,4,0,0,0,0,0,0,0,3,6.0
0,MIA201609110,urenj001,37,38,0,4,4,0,0,0,0,0,0,0,0,8.666666666666666
0,MIA201607240,urenj001,35,26,0,4,4,0,0,0,0,0,0,0,1,6.0
0,NYN201809110,urenj001,35,36,1,4,5,0,0,0,0,3,0,0,1,6.333333333333333
0,MIA201803290,urenj001,31,22,2,6,2,0,0,0,0,2,2,3,5,4.0
0,BAL201806150,urenj001,42,37,0,3,4,0,0,0,0,1,0,1,0,8.0
0,ATL202009220,urenj001,31,26,2,6,3,0,0,0,0,2,0,0,4,6.0
0,CIN201707210,urenj001,33,28,0,3,4,0,0,1,0,2,0,2,1,6.0
0,BOS201808280,urenj001,35,30,1,6,2,0,0,0,0,2,1,0,4,6.0
0,MIA201608270,urenj001,42,35,1,4,6,0,0,0,0,2,0,0,1,5.666666666666667
0,MIA201709030,urenj001,36,34,0,6,3,0,0,0,0,1,0,1,1,6.666666666666667
0,MIA201809220,urenj001,33,21,0,3,2,0,0,0,0,1,0,1,0,5.666666666666667
0,MIA201906070,urenj001,24,19,2,11,2,0,0,0,0,1,0,0,6,3.0
0,CIN201608160,urenj001,30,35,1,7,5,0,0,0,0,3,0,1,5,6.0
0,MIA201807290,urenj001,34,30,0,1,5,0,0,0,0,4,0,1,0,6.0
0,ATL201706180,urenj001,27,31,0,3,4,0,0,0,0,2,0,3,0,6.0
0,MIA201706020,urenj001,32,31,2,9,1,0,0,0,0,1,0,0,5,4.333333333333333
0,MIA201506230,urenj001,34,26,1,6,2,0,0,0,0,3,0,0,3,5.0
0,TEX201707260,urenj001,41,28,1,4,5,0,0,0,0,4,0,0,3,5.0
0,MIA201903280,urenj001,33,30,1,9,2,0,0,1,0,1,0,0,5,4.666666666666667
0,MIA201708160,urenj001,33,30,0,7,2,0,0,0,0,1,0,0,0,5.0
0,PHI201809160,urenj001,30,27,1,3,4,0,0,0,0,1,0,0,1,5.0
0,MIA201709200,urenj001,39,34,1,7,3,0,0,0,0,0,0,0,2,8.0
0,ATL201709080,urenj001,42,32,1,3,5,0,0,0,0,3,0,0,1,6.333333333333333
0,MIA201904200,urenj001,23,26,0,8,4,0,0,0,0,1,0,1,2,6.0
0,NYN201809280,urenj001,34,30,0,5,2,0,0,0,0,4,0,0,1,6.0
0,MIA201506280,urenj001,30,23,0,4,4,0,0,0,1,4,0,0,1,5.0
0,MIA201508010,urenj001,25,30,0,8,2,0,0,0,0,0,0,0,4,5.0
0,MIA201808100,urenj001,34,28,0,8,3,0,0,0,0,1,0,0,2,5.333333333333333
0,SFN201707090,urenj001,29,22,2,5,3,0,0,0,0,1,0,0,3,5.0
0,SDN201906010,urenj001,39,31,1,3,6,0,0,0,0,3,0,0,3,6.0
0,MIA201804090,urenj001,30,27,0,5,4,0,0,0,0,1,0,0,3,5.0
0,NYA201506170,urenj001,41,25,0,6,1,0,0,1,0,4,0,1,2,6.0
0,MIA201707310,urenj001,38,30,0,3,6,0,0,0,0,1,0,0,1,8.0
0,PHI201609170,urenj001,18,16,1,7,3,0,0,0,0,1,1,0,7,2.0
0,MIA201609280,urenj001,35,31,2,8,2,0,0,0,0,2,0,0,5,5.0
0,NYA202009270,urenj001,12,14,0,2,2,0,0,0,0,2,0,0,0,2.3333333333333335
0,MIA201805020,urenj001,28,41,1,7,6,0,0,0,0,0,1,1,1,7.0
