,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,HOU201809220,verlj001,25,36,0,1,11,0,0,0,0,0,0,1,0,6.0
0,DET201605240,verlj001,32,40,0,3,10,0,0,0,0,2,0,0,0,8.0
0,CLE201409030,verlj001,39,36,1,9,7,0,0,1,0,1,0,0,5,6.666666666666667
0,DET201509230,verlj001,36,37,1,5,8,0,0,0,0,3,0,0,3,7.0
0,DET201608260,verlj001,28,43,1,4,8,0,0,0,0,1,0,0,2,7.666666666666667
0,KCA201405040,verlj001,38,33,0,4,7,0,0,1,0,4,0,0,3,7.0
0,DET201607200,verlj001,28,44,1,2,9,0,0,0,0,2,0,1,1,8.0
0,HOU201907240,verlj001,37,37,0,2,11,0,0,0,0,2,0,0,0,6.0
0,ARI201407210,verlj001,46,33,1,6,5,0,1,0,0,2,1,0,3,6.666666666666667
0,DET201707020,verlj001,34,32,2,9,0,0,0,0,0,3,0,0,5,3.3333333333333335
0,COL201708300,verlj001,30,33,1,3,9,0,0,0,0,1,0,0,1,6.0
0,ANA201805160,verlj001,38,42,0,5,7,0,0,0,0,1,0,0,0,9.0
0,DET201604220,verlj001,43,44,2,4,10,0,0,1,0,2,0,0,2,7.0
0,DET201404060,verlj001,34,38,0,5,3,0,0,0,0,2,0,0,2,8.0
0,DET201507190,verlj001,31,27,2,8,4,0,0,0,0,1,0,0,7,3.6666666666666665
0,CHA201408290,verlj001,37,38,0,9,8,0,1,0,0,2,0,0,1,7.0
0,HOU201909220,verlj001,29,33,0,6,5,0,0,0,0,2,0,0,2,5.0
0,CIN201906180,verlj001,26,46,3,6,8,0,0,0,0,1,0,0,4,7.0
0,ANA201709120,verlj001,39,39,0,1,9,0,0,0,0,1,0,1,0,8.0
0,DET201608210,verlj001,28,31,0,3,5,0,0,0,0,1,0,0,1,6.0
