,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,CIN201505160,voger001,32,29,1,6,2,0,0,0,0,4,0,0,2,5.666666666666667
0,COL201404210,voger001,24,15,3,6,0,0,0,0,0,2,1,0,5,1.3333333333333333
0,PHI201407210,voger001,31,25,0,11,3,0,0,0,0,0,0,0,3,3.0
0,PIT201605230,voger001,12,11,0,2,2,0,0,0,0,0,0,0,0,2.0
0,SFN201408290,voger001,27,37,0,4,7,0,0,0,0,1,0,0,2,7.0
0,COL201409030,voger001,29,32,4,10,5,0,0,0,0,2,0,0,6,5.0
0,SFN201407260,voger001,37,31,0,8,4,0,0,0,0,0,1,0,4,6.0
0,MIL201609220,voger001,23,26,1,2,7,0,0,0,0,2,0,0,2,4.0
0,ARI201504070,voger001,33,34,2,6,5,0,0,0,0,4,0,0,7,4.666666666666667
0,CHN201608310,voger001,35,29,1,6,3,0,0,1,0,3,0,0,3,5.0
0,MIA201506300,voger001,34,25,2,7,4,0,0,0,0,3,0,0,4,6.0
0,SFN201508130,voger001,38,31,1,3,8,0,0,0,0,4,0,0,1,5.0
0,LAN201404040,voger001,38,32,2,7,4,0,0,0,0,2,0,0,3,4.0
0,CIN201406040,voger001,29,39,1,7,9,0,1,0,0,1,0,1,2,6.333333333333333
0,SFN201508290,voger001,35,29,0,7,3,0,0,0,0,2,1,0,1,4.666666666666667
0,PHI201506070,voger001,34,26,1,7,5,0,0,0,0,2,0,0,3,6.666666666666667
0,SEA201506180,voger001,37,36,0,3,6,0,0,0,0,2,0,0,0,6.666666666666667
0,SFN201506010,voger001,38,35,0,5,5,0,0,0,0,2,0,1,3,6.0
0,SFN201407120,voger001,28,31,1,6,4,0,0,0,0,0,0,0,2,6.333333333333333
0,SFN201408120,voger001,35,37,1,3,5,0,0,0,0,2,0,1,2,7.0
0,MIL201408060,voger001,36,32,1,7,3,0,0,0,0,1,0,1,1,6.0
0,PIT201608210,voger001,37,30,1,3,5,0,0,1,0,2,0,0,1,6.0
0,WAS201408240,voger001,35,30,1,4,3,0,0,0,0,4,0,0,3,5.333333333333333
0,LAN201504290,voger001,20,15,4,5,2,0,0,0,0,1,0,0,6,3.0
0,SFN201409100,voger001,38,35,0,2,3,0,0,0,0,5,0,0,0,6.666666666666667
0,SFN201505050,voger001,32,29,0,3,4,0,0,0,0,2,0,0,0,7.0
0,MIL201505270,voger001,37,38,0,6,5,0,0,0,0,0,0,0,1,5.666666666666667
0,SFN201406260,voger001,33,30,0,5,7,0,0,0,0,0,0,0,1,5.666666666666667
0,SFN201406090,voger001,36,34,0,9,6,0,0,0,0,2,0,0,4,6.0
0,PIT201609270,voger001,45,31,0,4,5,0,0,1,0,5,0,1,4,5.0
0,ATL201608040,voger001,29,28,0,3,6,0,0,0,0,1,0,0,1,6.0
0,SFN201405180,voger001,34,35,0,5,6,0,0,0,0,1,0,1,0,7.0
0,SFN201507110,voger001,34,32,2,5,5,0,0,0,0,3,0,0,4,5.666666666666667
0,LAN201405080,voger001,38,30,0,5,2,0,0,0,0,2,0,0,1,7.333333333333333
0,PIT201604130,voger001,25,22,1,4,5,0,0,0,0,0,0,0,1,5.0
0,SFN201506240,voger001,30,30,0,5,4,0,0,0,0,2,0,0,0,6.0
0,ARI201409150,voger001,33,34,1,6,5,0,0,2,0,4,0,0,4,5.666666666666667
0,SLN201405290,voger001,35,34,1,7,5,0,0,0,0,3,0,0,4,6.333333333333333
0,OAK201407070,voger001,37,32,0,5,4,0,0,0,0,2,0,2,1,5.333333333333333
0,WAS201507050,voger001,22,21,0,3,2,0,0,0,0,3,0,0,1,4.0
0,CHN201508070,voger001,28,28,0,6,6,0,0,0,0,1,0,0,1,4.0
0,SFN201505100,voger001,33,34,0,4,5,0,0,0,0,0,0,0,1,7.0
0,SFN201409260,voger001,34,30,0,6,5,0,0,0,0,2,0,0,3,5.333333333333333
0,SFN201504230,voger001,27,30,2,3,5,0,0,0,0,1,0,1,2,6.0
0,CIN201609160,voger001,34,31,1,7,4,0,0,0,0,2,0,0,4,5.0
0,SFN201608150,voger001,31,28,2,9,1,0,0,0,0,3,0,0,4,5.666666666666667
0,SLN201610020,voger001,28,26,0,4,1,0,0,0,0,3,0,0,1,5.0
0,MIL201608260,voger001,34,32,0,4,6,0,1,0,0,3,1,1,0,5.333333333333333
0,SLN201508180,voger001,35,33,0,2,5,0,0,0,0,1,0,0,0,6.0
0,SFN201404160,voger001,32,24,0,4,2,0,1,0,0,2,0,1,1,6.0
0,PIT201508230,voger001,29,21,0,7,2,0,0,0,0,3,1,0,3,3.3333333333333335
0,PIT201609110,voger001,34,15,0,7,0,0,0,0,0,2,1,1,6,4.0
0,COL201509030,voger001,21,19,1,11,1,0,0,0,0,0,0,0,6,3.0
0,CHN201408190,voger001,28,24,1,3,4,0,0,0,0,2,0,0,2,4.0
0,PIT201608100,voger001,28,24,0,3,5,0,0,0,0,1,0,0,0,6.0
0,SFN201405240,voger001,38,38,0,3,7,0,0,0,0,1,0,0,0,6.666666666666667
0,ARI201406210,voger001,37,32,0,5,3,0,0,0,0,3,0,0,4,4.666666666666667
0,PIT201609060,voger001,22,19,2,6,2,0,0,0,0,1,0,0,5,4.0
0,SFN201404100,voger001,30,33,0,7,5,0,0,0,0,1,0,2,4,5.0
0,SFN201404270,voger001,43,32,0,2,6,0,0,0,0,2,0,0,0,7.0
0,ATL201405030,voger001,39,35,0,5,6,0,0,0,0,4,0,0,1,6.0
0,NYN201408010,voger001,32,37,1,2,5,0,0,0,0,1,0,0,1,9.0
0,SDN201409210,voger001,34,32,0,4,5,0,0,0,0,1,0,0,1,5.0
0,COL201505220,voger001,30,32,0,2,5,0,0,0,0,3,0,0,0,5.666666666666667
0,SFN201405130,voger001,37,26,0,7,8,0,0,0,0,1,0,0,4,6.0
0,SFN201407020,voger001,32,36,0,6,8,0,0,0,0,1,0,0,2,7.0
