,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,NYN201807140,34,33,3,0,0,1,0,3,0,,7,5,12.6,0.0
0,WAS201809220,22,28,5,0,0,0,0,2,0,,0,5,0.0,0.0
0,WAS201906230,25,30,7,0,0,0,0,0,0,,2,6,3.0,1.0
0,DET201906290,29,24,3,0,1,0,0,2,0,,3,5,5.4,0.0
0,WAS201907050,33,31,6,0,0,0,0,3,0,,4,5,7.2,0.0
0,BAL201907160,24,32,4,0,0,0,0,1,0,,1,6,1.5,2.0
0,ATL201909070,25,25,6,0,0,0,0,2,0,,2,4,4.5,0.0
0,WAS201909140,29,31,6,0,0,0,0,1,1,,1,6,1.5,0.0
0,MIA201909220,29,28,3,0,0,0,0,2,1,,1,5,1.8,0.0
0,WAS201909270,30,20,5,0,0,0,0,0,0,,2,6,3.0,0.0
