,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,KCA201406050,wachm001,29,66,0,7,1,0,0,0,0,1,0,0,3,6.0
0,SLN201709100,wachm001,27,68,0,5,7,0,0,0,0,0,0,0,0,8.0
0,SLN201507310,wachm001,32,70,0,4,7,0,0,1,0,1,0,0,0,7.0
0,SLN201708250,wachm001,40,56,1,9,5,0,0,0,0,1,1,0,4,3.3333333333333335
0,SLN201706090,wachm001,30,61,0,5,2,0,0,0,0,1,1,0,2,6.0
0,NYN201707180,wachm001,39,80,0,3,8,0,0,2,0,1,0,0,0,9.0
0,SLN201605190,wachm001,25,56,0,8,4,0,0,0,0,1,0,0,6,4.0
0,SLN201806150,wachm001,36,48,3,7,2,0,0,0,0,4,0,1,7,4.0
0,SLN201706260,wachm001,27,61,0,5,5,0,0,0,0,1,0,0,1,6.0
0,MIL201805290,wachm001,42,60,0,2,3,0,0,0,0,4,0,0,0,6.666666666666667
0,TBA201406110,wachm001,38,45,0,4,0,0,0,0,0,4,0,0,4,5.0
0,SLN201509240,wachm001,35,55,0,6,1,0,0,0,0,3,0,0,3,5.0
0,ARI201909250,wachm001,16,25,0,4,3,0,0,0,0,1,0,0,2,1.6666666666666665
0,NYN201404230,wachm001,39,54,0,3,10,0,0,0,0,5,0,0,2,4.0
0,SLN201904060,wachm001,53,66,0,3,7,0,0,0,0,8,0,0,1,5.666666666666667
0,SLN201707060,wachm001,38,63,0,6,9,0,0,0,0,2,0,1,2,5.666666666666667
0,SLN201707010,wachm001,31,63,0,4,9,0,0,0,0,1,0,0,0,6.0
0,SLN201804070,wachm001,41,48,0,4,5,0,0,0,1,5,0,0,2,5.0
0,CLE201505140,wachm001,32,73,1,5,7,0,0,0,0,2,0,0,1,5.0
0,NYN201906150,wachm001,26,46,2,7,4,0,0,0,0,1,0,1,5,4.0
0,SLN201905090,wachm001,30,59,1,9,2,0,0,0,0,1,0,0,4,5.666666666666667
0,PIT201708190,wachm001,33,48,2,7,3,0,0,0,0,2,0,0,5,4.0
0,SLN201604110,wachm001,30,64,0,4,7,0,0,0,0,1,0,0,0,6.0
0,SLN201906210,wachm001,40,55,0,5,4,0,0,0,0,1,0,0,1,6.0
0,SLN201805180,wachm001,36,65,0,5,8,0,0,1,0,2,0,0,2,6.0
0,KCA201505240,wachm001,34,58,0,5,4,0,0,0,0,2,0,0,0,7.0
0,PIT201604050,wachm001,35,63,0,10,3,0,0,0,0,1,0,0,4,4.333333333333333
0,SDN201508230,wachm001,38,64,0,5,3,0,0,0,0,2,0,0,1,6.0
0,SLN201405150,wachm001,27,77,1,7,5,0,0,0,0,0,0,0,2,7.0
0,LAN201705250,wachm001,31,69,1,7,5,0,0,0,0,2,0,0,4,4.0
0,SEA201907040,wachm001,23,32,2,6,0,0,0,0,0,2,0,0,4,3.3333333333333335
0,SLN201608080,wachm001,36,50,0,6,3,0,0,0,0,4,0,0,4,5.0
0,CIN201608030,wachm001,29,52,0,6,3,0,1,0,0,1,0,0,2,5.0
0,PIT201509301,wachm001,36,50,2,4,4,0,0,0,1,3,1,1,6,3.6666666666666665
0,SLN201704250,wachm001,40,61,0,5,6,0,0,1,0,1,0,1,2,6.0
0,SLN201604170,wachm001,24,56,0,7,5,0,1,0,0,0,1,0,1,6.0
0,MIA201607280,wachm001,24,56,1,4,2,0,0,0,0,0,0,0,3,6.0
0,ATL201905150,wachm001,39,51,1,4,4,0,0,0,0,4,0,0,1,5.0
0,COL201909100,wachm001,24,44,1,5,3,0,0,0,0,1,0,0,2,4.0
0,CIN201409090,wachm001,26,44,1,6,3,0,0,0,0,3,0,0,3,4.0
0,SLN201606170,wachm001,31,72,1,6,7,0,0,0,0,2,0,0,1,7.666666666666667
0,CHN201606220,wachm001,38,68,1,3,5,0,0,0,0,2,0,0,2,6.666666666666667
0,SDN201906280,wachm001,32,50,2,6,2,0,0,0,0,1,0,0,2,6.666666666666667
0,SLN201805230,wachm001,32,70,1,4,6,0,0,0,0,0,0,0,1,6.666666666666667
0,PIT201505080,wachm001,34,70,0,6,1,0,0,0,0,0,0,1,2,6.0
0,SLN201705010,wachm001,32,56,1,7,5,0,0,1,0,1,0,0,4,5.333333333333333
0,SLN201504280,wachm001,31,60,0,6,4,0,0,0,0,2,0,1,4,5.666666666666667
0,SLN201904110,wachm001,31,61,3,8,3,0,0,0,0,1,0,0,7,3.6666666666666665
0,SLN201707280,wachm001,35,58,0,3,5,0,0,0,0,1,0,0,0,6.0
0,SFN201708310,wachm001,28,56,0,4,2,0,0,0,0,2,0,0,1,5.666666666666667
0,SLN201805010,wachm001,42,54,0,5,3,0,0,1,0,3,0,0,2,5.0
0,CHN201507080,wachm001,37,72,0,7,6,0,0,0,0,1,0,0,5,6.0
0,ATL201705070,wachm001,30,53,0,5,6,0,0,0,0,2,0,0,2,5.666666666666667
0,MIA201906100,wachm001,30,45,0,5,4,0,1,0,0,2,0,0,0,6.0
0,SLN201506160,wachm001,26,60,0,3,5,0,0,0,0,1,0,0,1,6.333333333333333
0,SFN201508280,wachm001,34,68,1,6,6,0,0,0,0,2,0,1,0,6.0
0,SLN201908312,wachm001,33,62,2,3,7,0,0,0,0,2,0,0,2,7.0
0,SLN201905221,wachm001,36,54,1,7,4,0,0,0,0,2,1,0,6,4.666666666666667
0,CIN201404020,wachm001,35,69,0,3,7,0,0,0,0,1,0,1,0,6.666666666666667
0,SLN201605240,wachm001,39,55,1,8,4,0,0,0,0,4,0,0,8,4.0
0,SLN201406170,wachm001,32,60,1,5,7,0,0,0,0,2,0,0,1,6.0
0,PHI201806200,wachm001,26,49,1,6,2,0,0,0,0,2,0,0,1,3.6666666666666665
0,SLN201909150,wachm001,25,49,0,5,1,0,0,1,0,0,0,1,0,5.0
0,SLN201708130,wachm001,26,56,1,8,1,0,0,0,0,1,0,0,4,5.0
0,SLN201405260,wachm001,27,57,0,4,2,0,0,0,0,2,0,0,3,7.0
0,SLN201409200,wachm001,25,53,0,6,1,0,0,1,0,0,0,0,2,4.666666666666667
0,SDN201709050,wachm001,33,57,1,7,6,0,0,0,0,3,0,0,3,6.0
0,ARI201409260,wachm001,37,61,0,5,4,0,0,0,0,3,0,0,2,5.0
0,LAN201506040,wachm001,31,76,0,7,5,0,0,0,0,0,0,0,1,7.0
0,CIN201508060,wachm001,39,63,0,4,6,0,0,0,0,2,0,0,0,7.0
0,CIN201804120,wachm001,36,57,0,5,5,0,0,0,0,3,0,0,3,5.0
0,MIL201708030,wachm001,30,51,1,5,5,0,0,0,0,3,0,0,1,4.0
0,WAS201504230,wachm001,34,61,0,5,6,0,0,0,0,2,0,0,1,7.0
0,PHI201506210,wachm001,24,57,0,8,7,0,1,0,0,1,0,0,5,5.0
0,CHN201509190,wachm001,42,62,2,6,7,0,0,0,0,4,0,0,4,5.0
0,CHN201909200,wachm001,24,51,0,5,1,0,0,0,0,2,0,0,1,4.0
0,SLN201908200,wachm001,26,47,0,3,5,0,0,0,0,1,0,0,0,4.0
0,SLN201706150,wachm001,30,59,1,7,5,0,0,0,0,3,0,0,3,4.0
0,CHN201707230,wachm001,35,70,2,6,6,0,0,0,0,0,0,0,5,6.0
