,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,BAL201407290,weavj003,30,38,2,7,4,0,1,0,0,4,0,0,6,5.0
0,NYA201506050,weavj003,35,36,3,9,2,0,0,0,0,0,0,0,7,5.666666666666667
0,SEA201405270,weavj003,36,32,1,7,5,0,0,1,0,3,0,0,3,6.0
0,CHN201608090,weavj003,30,30,2,8,3,0,0,0,0,2,0,0,4,5.0
0,ANA201504220,weavj003,32,29,0,8,3,0,0,0,0,0,0,0,1,5.666666666666667
0,ANA201508090,weavj003,30,32,0,4,7,0,0,0,0,0,0,1,2,5.0
0,ANA201408130,weavj003,27,36,0,8,5,0,1,0,0,2,0,0,2,6.0
0,ANA201407180,weavj003,33,41,0,6,8,0,0,0,0,2,0,0,1,6.0
0,HOU201607230,weavj003,29,27,2,7,1,0,0,0,0,3,0,1,6,4.0
0,ANA201509050,weavj003,41,33,0,4,3,0,0,0,0,2,1,2,1,6.0
0,ANA201404290,weavj003,33,31,1,8,6,0,0,0,0,1,0,0,2,5.333333333333333
0,TEX201510020,weavj003,34,32,1,2,2,0,0,0,0,3,0,0,1,6.0
0,MIN201604160,weavj003,31,32,1,8,1,0,0,0,0,2,0,1,4,4.333333333333333
0,ANA201505250,weavj003,31,42,0,6,7,0,1,0,0,1,0,0,0,6.666666666666667
0,DET201404180,weavj003,31,36,0,3,3,0,0,0,0,3,0,0,1,6.0
0,HOU201504170,weavj003,26,31,1,6,3,0,0,0,0,0,0,0,2,6.0
0,TBA201408030,weavj003,38,34,0,6,3,0,0,0,0,4,0,0,2,6.0
0,OAK201506200,weavj003,33,30,0,6,4,0,0,0,0,1,0,0,3,5.666666666666667
0,ANA201505080,weavj003,43,41,0,6,6,0,1,0,0,0,0,0,0,9.0
0,ANA201406210,weavj003,35,33,0,4,5,0,0,0,0,2,0,0,1,8.0
0,TOR201608250,weavj003,34,31,1,5,4,0,0,0,0,3,0,0,1,5.666666666666667
0,CLE201508300,weavj003,30,40,1,9,2,0,0,1,0,2,2,1,8,5.666666666666667
0,ANA201408290,weavj003,35,38,0,3,3,0,0,0,0,3,0,1,0,7.0
0,ANA201406060,weavj003,40,38,1,5,9,0,0,0,0,4,0,1,2,6.0
0,ANA201409200,weavj003,33,35,0,5,7,0,0,0,0,1,0,0,1,7.0
0,ANA201609110,weavj003,31,35,2,4,8,0,0,0,0,2,0,0,2,6.666666666666667
0,ATL201704170,weavj003,18,22,1,7,3,0,0,0,0,0,0,0,2,6.0
0,PIT201606030,weavj003,32,33,2,6,5,0,0,0,0,1,0,0,2,6.0
0,HOU201509210,weavj003,39,36,2,9,5,0,1,0,0,2,0,0,5,5.666666666666667
0,CHA201604210,weavj003,33,31,1,3,2,0,0,0,0,2,0,0,1,7.0
0,ANA201509110,weavj003,32,34,1,5,7,0,0,0,0,2,0,0,2,6.0
0,SEA201504060,weavj003,36,27,1,8,1,0,0,1,0,0,0,0,4,5.666666666666667
0,ANA201608300,weavj003,24,33,1,8,5,0,0,0,0,0,0,0,2,6.333333333333333
0,ANA201509270,weavj003,21,27,0,4,3,0,1,0,0,0,0,1,1,5.0
0,SFN201505030,weavj003,30,28,2,10,2,0,0,0,0,1,0,0,5,5.0
0,ANA201406110,weavj003,38,35,1,6,5,0,0,1,0,2,0,0,4,5.333333333333333
0,ANA201409130,weavj003,24,44,0,4,12,0,0,0,0,1,0,0,1,7.0
0,ANA201407230,weavj003,33,39,0,6,6,0,0,0,0,0,0,0,2,8.0
0,TOR201405110,weavj003,40,33,0,4,5,0,0,0,0,2,0,0,1,6.333333333333333
0,KCA201508140,weavj003,37,32,1,4,3,0,1,0,0,2,0,2,2,6.0
0,ANA201407070,weavj003,9,8,0,0,1,0,0,0,0,0,0,0,0,2.0
0,ANA201405210,weavj003,29,32,1,2,5,0,1,0,0,1,0,1,1,9.0
0,ANA201405160,weavj003,36,35,1,3,5,0,0,0,0,2,1,0,2,7.0
0,CHA201407012,weavj003,38,31,2,9,6,0,0,0,0,0,0,1,5,5.666666666666667
0,MIL201605020,weavj003,32,28,0,11,3,0,1,0,0,1,1,0,5,5.0
0,ANA201505300,weavj003,25,32,1,9,3,0,0,0,0,0,0,1,3,6.333333333333333
0,CLE201409080,weavj003,35,31,1,6,2,0,0,0,0,2,0,0,3,6.0
0,LAN201704060,weavj003,32,24,2,5,2,0,0,0,0,3,0,1,4,5.0
0,BOS201408190,weavj003,39,37,1,7,1,0,0,1,0,4,0,0,2,5.333333333333333
0,HOU201409030,weavj003,31,34,1,5,6,0,0,0,0,2,0,0,2,6.0
0,ANA201604260,weavj003,32,29,1,9,4,0,0,0,0,2,0,0,4,6.0
0,ANA201604100,weavj003,26,31,1,6,4,0,0,0,0,1,0,1,1,5.666666666666667
0,ANA201605280,weavj003,32,33,1,6,3,0,0,0,0,3,0,1,4,6.0
0,ANA201609160,weavj003,37,35,1,7,4,0,1,0,0,3,0,0,2,6.0
0,SEA201509160,weavj003,27,27,1,6,3,0,0,0,0,1,0,1,3,4.666666666666667
0,WAS201404230,weavj003,28,24,0,7,2,0,0,0,0,1,0,0,1,6.0
0,ANA201606130,weavj003,31,40,2,8,4,0,0,0,1,2,0,0,5,6.0
0,ANA201408080,weavj003,43,36,1,7,3,0,0,0,0,2,0,0,4,6.0
0,ANA201508190,weavj003,29,33,0,5,5,0,0,0,0,0,0,0,0,6.333333333333333
0,COL201704110,weavj003,21,29,2,3,5,0,0,0,0,0,0,0,2,6.0
0,TBA201607060,weavj003,37,33,1,4,5,0,0,0,0,1,0,0,1,6.0
0,ANA201606240,weavj003,36,34,1,8,4,0,0,0,0,1,0,0,4,4.666666666666667
0,ANA201506150,weavj003,32,32,2,8,4,0,1,0,0,2,0,0,4,6.666666666666667
0,SDN201705190,weavj003,13,14,2,5,0,0,0,0,0,2,0,0,6,0.6666666666666666
0,ANA201605070,weavj003,28,38,1,6,5,0,0,0,0,0,0,0,1,6.0
0,ANA201404120,weavj003,45,29,1,3,5,0,0,0,0,4,0,0,2,6.666666666666667
0,ANA201405050,weavj003,38,31,0,6,7,0,0,0,0,1,0,0,1,7.666666666666667
0,CLE201406160,weavj003,35,33,2,5,4,0,0,0,0,1,0,0,4,6.0
0,LAN201605170,weavj003,26,25,2,10,2,0,0,0,0,2,0,0,3,7.0
0,BAL201505150,weavj003,28,26,1,3,3,0,0,0,0,1,0,0,1,7.333333333333333
