,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,BOS202007260,weber001,20,20,2,6,0,0,0,0,0,3,0,0,6,3.6666666666666665
0,BOS202009010,weber001,19,15,1,4,2,0,0,0,0,0,0,1,2,4.0
0,KCA201906060,weber001,10,12,1,5,1,0,0,0,0,0,0,0,2,1.3333333333333333
0,PHI201509080,weber001,23,24,0,4,2,0,0,0,0,1,0,0,2,6.0
0,BOS202009050,weber001,25,20,1,5,2,0,0,0,0,1,0,0,2,5.0
0,ATL201509130,weber001,31,25,1,5,2,0,0,0,0,2,0,2,2,6.333333333333333
0,MIA201509250,weber001,18,11,1,9,0,0,0,0,0,1,0,0,4,2.0
0,ATL201509190,weber001,35,34,0,2,5,0,0,0,0,2,0,0,1,7.0
0,BOS202008070,weber001,23,20,1,5,3,0,0,0,0,2,0,0,2,3.0
0,NYN201609210,weber001,22,26,2,4,3,0,0,0,0,2,0,0,3,5.0
0,BOS201905290,weber001,26,26,1,8,2,0,0,1,0,2,0,1,7,4.0
0,TOR201705130,weber001,12,23,0,3,0,0,0,0,0,0,0,0,1,3.6666666666666665
0,ATL201510010,weber001,35,35,1,5,10,0,1,0,0,0,0,0,1,7.0
0,NYA202007310,weber001,27,24,2,4,0,0,0,0,0,4,0,0,3,3.3333333333333335
0,TOR201905230,weber001,33,29,0,3,4,0,0,0,0,0,0,1,1,6.0
0,WAS201609050,weber001,21,18,2,6,2,0,0,0,0,1,0,0,5,3.0
