,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TEX201407250,30,27,4,0,0,0,0,0,0,,1,6,1.5,0.0
0,CLE201408010,32,27,2,0,0,0,0,3,0,,10,5,18.0,0.0
0,ANA201408120,25,25,3,0,0,0,0,1,0,,2,6,3.0,0.0
0,PHI201408180,32,31,4,0,0,0,0,3,0,,1,8,1.125,1.0
0,PHI201408240,34,38,5,0,0,0,0,3,0,,1,8,1.125,0.0
0,NYN201408300,32,34,3,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,WAS201409050,33,31,3,0,0,0,0,1,1,,4,5,7.2,0.0
0,PHI201409100,26,34,8,0,0,0,0,1,0,,4,5,7.2,2.0
0,SDN201409150,33,35,6,0,0,0,0,2,0,,0,8,0.0,0.0
0,OAK201409200,36,30,3,0,0,0,0,1,0,,0,7,0.0,0.0
0,PHI201409260,20,34,3,0,0,0,0,1,0,,4,6,6.0,0.0
0,PHI201504100,32,34,6,0,0,0,0,1,0,,1,6,1.5,0.0
0,NYN201504150,25,25,1,0,0,1,0,0,1,,4,5,7.2,0.0
0,PHI201504210,33,29,6,0,1,0,0,1,0,,2,6,3.0,0.0
0,PHI201504260,28,31,2,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,MIA201505010,37,28,2,0,0,0,0,1,1,,3,5,5.4,0.0
0,ATL201505060,25,22,3,0,0,0,0,0,0,,6,5,10.8,0.0
0,PHI201505110,28,29,4,0,0,0,0,2,0,,3,5,5.4,1.0
0,PHI201505160,20,28,4,0,0,0,0,0,0,,2,5,3.6,0.0
0,COL201505210,18,26,0,0,0,0,0,3,0,,5,5,9.0,1.0
0,NYN201505260,35,29,4,0,0,0,0,4,0,,3,6,4.5,0.0
0,PHI201505310,17,24,4,0,0,0,0,0,0,,4,5,7.2,1.0
0,PHI201506050,25,29,2,0,0,0,0,0,0,,4,5,7.2,1.0
0,CIN201506100,32,36,3,0,0,0,0,1,0,,4,6,6.0,0.0
0,BAL201506160,10,7,0,0,0,2,0,2,0,,6,1,54.0,0.0
0,CHN201507240,23,32,4,0,0,0,0,1,0,,3,6,4.5,0.0
0,TOR201507290,26,25,1,0,0,0,0,0,0,,4,5,7.2,0.0
0,PHI201508040,37,34,6,0,0,0,0,3,0,,1,5,1.8,0.0
0,SDN201508090,31,35,3,0,0,0,0,0,0,,1,7,1.2857142857142858,0.0
0,MIL201508150,20,27,4,0,0,0,0,0,0,,1,6,1.5,0.0
0,MIA201508200,25,19,1,0,0,1,0,4,0,,8,2,36.0,0.0
0,PHI201508250,38,29,5,0,0,0,0,2,0,,4,6,6.0,0.0
