,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,MIA201405250,29,32,3,0,0,0,0,1,0,,4,5,7.2,0.0
0,MIA201406020,33,28,7,0,0,0,0,1,0,,1,6,1.5,0.0
0,CHN201406070,38,36,2,0,1,1,0,1,0,,4,6,6.0,0.0
0,MIA201406140,27,21,2,0,0,0,0,2,0,,5,4,11.25,0.0
0,DET201508220,39,35,5,0,1,0,0,0,0,,3,7,3.857142857142857,0.0
0,DET201508270,34,29,5,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,KCA201509020,24,23,2,0,0,0,0,3,0,,8,4,18.0,1.0
0,DET201509070,25,20,3,0,0,0,0,0,0,,4,5,7.2,0.0
0,CLE201509132,34,25,3,0,0,2,0,4,0,,1,3,3.0,0.0
0,DET201509212,43,30,6,0,0,1,0,3,1,,3,7,3.857142857142857,0.0
0,DET201509270,11,20,3,0,0,0,0,1,0,,4,2,18.0,0.0
