,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,TBA201708040,30,27,6,0,1,0,0,2,0,,0,7,0.0,0.0
0,MIL201708090,37,32,2,0,0,0,0,3,0,,2,6,3.0,1.0
0,COL201708190,30,25,4,0,0,0,0,3,0,,1,5,1.8,0.0
0,MIL201709020,30,38,8,0,0,0,0,1,0,,1,7,1.2857142857142858,1.0
0,MIL201709110,29,34,3,0,1,0,0,1,0,,6,6,9.0,0.0
0,MIA201709170,30,26,5,0,0,0,0,0,0,,3,7,3.857142857142857,0.0
0,MIL201709220,24,35,4,0,0,0,0,2,1,,4,5,7.2,1.0
0,MIL201709270,16,16,0,0,0,0,0,1,0,,6,3,18.0,0.0
0,MIL201804060,36,31,3,0,0,1,0,2,0,,2,4,4.5,1.0
0,COL201805110,30,27,1,0,0,0,0,1,0,,7,4,15.75,0.0
0,ARI201805160,35,31,6,0,0,0,0,4,0,,2,5,3.6,0.0
0,PHI201806100,23,24,3,0,1,0,0,2,0,,0,4,0.0,0.0
0,MIL201903300,35,35,5,0,0,0,1,1,0,,2,5,3.6,0.0
0,MIL201904050,28,34,8,0,0,0,0,2,0,,4,4,9.0,1.0
0,ANA201904100,31,34,7,0,0,0,0,1,0,,4,6,6.0,1.0
0,MIL201904160,30,35,6,0,0,0,0,2,0,,2,6,3.0,0.0
0,MIL201904210,32,35,6,0,0,0,0,3,0,,5,6,7.5,0.0
0,NYN201904270,27,31,6,0,0,0,0,1,0,,1,5,1.8,1.0
0,MIL201905030,31,31,7,0,0,0,0,2,0,,1,5,1.8,0.0
0,MIL201905080,35,35,9,0,0,0,0,0,0,,1,6,1.5,0.0
0,PHI201905140,31,31,5,0,0,0,0,5,0,,0,6,0.0,0.0
0,ATL201905190,28,33,6,0,0,0,0,0,0,,2,8,2.25,0.0
0,MIL201905260,24,40,10,0,0,0,0,0,0,,1,8,1.125,0.0
0,PIT201906010,26,31,5,0,0,0,0,2,0,,6,5,10.8,1.0
0,MIL201906070,31,32,10,0,1,0,0,1,0,,3,6,4.5,0.0
0,HOU201906120,32,34,6,0,0,0,0,3,0,,3,7,3.857142857142857,0.0
0,SDN201906180,23,32,6,0,0,0,0,1,0,,4,6,6.0,0.0
0,MIL201906230,31,35,12,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,MIL201906290,31,36,6,0,0,0,0,0,0,,1,8,1.125,1.0
0,CIN201907040,23,30,6,0,0,0,0,0,0,,1,6,1.5,0.0
0,MIL201907160,35,32,7,0,0,0,0,2,0,,1,7,1.2857142857142858,0.0
0,ARI201907210,26,23,3,0,0,0,0,2,0,,4,3,12.0,0.0
0,MIL201909170,13,13,4,0,0,0,0,1,0,,0,2,0.0,0.0
0,MIL201909220,12,12,3,0,0,0,0,0,0,,0,2,0.0,0.0
