,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,TBA201808050,woodh001,17,14,0,2,3,0,0,0,0,2,0,0,1,1.6666666666666665
0,TBA201808200,woodh001,10,6,0,2,2,0,0,0,0,0,0,0,0,1.6666666666666665
0,NYA201808140,woodh001,10,7,0,3,1,0,1,0,0,1,0,0,1,1.0
0,TBA201808090,woodh001,11,12,0,5,1,0,0,0,0,1,0,0,3,1.6666666666666665
0,TBA201904180,woodh001,13,15,0,2,1,0,0,0,0,1,0,0,0,2.0
0,TBA201807110,woodh001,6,9,0,2,2,0,0,0,0,0,0,0,0,1.0
0,TBA201808020,woodh001,12,12,0,1,5,0,0,0,0,0,0,0,0,2.0
0,TBA201905210,woodh001,9,14,0,2,3,0,0,0,0,0,1,0,0,2.0
0,TBA201807230,woodh001,14,13,0,2,2,0,0,0,0,1,0,0,1,2.0
0,BAL201807260,woodh001,11,8,0,1,3,0,0,0,0,1,0,0,0,1.6666666666666665
