,Game ID,Balls,Strikes,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit By Pitch,Earned Runs,Innings Pitched,ERA,Hit by Pitch
0,MIA201406150,27,37,5,0,0,0,0,0,0,,0,7,0.0,0.0
0,CHN201406210,20,34,4,0,0,0,0,1,0,,3,7,3.857142857142857,0.0
0,PIT201406260,27,39,3,0,0,0,0,2,0,,1,7,1.2857142857142858,1.0
0,PIT201407030,26,32,6,0,0,0,0,2,0,,3,7,3.857142857142857,0.0
0,SLN201407080,26,25,3,0,0,0,0,0,0,,4,5,7.2,0.0
0,PIT201407220,27,37,5,0,0,0,0,2,0,,1,6,1.5,0.0
0,SFN201407280,28,34,3,0,0,0,0,1,0,,0,9,0.0,0.0
0,ARI201408020,28,26,2,0,0,0,0,1,0,,1,6,1.5,0.0
0,PIT201408080,27,33,7,0,0,0,0,1,0,,1,7,1.2857142857142858,1.0
0,DET201408130,32,33,4,0,0,1,0,1,0,,3,6,4.5,0.0
0,PIT201408180,30,32,8,0,0,0,0,2,0,,5,6,7.5,0.0
0,MIL201408240,34,27,5,0,0,0,0,1,0,,4,7,5.142857142857143,0.0
0,PIT201408300,30,29,4,0,0,0,0,2,0,,1,7,1.2857142857142858,1.0
0,CHN201409050,32,32,6,0,1,1,0,3,1,,2,5,3.6,0.0
0,PHI201409100,36,28,4,0,0,0,0,2,0,,3,5,5.4,0.0
0,PIT201409210,19,31,5,0,0,0,0,0,0,,0,8,0.0,0.0
0,CIN201409260,18,25,4,0,0,1,0,0,0,,1,7,1.2857142857142858,0.0
0,MIL201504110,28,31,4,0,0,0,0,2,0,,6,7,7.714285714285714,0.0
0,PIT201504170,29,30,6,0,0,0,0,2,2,,2,6,3.0,0.0
0,PIT201504220,38,36,5,0,0,0,0,2,0,,0,6,0.0,0.0
0,CHN201504270,35,30,3,0,0,0,0,1,0,,4,6,6.0,0.0
0,SLN201505030,35,28,5,0,0,0,0,1,0,,1,6,1.5,0.0
0,PIT201505090,26,26,0,0,0,0,0,3,0,,5,5,9.0,0.0
0,PHI201505140,32,21,0,0,0,0,0,1,0,,1,4,2.25,0.0
0,MIL201507180,27,26,4,0,0,0,0,1,0,,4,4,9.0,1.0
0,BAL201604100,28,24,5,0,0,0,0,1,0,,2,5,3.6,0.0
0,TEX201604150,30,30,6,0,0,0,0,2,0,,4,6,6.0,1.0
0,NYA201607190,29,24,3,0,0,0,0,4,0,,3,5,5.4,0.0
0,BAL201607240,33,34,3,0,0,0,0,3,0,,2,7,2.5714285714285716,0.0
0,LAN201705210,32,28,2,0,0,0,0,1,0,,3,4,6.75,0.0
0,MIA201705270,22,20,2,0,0,0,0,0,0,,2,5,3.6,1.0
0,MIA201706040,21,30,5,0,0,0,0,3,0,,5,4,11.25,0.0
0,PIT201706090,24,19,2,0,0,0,0,2,0,,4,4,9.0,1.0
0,MIA201707280,26,24,3,0,0,0,0,2,0,,3,4,6.75,1.0
0,MIA201708020,38,31,3,0,0,0,0,0,0,,0,7,0.0,0.0
0,WAS201708080,29,30,2,0,0,0,0,3,0,,1,6,1.5,0.0
0,MIA201708130,25,26,1,0,0,0,0,1,1,,3,5,5.4,2.0
0,NYN201708190,32,27,2,0,0,0,0,2,0,,2,6,3.0,0.0
0,PHI201708240,26,26,3,0,0,0,0,2,0,,8,4,18.0,0.0
0,WAS201708290,26,25,2,0,0,0,0,2,1,,5,5,9.0,0.0
0,PHI201709140,19,20,4,0,0,1,0,2,0,,7,2,31.5,0.0
