,Game ID,ID,Balls,Strikes,Homeruns Allowed,Hits Allowed,Strikeouts,Pickoff Errors,Pickoffs,Wild Pitches,Balks,Walks,Intentional Walks,Hit by Pitch,Earned Runs,Innings Pitched
0,DET201906250,zimmj003,26,58,0,9,2,0,0,0,0,1,0,1,3,4.666666666666667
0,TOR201807010,zimmj003,26,71,0,5,6,0,0,0,0,0,0,0,1,7.0
0,SEA201408290,zimmj003,32,73,0,7,8,0,0,0,0,1,0,0,2,6.0
0,WAS201408070,zimmj003,24,67,0,7,5,0,0,0,0,0,0,0,1,6.333333333333333
0,DET201606080,zimmj003,37,63,2,8,3,0,0,0,0,2,0,0,7,4.666666666666667
0,WAS201508070,zimmj003,32,74,0,4,6,0,0,0,0,0,0,0,1,6.666666666666667
0,DET201906300,zimmj003,38,51,0,4,4,0,0,0,0,2,0,0,1,6.0
0,SEA201706200,zimmj003,42,64,1,6,7,0,0,0,0,3,0,0,3,6.666666666666667
0,DET201909020,zimmj003,33,57,1,9,3,0,0,0,0,0,0,0,2,5.666666666666667
0,DET201808150,zimmj003,24,61,2,9,4,0,0,0,0,0,0,0,6,5.0
0,PHI201407110,zimmj003,15,34,1,6,5,0,0,0,0,0,0,0,4,3.3333333333333335
0,WAS201504080,zimmj003,28,63,0,5,4,0,0,0,0,0,0,0,1,6.0
0,SDN201406080,zimmj003,31,83,0,2,12,0,0,0,0,0,0,0,0,9.0
0,MIL201506120,zimmj003,31,57,0,9,4,0,1,0,0,1,0,0,5,3.3333333333333335
0,DET201706030,zimmj003,28,65,0,7,5,0,0,0,0,2,0,0,1,6.0
0,DET201909260,zimmj003,35,56,0,7,2,0,0,0,0,1,0,0,4,4.333333333333333
0,WAS201404240,zimmj003,31,60,0,5,5,0,0,0,0,1,0,0,3,6.0
0,NYN201409140,zimmj003,29,74,0,6,5,0,0,0,0,1,0,2,0,6.666666666666667
0,MIL201809280,zimmj003,33,52,2,8,4,0,0,0,0,2,0,0,5,4.0
0,WAS201406190,zimmj003,33,64,0,7,6,0,0,0,0,1,0,0,2,7.0
0,LAN201508120,zimmj003,22,71,0,2,9,0,0,0,0,1,0,0,1,7.0
0,WAS201509030,zimmj003,34,53,0,2,5,0,0,1,1,4,0,0,1,5.666666666666667
0,KCA201907140,zimmj003,13,51,1,8,2,0,0,0,0,0,0,1,6,4.0
0,ATL201509300,zimmj003,29,53,0,6,1,0,0,0,0,1,0,0,2,6.0
0,WAS201509080,zimmj003,36,64,1,3,6,0,0,0,0,1,0,0,1,5.666666666666667
0,DET201604080,zimmj003,35,63,0,2,3,0,0,1,0,3,0,0,0,7.0
0,KCA201709270,zimmj003,26,58,0,4,3,0,0,0,0,1,0,0,2,6.0
0,WAS201405180,zimmj003,33,59,0,8,1,0,0,0,0,2,0,0,3,5.666666666666667
0,CLE201804110,zimmj003,2,5,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666
0,DET201704080,zimmj003,26,66,0,4,3,0,0,0,0,1,0,1,1,6.0
0,BAL201507110,zimmj003,32,63,2,9,4,0,0,0,0,0,0,0,4,5.0
0,WAS201404190,zimmj003,29,71,0,7,6,0,0,0,0,2,0,1,1,6.666666666666667
0,OAK201909070,zimmj003,25,55,2,7,2,0,0,0,0,1,0,1,6,5.0
0,DET201909200,zimmj003,23,53,2,11,6,0,0,0,0,0,1,0,9,3.6666666666666665
0,DET201708180,zimmj003,31,60,0,10,5,0,0,0,0,2,0,0,6,5.333333333333333
0,DET201605160,zimmj003,25,84,2,11,9,0,0,0,0,0,0,0,7,7.0
0,DET201608040,zimmj003,18,35,2,6,0,0,0,0,0,2,0,1,6,1.6666666666666665
0,DET201907240,zimmj003,36,59,2,8,3,0,1,0,0,1,0,0,4,4.333333333333333
0,WAS201506021,zimmj003,36,69,0,6,4,0,0,0,0,1,0,0,0,8.0
0,BOS201706090,zimmj003,30,64,1,6,3,0,0,0,0,3,0,0,2,6.0
0,WAS201408180,zimmj003,34,61,1,4,2,0,0,0,0,3,0,0,3,7.0
0,MIA201507280,zimmj003,26,50,0,8,2,0,0,0,0,0,2,0,3,6.0
0,PIT201405230,zimmj003,35,69,1,7,4,0,0,1,0,2,0,1,4,6.0
0,WAS201506240,zimmj003,22,75,0,6,3,0,0,0,0,0,0,0,0,8.0
0,OAK201705060,zimmj003,30,54,3,5,4,0,0,0,0,1,0,0,4,5.666666666666667
0,DET201904090,zimmj003,32,41,3,4,4,0,0,0,0,2,0,0,4,4.333333333333333
0,CHA201705280,zimmj003,25,54,3,8,3,0,0,0,0,1,0,0,7,5.0
0,KCA201707170,zimmj003,18,79,0,7,7,0,0,0,0,0,0,1,1,6.666666666666667
0,MIN201604300,zimmj003,33,70,1,6,7,0,0,0,0,0,0,0,1,7.0
0,DET201705180,zimmj003,36,66,2,7,6,0,0,0,0,1,0,0,4,6.0
0,DET201606240,zimmj003,31,58,0,9,3,0,0,0,0,0,0,1,7,3.6666666666666665
0,DET201706140,zimmj003,35,73,0,6,6,0,0,0,0,0,0,0,2,8.0
0,WAS201407060,zimmj003,29,76,0,7,5,0,0,0,0,1,0,0,0,6.0
0,WAS201409090,zimmj003,28,72,1,6,7,0,0,0,0,0,0,0,2,6.0
0,WAS201406300,zimmj003,27,60,0,7,5,0,0,0,0,1,0,0,2,6.0
0,DET201907190,zimmj003,37,59,0,7,5,0,0,2,0,4,0,0,6,3.6666666666666665
0,OAK201808040,zimmj003,40,63,2,6,6,0,0,0,0,3,0,0,2,6.333333333333333
0,DET201808100,zimmj003,27,69,0,8,1,0,0,0,0,0,0,0,0,6.333333333333333
0,DET201604250,zimmj003,35,67,0,7,1,0,0,0,0,1,0,0,1,6.666666666666667
0,DET201708120,zimmj003,23,51,2,8,1,0,0,0,0,1,0,0,7,3.3333333333333335
0,DET201808210,zimmj003,33,59,1,7,5,0,0,0,0,1,0,0,1,6.0
0,CHA201606140,zimmj003,40,67,0,8,3,0,0,0,0,1,0,0,4,7.0
0,WAS201506070,zimmj003,26,66,0,10,3,0,1,0,0,2,0,0,4,5.0
0,TBA201807110,zimmj003,26,79,2,11,5,0,0,1,0,1,0,0,4,6.666666666666667
0,WAS201505100,zimmj003,42,65,0,8,2,0,0,0,0,3,0,0,3,6.0
0,WAS201509250,zimmj003,22,57,3,6,6,0,0,0,0,2,0,0,6,5.0
0,NYN201508020,zimmj003,30,65,3,6,7,0,0,0,0,2,0,0,5,6.0
0,DET201605060,zimmj003,37,71,1,7,2,0,0,0,0,1,0,0,3,8.0
0,KCA201604200,zimmj003,30,73,0,7,8,0,1,0,0,1,0,0,0,6.333333333333333
0,WAS201504180,zimmj003,40,61,0,4,3,0,0,0,0,4,0,0,1,6.333333333333333
0,MIN201707220,zimmj003,37,53,0,9,1,0,0,0,0,3,1,0,5,3.6666666666666665
0,MIA201404140,zimmj003,30,63,1,6,7,0,0,1,0,1,0,0,2,7.0
0,DET201704300,zimmj003,42,58,1,7,5,0,0,0,0,2,0,0,3,5.0
0,CHN201505260,zimmj003,36,75,1,6,5,0,0,0,0,3,0,0,1,7.0
0,CHA201806160,zimmj003,23,51,0,4,4,0,1,0,0,0,0,0,3,5.0
0,SLN201406130,zimmj003,19,57,1,3,5,0,0,0,0,1,0,0,1,8.0
0,WAS201509190,zimmj003,32,63,0,6,7,0,0,0,0,1,0,1,2,6.0
0,WAS201507170,zimmj003,20,43,1,3,3,0,0,0,0,1,0,1,2,4.0
0,TBA201704190,zimmj003,41,62,0,10,4,0,0,0,0,1,0,0,5,6.0
0,MIA201409200,zimmj003,21,63,0,5,4,0,0,0,0,0,0,0,1,6.0
0,DET201808260,zimmj003,19,57,1,8,5,0,0,0,0,0,0,1,5,6.0
0,WAS201408020,zimmj003,26,71,0,5,8,0,0,0,0,0,0,0,0,7.0
0,ARI201405120,zimmj003,25,67,1,10,4,0,0,0,0,0,0,0,5,5.666666666666667
0,MIL201406240,zimmj003,33,63,0,6,9,0,0,0,0,2,0,0,2,6.0
0,WAS201404090,zimmj003,23,34,1,7,1,0,0,0,0,2,0,0,5,1.6666666666666665
0,BOS201504130,zimmj003,30,40,1,9,0,0,0,0,0,1,0,2,6,2.3333333333333335
0,WAS201506170,zimmj003,34,71,2,8,8,0,0,0,0,1,0,0,3,7.0
0,ANA201907290,zimmj003,20,41,1,4,2,0,0,0,0,0,0,1,2,5.333333333333333
0,KCA201606190,zimmj003,23,70,0,4,5,0,0,0,0,0,0,0,1,8.0
0,CHA201804050,zimmj003,23,52,0,9,3,0,0,0,0,1,0,0,5,4.333333333333333
0,DET201908280,zimmj003,34,61,1,5,5,0,0,0,0,0,0,1,2,6.0
0,DET201609100,zimmj003,20,22,3,4,0,0,0,0,0,3,0,0,5,1.0
0,WAS201408230,zimmj003,29,78,1,7,8,0,0,1,0,0,0,0,2,8.0
0,DET201909130,zimmj003,35,56,1,8,3,0,0,0,0,0,0,0,4,5.0
0,TOR201903280,zimmj003,23,47,0,1,4,0,0,0,0,0,0,0,0,7.0
0,DET201708230,zimmj003,27,55,2,9,0,0,0,0,0,1,0,0,7,5.0
