Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
DET201509060,andec002,2015-09-06,0,7.0,51.0,26.0,11.0,25.0,3.8571428571428563,1.0628571428571427,4.485714285714286
CLE201509131,andec002,2015-09-13,1,7.0,47.0,25.0,12.0,25.0,3.9017341040462425,1.023121387283237,4.58728323699422
CLE201509180,andec002,2015-09-18,0,6.0,52.0,26.0,13.0,26.0,4.228915662650602,1.1746987951807226,4.428915662650603
MIN201509240,andec002,2015-09-24,0,7.0,51.0,28.0,18.0,26.0,4.333333333333332,1.2777777777777775,4.9037037037037035
CLE201509302,andec002,2015-09-30,2,7.0,58.0,31.0,16.0,26.0,4.333333333333332,1.37037037037037,4.681481481481481
CHA201604090,andec002,2016-04-09,0,6.0,50.0,32.0,20.0,22.0,3.3942857142857132,1.1999999999999997,4.52
CLE201604150,andec002,2016-04-15,0,5.0,48.0,32.0,20.0,17.0,2.6079545454545454,1.159090909090909,4.239772727272728
CLE201604210,andec002,2016-04-21,0,7.0,51.0,33.0,19.0,18.0,2.8588235294117643,1.2352941176470587,4.647058823529412
MIN201604260,andec002,2016-04-26,0,8.0,55.0,34.0,19.0,17.0,2.653179190751445,1.283236994219653,4.864739884393064
CLE201605070,andec002,2016-05-07,0,8.0,63.0,34.0,18.0,21.0,3.203389830508474,1.3728813559322033,4.7762711864406775
CLE201605160,andec002,2016-05-16,0,9.0,66.0,34.0,17.0,23.0,3.5689655172413794,1.4310344827586208,4.975862068965517
CHA201605232,andec002,2016-05-23,2,11.0,73.0,33.0,16.0,27.0,4.3915662650602405,1.608433734939759,5.513253012048192
SEA201606070,andec002,2016-06-07,0,11.0,71.0,39.0,15.0,26.0,4.129411764705882,1.5176470588235293,5.194117647058824
CLE201609240,andec002,2016-09-24,0,11.0,73.0,38.0,11.0,31.0,5.198757763975155,1.5652173913043477,5.119254658385093
CLE201905050,andec002,2019-05-05,0,10.0,67.0,37.0,11.0,32.0,5.877551020408164,1.5918367346938775,5.077551020408164
OAK201905100,andec002,2019-05-10,0,11.0,67.0,36.0,10.0,36.0,7.59375,1.8046875,5.6375
