Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
LAN201405280,bailh001,2014-05-28,0,9.0,71.0,50.0,19.0,33.0,5.210526315789474,1.5789473684210529,4.5508771929824565
CIN201406030,bailh001,2014-06-03,0,9.0,69.0,53.0,17.0,31.0,4.675977653631286,1.4413407821229052,4.289385474860335
CIN201406080,bailh001,2014-06-08,0,9.0,65.0,55.0,16.0,30.0,4.450549450549452,1.3351648351648353,4.205494505494506
MIL201406130,bailh001,2014-06-13,0,5.0,63.0,53.0,19.0,26.0,3.6753926701570685,1.2879581151832462,3.5455497382198953
PIT201406190,bailh001,2014-06-19,0,6.0,63.0,51.0,19.0,28.0,3.937500000000001,1.2812500000000002,3.809375
CHN201406240,bailh001,2014-06-24,0,5.0,63.0,52.0,20.0,26.0,3.656250000000001,1.2968750000000002,3.621875
SFN201406290,bailh001,2014-06-29,0,6.0,59.0,54.0,21.0,26.0,3.815217391304349,1.304347826086957,3.8847826086956525
CIN201407050,bailh001,2014-07-05,0,6.0,57.0,56.0,18.0,23.0,3.2176165803108816,1.1658031088082905,3.6507772020725393
CIN201407100,bailh001,2014-07-10,0,5.0,60.0,58.0,20.0,23.0,3.1846153846153853,1.230769230769231,3.476923076923077
MIL201407220,bailh001,2014-07-22,0,4.0,55.0,59.0,20.0,21.0,2.84924623115578,1.1306532663316586,3.3356783919597994
CIN201407280,bailh001,2014-07-28,0,7.0,51.0,58.0,20.0,21.0,2.84924623115578,1.0703517587939702,3.998994974874372
MIA201408020,bailh001,2014-08-02,0,6.0,51.0,55.0,20.0,20.0,2.673267326732674,1.0544554455445547,3.8831683168316835
CIN201408070,bailh001,2014-08-07,0,5.0,49.0,53.0,22.0,18.0,2.370731707317074,1.0390243902439027,3.785365853658537
SLN201504180,bailh001,2015-04-18,0,5.0,47.0,54.0,20.0,17.0,2.272277227722773,0.9950495049504954,3.6752475247524754
MIL201504230,bailh001,2015-04-23,0,5.0,50.0,48.0,18.0,20.0,2.7,1.0200000000000002,3.725
SDN201607310,bailh001,2016-07-31,0,7.0,48.0,46.0,18.0,19.0,2.5650000000000004,0.9900000000000001,4.175000000000001
PIT201608060,bailh001,2016-08-06,0,6.0,48.0,46.0,19.0,18.0,2.417910447761194,1.0,3.976119402985075
MIL201608120,bailh001,2016-08-12,0,6.0,53.0,43.0,19.0,21.0,3.098360655737705,1.180327868852459,4.249180327868853
CIN201608170,bailh001,2016-08-17,0,6.0,49.0,46.0,16.0,20.0,3.0508474576271185,1.1016949152542372,4.030508474576271
CIN201608220,bailh001,2016-08-22,0,7.0,53.0,49.0,15.0,18.0,2.7457627118644066,1.152542372881356,3.9966101694915257
ARI201608280,bailh001,2016-08-28,0,5.0,58.0,46.0,14.0,21.0,3.4156626506024095,1.3012048192771084,3.5795180722891566
WAS201706240,bailh001,2017-06-24,0,5.0,58.0,43.0,13.0,23.0,4.282758620689655,1.4689655172413791,3.6965517241379313
CIN201706290,bailh001,2017-06-29,0,5.0,61.0,40.0,13.0,29.0,6.069767441860465,1.7209302325581395,3.8976744186046512
COL201707040,bailh001,2017-07-04,0,8.0,63.0,34.0,13.0,35.0,8.076923076923077,1.9487179487179487,5.353846153846154
ARI201707090,bailh001,2017-07-09,0,7.0,62.0,37.0,12.0,31.0,7.093220338983052,1.8813559322033901,4.776271186440678
CIN201707160,bailh001,2017-07-16,0,6.0,62.0,39.0,15.0,30.0,6.694214876033058,1.9090909090909094,4.538842975206612
CIN201707210,bailh001,2017-07-21,0,8.0,66.0,38.0,14.0,35.0,8.146551724137932,2.06896551724138,5.320689655172414
NYA201707260,bailh001,2017-07-26,0,8.0,66.0,37.0,15.0,34.0,7.344000000000002,1.9440000000000004,5.144
PIT201708010,bailh001,2017-08-01,0,8.0,73.0,26.0,15.0,38.0,8.208000000000002,2.1120000000000005,5.744000000000001
CIN201708060,bailh001,2017-08-06,0,7.0,71.0,23.0,16.0,38.0,8.015625000000002,2.0390625000000004,5.660937500000001
MIL201708110,bailh001,2017-08-11,0,7.0,72.0,26.0,19.0,41.0,8.450381679389315,2.083969465648855,5.673282442748093
CHN201708160,bailh001,2017-08-16,0,8.0,72.0,31.0,24.0,40.0,7.552447552447554,2.013986013986014,5.843356643356644
CIN201708220,bailh001,2017-08-22,0,9.0,73.0,39.0,26.0,39.0,6.7935483870967746,1.9161290322580646,5.6967741935483875
