Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
SFN201504140,bergc001,2015-04-14,0,9.0,75.0,31.0,8.0,30.0,4.939024390243903,1.5182926829268293,4.7
COL201509230,bergc001,2015-09-23,0,9.0,73.0,31.0,8.0,28.0,4.784810126582279,1.5379746835443038,4.756962025316456
ARI201509290,bergc001,2015-09-29,0,8.0,75.0,29.0,9.0,32.0,5.721854304635762,1.6688741721854305,4.709933774834438
SFN201510040,bergc001,2015-10-04,0,5.0,71.0,29.0,10.0,28.0,4.815286624203822,1.5477707006369428,3.964331210191083
CHN201604160,bergc001,2016-04-16,0,5.0,68.0,28.0,9.0,26.0,4.808219178082193,1.5821917808219181,4.001369863013699
TOR201705120,bergc001,2017-05-12,0,7.0,70.0,30.0,6.0,28.0,5.213793103448277,1.5724137931034488,4.275862068965518
SEA201705170,bergc001,2017-05-17,0,8.0,68.0,31.0,7.0,29.0,5.514084507042255,1.5845070422535215,4.594366197183099
WAS201705230,bergc001,2017-05-23,0,8.0,64.0,39.0,9.0,27.0,4.993150684931508,1.5000000000000002,4.35068493150685
BOS201705280,bergc001,2017-05-28,0,11.0,69.0,32.0,11.0,34.0,6.419580419580421,1.6783216783216786,5.54965034965035
SEA201706020,bergc001,2017-06-02,0,10.0,67.0,31.0,13.0,32.0,5.877551020408165,1.6326530612244903,5.444897959183674
SEA201706080,bergc001,2017-06-08,0,10.0,63.0,33.0,15.0,29.0,5.255033557046982,1.5704697986577187,5.455033557046981
MIN201706130,bergc001,2017-06-13,0,11.0,63.0,35.0,15.0,30.0,5.328947368421054,1.5394736842105268,5.5881578947368435
TEX201706180,bergc001,2017-06-18,0,12.0,63.0,37.0,14.0,31.0,5.617449664429532,1.5503355704697992,5.757046979865773
SEA201805160,bergc001,2018-05-16,0,13.0,62.0,35.0,15.0,30.0,5.364238410596029,1.5298013245033117,6.120529801324505
COL201807130,bergc001,2018-07-13,0,13.0,58.0,40.0,14.0,28.0,4.609756097560977,1.3170731707317078,5.651219512195123
