Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
LAN201505120,bolsm001,2015-05-12,0,7.0,65.0,50.0,16.0,29.0,4.745454545454545,1.4727272727272727,3.909090909090909
LAN201505170,bolsm001,2015-05-17,0,7.0,63.0,48.0,17.0,26.0,4.129411764705882,1.4117647058823528,4.011764705882353
LAN201505230,bolsm001,2015-05-23,0,7.0,62.0,47.0,17.0,26.0,4.178571428571429,1.4107142857142858,4.110714285714286
SLN201505290,bolsm001,2015-05-29,0,6.0,54.0,51.0,17.0,22.0,3.3559322033898304,1.2033898305084745,3.7084745762711866
COL201506030,bolsm001,2015-06-03,0,4.0,54.0,51.0,17.0,20.0,3.0,1.1833333333333333,3.266666666666667
LAN201506080,bolsm001,2015-06-08,0,3.0,53.0,48.0,20.0,21.0,3.2215909090909087,1.2443181818181817,3.3022727272727272
SDN201506140,bolsm001,2015-06-14,0,3.0,51.0,52.0,21.0,22.0,3.413793103448276,1.2413793103448276,3.217241379310345
LAN201506190,bolsm001,2015-06-19,0,3.0,54.0,53.0,21.0,22.0,3.4941176470588236,1.3235294117647058,3.182352941176471
CHN201506240,bolsm001,2015-06-24,0,4.0,52.0,54.0,22.0,22.0,3.394285714285714,1.2685714285714285,3.422857142857143
ARI201506290,bolsm001,2015-06-29,0,3.0,50.0,55.0,22.0,19.0,2.9482758620689653,1.2413793103448276,3.1655172413793107
LAN201507050,bolsm001,2015-07-05,0,3.0,48.0,54.0,20.0,18.0,2.8757396449704142,1.2071005917159765,3.093491124260355
LAN201507100,bolsm001,2015-07-10,0,2.0,52.0,55.0,19.0,21.0,3.395209580838324,1.2754491017964074,2.768862275449102
WAS201507170,bolsm001,2015-07-17,0,2.0,53.0,55.0,18.0,23.0,3.718562874251498,1.2754491017964074,2.6610778443113774
ATL201507220,bolsm001,2015-07-22,0,2.0,54.0,49.0,19.0,24.0,4.1806451612903235,1.4129032258064518,2.9096774193548387
LAN201507290,bolsm001,2015-07-29,0,2.0,50.0,50.0,17.0,22.0,3.7594936708860764,1.2721518987341773,2.7632911392405064
SDN201509040,bolsm001,2015-09-04,0,1.0,52.0,50.0,17.0,20.0,3.417721518987342,1.3101265822784813,2.5164556962025317
ARI201509120,bolsm001,2015-09-12,0,3.0,51.0,48.0,17.0,21.0,3.7302631578947376,1.342105263157895,3.0815789473684214
LAN201509200,bolsm001,2015-09-20,0,3.0,52.0,42.0,17.0,22.0,3.9865771812080544,1.3892617449664433,3.320805369127517
COL201509250,bolsm001,2015-09-25,0,4.0,49.0,40.0,17.0,19.0,3.513698630136987,1.3561643835616441,3.6726027397260275
SFN201509300,bolsm001,2015-09-30,0,7.0,50.0,36.0,18.0,21.0,3.9375000000000004,1.416666666666667,4.720833333333333
ANA201605180,bolsm001,2016-05-18,0,8.0,51.0,39.0,20.0,24.0,4.563380281690141,1.5000000000000002,5.016901408450705
LAN201605240,bolsm001,2016-05-24,0,9.0,49.0,37.0,21.0,21.0,4.05,1.5,5.4714285714285715
CHN201606010,bolsm001,2016-06-01,0,10.0,48.0,37.0,21.0,21.0,4.079136690647482,1.4892086330935252,5.768345323741007
LAN201606060,bolsm001,2016-06-06,0,11.0,48.0,41.0,22.0,22.0,4.183098591549296,1.47887323943662,6.009859154929578
ARI201606130,bolsm001,2016-06-13,0,13.0,52.0,42.0,22.0,28.0,5.518248175182482,1.6204379562043796,6.637956204379563
LAN201606180,bolsm001,2016-06-18,0,15.0,49.0,44.0,19.0,29.0,5.757352941176471,1.5000000000000002,6.950000000000001
TOR201705090,bolsm001,2017-05-09,0,13.0,56.0,39.0,19.0,31.0,6.488372093023257,1.7441860465116281,6.78139534883721
TOR201705150,bolsm001,2017-05-15,0,13.0,52.0,42.0,20.0,30.0,6.000000000000001,1.6000000000000003,6.555555555555556
BAL201705200,bolsm001,2017-05-20,0,11.0,55.0,41.0,19.0,33.0,6.551470588235296,1.632352941176471,6.133823529411766
TOR201705260,bolsm001,2017-05-26,0,10.0,54.0,44.0,21.0,33.0,6.364285714285716,1.6071428571428574,5.771428571428572
TOR201705310,bolsm001,2017-05-31,0,9.0,56.0,39.0,23.0,32.0,6.000000000000002,1.645833333333334,5.762500000000001
