Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
LAN201608080,efliz001,2016-08-08,0,9.0,60.0,31.0,14.0,31.0,4.624309392265193,1.2265193370165746,4.8574585635359115
NYN201704180,efliz001,2017-04-18,0,9.0,58.0,29.0,13.0,30.0,4.45054945054945,1.1703296703296702,4.864835164835165
PHI201704230,efliz001,2017-04-23,0,9.0,57.0,30.0,16.0,29.0,4.35,1.2166666666666666,5.0
LAN201704290,efliz001,2017-04-29,0,10.0,55.0,32.0,16.0,30.0,4.426229508196721,1.1639344262295082,5.167213114754098
CHN201705040,efliz001,2017-05-04,0,11.0,53.0,33.0,16.0,29.0,4.209677419354839,1.1129032258064515,5.361290322580645
PHI201705100,efliz001,2017-05-10,0,10.0,56.0,28.0,16.0,31.0,4.65,1.2,5.433333333333334
TEX201705170,efliz001,2017-05-17,0,11.0,58.0,30.0,15.0,32.0,4.8,1.2166666666666666,5.583333333333334
PHI201705230,efliz001,2017-05-23,0,10.0,64.0,29.0,15.0,36.0,5.61849710982659,1.369942196531792,5.5410404624277465
PHI201705280,efliz001,2017-05-28,0,13.0,71.0,27.0,17.0,44.0,7.2439024390243905,1.6097560975609757,6.510975609756098
ATL201708080,efliz001,2017-08-08,0,16.0,71.0,29.0,14.0,45.0,7.408536585365854,1.5548780487804879,6.986585365853658
PHI201708130,efliz001,2017-08-13,0,15.0,72.0,28.0,12.0,41.0,6.511764705882353,1.4823529411764707,6.552941176470588
SFN201708180,efliz001,2017-08-18,0,14.0,72.0,33.0,10.0,38.0,5.796610169491525,1.3898305084745763,5.928813559322034
MIA201805010,efliz001,2018-05-01,0,16.0,76.0,31.0,9.0,43.0,6.559322033898305,1.4406779661016949,6.386440677966101
PHI201805070,efliz001,2018-05-07,0,16.0,76.0,32.0,9.0,43.0,6.672413793103448,1.4655172413793103,6.355172413793104
SLN201805190,efliz001,2018-05-19,0,14.0,76.0,37.0,12.0,41.0,6.398843930635838,1.5260115606936415,5.853179190751446
PHI201805250,efliz001,2018-05-25,0,14.0,70.0,40.0,15.0,40.0,6.506024096385542,1.536144578313253,5.965060240963855
LAN201805300,efliz001,2018-05-30,0,14.0,70.0,42.0,15.0,42.0,7.0,1.5740740740740742,5.9037037037037035
CHN201806050,efliz001,2018-06-05,0,16.0,66.0,46.0,14.0,40.0,6.625766871165644,1.4723926380368098,6.1079754601227
PHI201806100,efliz001,2018-06-10,0,13.0,64.0,44.0,13.0,33.0,5.303571428571429,1.375,5.342857142857143
MIL201806160,efliz001,2018-06-16,0,9.0,58.0,50.0,13.0,28.0,4.421052631578948,1.2456140350877194,4.287719298245614
WAS201806220,efliz001,2018-06-22,0,8.0,54.0,53.0,13.0,27.0,4.418181818181818,1.2181818181818183,3.981818181818182
PHI201806270,efliz001,2018-06-27,0,6.0,53.0,53.0,14.0,25.0,4.115853658536586,1.225609756097561,3.5658536585365854
PHI201807030,efliz001,2018-07-03,0,4.0,50.0,57.0,14.0,19.0,3.0176470588235293,1.1294117647058823,2.9529411764705884
NYN201807091,efliz001,2018-07-09,1,4.0,52.0,59.0,14.0,20.0,3.121387283236994,1.1445086705202312,2.8878612716763006
PHI201807230,efliz001,2018-07-23,0,5.0,53.0,54.0,11.0,23.0,3.6964285714285716,1.1428571428571428,3.1285714285714286
CIN201807290,efliz001,2018-07-29,0,8.0,55.0,51.0,11.0,24.0,4.0,1.2222222222222223,3.9592592592592597
PHI201808040,efliz001,2018-08-04,0,8.0,53.0,48.0,10.0,23.0,3.786585365853658,1.1524390243902438,4.004878048780488
SDN201808100,efliz001,2018-08-10,0,8.0,50.0,49.0,9.0,21.0,3.2215909090909087,1.0056818181818181,3.8647727272727272
PHI201808162,efliz001,2018-08-16,2,9.0,47.0,55.0,8.0,22.0,3.473684210526316,0.9649122807017544,3.849122807017544
WAS201808220,efliz001,2018-08-22,0,9.0,51.0,51.0,10.0,24.0,3.745664739884393,1.0578034682080923,3.9803468208092485
PHI201808270,efliz001,2018-08-27,0,9.0,58.0,47.0,10.0,27.0,4.3392857142857135,1.2142857142857142,4.146428571428571
PHI201809010,efliz001,2018-09-01,0,10.0,60.0,47.0,11.0,27.0,4.3136094674556205,1.2603550295857986,4.424852071005917
NYN201809080,efliz001,2018-09-08,0,10.0,63.0,45.0,10.0,30.0,4.969325153374232,1.3435582822085887,4.488343558282208
PHI201809140,efliz001,2018-09-14,0,10.0,62.0,44.0,12.0,34.0,6.079470198675495,1.4701986754966885,4.809271523178808
PHI201809190,efliz001,2018-09-19,0,10.0,62.0,44.0,13.0,32.0,5.574193548387096,1.4516129032258063,4.825806451612904
COL201809240,efliz001,2018-09-24,0,7.0,60.0,52.0,13.0,29.0,4.833333333333333,1.3518518518518516,3.7370370370370374
WAS201904020,efliz001,2019-04-02,0,6.0,58.0,51.0,16.0,27.0,4.733766233766233,1.4415584415584415,3.7259740259740264
PHI201904070,efliz001,2019-04-07,0,4.0,57.0,54.0,17.0,24.0,4.468965517241379,1.5310344827586206,3.1586206896551725
MIA201904130,efliz001,2019-04-13,0,4.0,58.0,51.0,17.0,23.0,4.195945945945946,1.5202702702702702,3.2810810810810813
COL201904180,efliz001,2019-04-18,0,7.0,61.0,50.0,14.0,25.0,4.821428571428571,1.607142857142857,3.9714285714285715
NYN201904230,efliz001,2019-04-23,0,8.0,58.0,50.0,16.0,23.0,4.195945945945946,1.5,4.314864864864865
PHI201904280,efliz001,2019-04-28,0,8.0,54.0,48.0,15.0,24.0,4.5,1.4375,4.366666666666667
PHI201905050,efliz001,2019-05-05,0,8.0,54.0,47.0,14.0,22.0,3.8076923076923075,1.3076923076923077,4.257692307692308
KCA201905110,efliz001,2019-05-11,0,8.0,54.0,47.0,14.0,17.0,2.732142857142857,1.2142857142857142,4.128571428571429
PHI201905160,efliz001,2019-05-16,0,7.0,53.0,50.0,13.0,16.0,2.454545454545454,1.125,3.8136363636363635
CHN201905210,efliz001,2019-05-21,0,8.0,57.0,48.0,12.0,20.0,3.068181818181818,1.1761363636363635,4.103409090909091
MIL201905260,efliz001,2019-05-26,0,8.0,58.0,47.0,13.0,19.0,2.758064516129032,1.1451612903225805,4.135483870967742
PHI201906070,efliz001,2019-06-07,0,10.0,61.0,42.0,13.0,22.0,3.2637362637362637,1.2197802197802197,4.7494505494505495
PHI201906120,efliz001,2019-06-12,0,10.0,59.0,43.0,15.0,22.0,3.3,1.2333333333333334,4.833333333333334
WAS201906191,efliz001,2019-06-19,1,7.0,54.0,48.0,15.0,18.0,2.53125,1.078125,3.965625
PHI201906240,efliz001,2019-06-24,0,6.0,52.0,53.0,13.0,18.0,2.53125,1.015625,3.5125
MIA201906290,efliz001,2019-06-29,0,8.0,59.0,54.0,13.0,21.0,2.9076923076923076,1.1076923076923078,3.9230769230769234
ATL201907040,efliz001,2019-07-04,0,9.0,60.0,54.0,14.0,23.0,3.338709677419355,1.1935483870967742,4.216129032258065
PHI201907150,efliz001,2019-07-15,0,10.0,63.0,52.0,14.0,28.0,4.344827586206897,1.3275862068965518,4.5793103448275865
PIT201907200,efliz001,2019-07-20,0,11.0,68.0,50.0,15.0,35.0,5.7272727272727275,1.509090909090909,4.909090909090909
