Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
HOU201406120,felds001,2014-06-12,0,5.0,60.0,27.0,14.0,25.0,4.115853658536585,1.3536585365853657,4.663414634146342
WAS201406180,felds001,2014-06-18,0,6.0,62.0,30.0,12.0,27.0,4.47239263803681,1.3619631901840492,4.63558282208589
HOU201406240,felds001,2014-06-24,0,6.0,65.0,34.0,13.0,28.0,4.815286624203822,1.4904458598726116,4.537579617834395
HOU201406290,felds001,2014-06-29,0,8.0,67.0,36.0,11.0,31.0,5.435064935064935,1.5194805194805197,4.758441558441559
ANA201407050,felds001,2014-07-05,0,9.0,65.0,38.0,11.0,29.0,5.084415584415585,1.4805194805194806,4.933766233766234
HOU201407110,felds001,2014-07-11,0,7.0,66.0,37.0,11.0,29.0,5.084415584415585,1.5000000000000002,4.466233766233767
CHA201407180,felds001,2014-07-18,0,6.0,67.0,37.0,12.0,30.0,5.225806451612903,1.5290322580645161,4.264516129032258
OAK201407240,felds001,2014-07-24,0,7.0,65.0,35.0,13.0,30.0,4.939024390243903,1.426829268292683,4.571951219512195
HOU201407290,felds001,2014-07-29,0,7.0,66.0,39.0,16.0,32.0,5.333333333333333,1.5185185185185186,4.551851851851852
HOU201408030,felds001,2014-08-03,0,6.0,60.0,37.0,19.0,24.0,3.8802395209580838,1.4191616766467066,4.403592814371258
HOU201408090,felds001,2014-08-09,0,6.0,67.0,37.0,19.0,25.0,3.5714285714285716,1.3650793650793653,4.215873015873016
BOS201408140,felds001,2014-08-14,0,6.0,71.0,37.0,20.0,25.0,3.5714285714285716,1.4444444444444444,4.215873015873016
NYA201408200,felds001,2014-08-20,0,6.0,74.0,33.0,19.0,27.0,3.836842105263158,1.468421052631579,4.2894736842105265
HOU201408250,felds001,2014-08-25,0,5.0,78.0,35.0,20.0,26.0,3.65625,1.53125,4.059375
HOU201408300,felds001,2014-08-30,0,5.0,78.0,36.0,20.0,27.0,3.7384615384615385,1.5076923076923077,4.015384615384615
OAK201409060,felds001,2014-09-06,0,5.0,75.0,36.0,21.0,25.0,3.3088235294117645,1.411764705882353,4.023529411764706
ANA201409130,felds001,2014-09-13,0,5.0,71.0,39.0,19.0,20.0,2.535211267605634,1.267605633802817,3.819718309859155
HOU201409180,felds001,2014-09-18,0,6.0,72.0,42.0,17.0,19.0,2.4545454545454546,1.277511961722488,3.845933014354067
TEX201409240,felds001,2014-09-24,0,6.0,67.0,40.0,14.0,15.0,1.866359447004608,1.119815668202765,3.752995391705069
HOU201504080,felds001,2015-04-08,0,5.0,66.0,45.0,14.0,15.0,1.8925233644859811,1.1214953271028036,3.480373831775701
HOU201504130,felds001,2015-04-13,0,6.0,63.0,48.0,12.0,15.0,1.9565217391304344,1.0869565217391302,3.5043478260869567
HOU201504190,felds001,2015-04-19,0,8.0,65.0,42.0,12.0,20.0,2.6732673267326725,1.1435643564356432,4.076237623762376
OAK201504250,felds001,2015-04-25,0,9.0,62.0,44.0,10.0,18.0,2.3823529411764697,1.0588235294117643,4.1117647058823525
HOU201504300,felds001,2015-04-30,0,8.0,59.0,43.0,10.0,19.0,2.5147058823529402,1.0147058823529407,3.9499999999999997
HOU201505050,felds001,2015-05-05,0,7.0,60.0,40.0,11.0,18.0,2.3823529411764697,1.0441176470588232,3.8911764705882352
ANA201505100,felds001,2015-05-10,0,8.0,66.0,37.0,11.0,24.0,3.4838709677419337,1.241935483870967,4.264516129032257
HOU201505160,felds001,2015-05-16,0,8.0,65.0,36.0,12.0,27.0,4.005494505494504,1.2692307692307687,4.37032967032967
DET201505210,felds001,2015-05-21,0,6.0,62.0,41.0,14.0,28.0,4.086486486486486,1.232432432432432,3.864864864864865
BAL201505260,felds001,2015-05-26,0,7.0,68.0,41.0,14.0,32.0,4.826815642458099,1.3743016759776532,4.105027932960894
HOU201507180,felds001,2015-07-18,0,7.0,68.0,37.0,14.0,32.0,4.826815642458099,1.3743016759776532,4.188826815642458
KCA201507250,felds001,2015-07-25,0,8.0,72.0,34.0,16.0,35.0,5.36931818181818,1.4999999999999996,4.631818181818182
HOU201507310,felds001,2015-07-31,0,5.0,66.0,36.0,15.0,29.0,4.2324324324324305,1.313513513513513,3.8162162162162163
OAK201508060,felds001,2015-08-06,0,4.0,67.0,36.0,15.0,29.0,4.278688524590162,1.3442622950819665,3.6098360655737705
SFN201508120,felds001,2015-08-12,0,6.0,67.0,33.0,15.0,28.0,4.176795580110496,1.359116022099447,4.144751381215469
HOU201508180,felds001,2015-08-18,0,6.0,63.0,35.0,14.0,26.0,3.9438202247190994,1.2977528089887636,4.0426966292134825
NYA201508240,felds001,2015-08-24,0,6.0,63.0,35.0,15.0,22.0,3.126315789473683,1.2315789473684207,4.036842105263158
HOU201509010,felds001,2015-09-01,0,6.0,63.0,36.0,14.0,19.0,2.658031088082901,1.1968911917098441,3.946113989637306
MIL201604080,felds001,2016-04-08,0,7.0,61.0,28.0,16.0,18.0,2.685082872928176,1.2762430939226515,4.575690607734806
HOU201604130,felds001,2016-04-13,0,8.0,56.0,31.0,18.0,18.0,2.777142857142856,1.268571428571428,4.845714285714285
TEX201604190,felds001,2016-04-19,0,8.0,59.0,33.0,15.0,17.0,2.6079545454545445,1.261363636363636,4.614772727272727
HOU201604240,felds001,2016-04-24,0,7.0,56.0,32.0,16.0,16.0,2.4827586206896544,1.2413793103448272,4.493103448275862
ANA201606280,felds001,2016-06-28,0,7.0,60.0,33.0,19.0,18.0,2.9634146341463405,1.4451219512195117,4.699999999999999
CIN201704030,felds001,2017-04-03,0,7.0,56.0,32.0,19.0,16.0,2.650306748466257,1.3803680981595088,4.7460122699386496
SLN201704090,felds001,2017-04-09,0,7.0,58.0,35.0,19.0,17.0,2.886792452830188,1.452830188679245,4.6716981132075475
CIN201704140,felds001,2017-04-14,0,7.0,58.0,37.0,19.0,17.0,2.886792452830188,1.452830188679245,4.596226415094339
CIN201704200,felds001,2017-04-20,0,6.0,53.0,38.0,22.0,17.0,3.0197368421052624,1.4802631578947365,4.542105263157895
MIL201704250,felds001,2017-04-25,0,7.0,51.0,36.0,22.0,18.0,3.261744966442952,1.4697986577181203,4.911409395973154
CIN201705020,felds001,2017-05-02,0,6.0,53.0,39.0,21.0,20.0,3.461538461538461,1.4230769230769227,4.411538461538461
CIN201705070,felds001,2017-05-07,0,5.0,54.0,37.0,19.0,23.0,3.9807692307692295,1.4038461538461535,4.123076923076923
SFN201705120,felds001,2017-05-12,0,5.0,51.0,38.0,20.0,23.0,3.7865853658536572,1.2987804878048776,4.151219512195122
CHN201705170,felds001,2017-05-17,0,5.0,52.0,39.0,18.0,22.0,3.494117647058822,1.2352941176470584,3.976470588235294
CIN201705220,felds001,2017-05-22,0,5.0,49.0,40.0,18.0,24.0,3.9272727272727264,1.2181818181818178,4.0181818181818185
PHI201705280,felds001,2017-05-28,0,6.0,50.0,47.0,20.0,25.0,4.0178571428571415,1.2499999999999998,4.0928571428571425
CIN201706030,felds001,2017-06-03,0,5.0,51.0,45.0,18.0,26.0,4.153846153846152,1.2248520710059168,3.8745562130177515
CIN201706080,felds001,2017-06-08,0,6.0,54.0,40.0,20.0,29.0,4.774390243902437,1.3536585365853653,4.535365853658536
SDN201706130,felds001,2017-06-13,0,6.0,54.0,41.0,15.0,27.0,4.288235294117645,1.2176470588235289,4.188235294117646
TBA201706190,felds001,2017-06-19,0,6.0,58.0,43.0,17.0,30.0,4.9390243902439,1.3719512195121946,4.260975609756097
