Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
CIN201605070,finnb001,2016-05-07,0,10.0,47.0,47.0,25.0,24.0,3.9272727272727272,1.309090909090909,5.327272727272728
PHI201605130,finnb001,2016-05-13,0,12.0,51.0,44.0,23.0,26.0,4.254545454545455,1.3454545454545455,5.800000000000001
CIN201605180,finnb001,2016-05-18,0,9.0,48.0,41.0,27.0,23.0,3.8333333333333335,1.3888888888888888,5.459259259259259
LAN201605230,finnb001,2016-05-23,0,9.0,48.0,44.0,25.0,23.0,3.786585365853658,1.3353658536585364,5.21219512195122
MIL201605290,finnb001,2016-05-29,0,9.0,50.0,40.0,27.0,23.0,3.674556213017751,1.3668639053254437,5.401183431952663
CIN201606030,finnb001,2016-06-03,0,8.0,53.0,35.0,30.0,25.0,3.9705882352941173,1.464705882352941,5.4941176470588236
CIN201606090,finnb001,2016-06-09,0,9.0,57.0,32.0,28.0,26.0,4.153846153846154,1.5088757396449706,5.738461538461539
ATL201606140,finnb001,2016-06-14,0,8.0,58.0,37.0,25.0,28.0,4.32,1.422857142857143,5.102857142857143
HOU201606190,finnb001,2016-06-19,0,6.0,55.0,40.0,26.0,24.0,3.5801104972375692,1.3425414364640884,4.608839779005525
CIN201606250,finnb001,2016-06-25,0,6.0,55.0,36.0,26.0,25.0,3.8352272727272725,1.3806818181818181,4.785227272727273
WAS201606300,finnb001,2016-06-30,0,7.0,54.0,40.0,26.0,25.0,3.7921348314606735,1.3483146067415728,4.801123595505618
CHN201607050,finnb001,2016-07-05,0,6.0,52.0,41.0,31.0,30.0,4.76470588235294,1.4647058823529409,4.876470588235294
CIN201607180,finnb001,2016-07-18,0,10.0,53.0,41.0,30.0,32.0,4.99421965317919,1.4393063583815027,5.697109826589595
CIN201607240,finnb001,2016-07-24,0,10.0,52.0,40.0,31.0,31.0,4.894736842105262,1.4561403508771926,5.814035087719297
SDN201607290,finnb001,2016-07-29,0,13.0,54.0,41.0,29.0,36.0,5.963190184049079,1.52760736196319,6.512883435582822
CIN201608040,finnb001,2016-08-04,0,13.0,52.0,42.0,28.0,32.0,5.36645962732919,1.490683229813664,6.46086956521739
SLN201608090,finnb001,2016-08-09,0,12.0,49.0,44.0,25.0,31.0,5.2312499999999975,1.3874999999999993,5.993749999999999
CIN201608150,finnb001,2016-08-15,0,14.0,50.0,42.0,29.0,32.0,5.503184713375794,1.5095541401273878,6.849681528662419
CIN201608200,finnb001,2016-08-20,0,16.0,53.0,40.0,29.0,35.0,6.096774193548384,1.5870967741935476,7.419354838709675
ARI201608260,finnb001,2016-08-26,0,15.0,49.0,47.0,28.0,31.0,5.166666666666664,1.4259259259259252,6.625925925925925
ANA201608310,finnb001,2016-08-31,0,15.0,47.0,51.0,27.0,30.0,5.062499999999997,1.3874999999999993,6.462499999999999
CIN201609060,finnb001,2016-09-06,0,13.0,47.0,58.0,22.0,24.0,3.7241379310344813,1.1896551724137927,5.251724137931034
PIT201609110,finnb001,2016-09-11,0,11.0,45.0,60.0,21.0,21.0,3.2586206896551713,1.1379310344827582,4.682758620689655
CIN201609172,finnb001,2016-09-17,2,10.0,43.0,62.0,25.0,19.0,2.9482758620689644,1.172413793103448,4.596551724137931
MIL201609250,finnb001,2016-09-25,0,7.0,43.0,60.0,26.0,15.0,2.439759036144577,1.2469879518072284,4.085542168674698
CIN201704050,finnb001,2017-04-05,0,7.0,42.0,59.0,23.0,15.0,2.4695121951219505,1.189024390243902,3.9682926829268292
PIT201704100,finnb001,2017-04-10,0,7.0,41.0,64.0,24.0,15.0,2.4251497005988014,1.1676646706586822,3.8287425149700596
CIN201704150,finnb001,2017-04-15,0,5.0,39.0,63.0,24.0,13.0,2.2645161290322573,1.2193548387096769,3.412903225806452
SLN201706260,finnb001,2017-06-26,0,3.0,33.0,61.0,24.0,11.0,2.091549295774647,1.2042253521126756,2.967605633802817
CIN201804140,finnb001,2018-04-14,0,4.0,35.0,55.0,26.0,14.0,2.930232558139534,1.4186046511627903,3.6651162790697676
SLN201804200,finnb001,2018-04-20,0,5.0,38.0,47.0,28.0,17.0,3.701612903225805,1.5967741935483866,4.530645161290322
CIN201804250,finnb001,2018-04-25,0,5.0,38.0,40.0,31.0,19.0,4.580357142857141,1.848214285714285,5.289285714285714
CIN201804300,finnb001,2018-04-30,0,4.0,42.0,38.0,29.0,19.0,4.580357142857141,1.9017857142857135,4.887499999999999
CIN201805060,finnb001,2018-05-06,0,6.0,42.0,33.0,27.0,22.0,5.303571428571426,1.848214285714285,5.691071428571428
