Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
TOR201908100,fontw001,2019-08-10,0,4.0,26.0,31.0,14.0,11.0,2.7757009345794392,1.1214953271028039,4.181308411214953
TOR201908130,fontw001,2019-08-13,0,4.0,24.0,29.0,13.0,10.0,2.5471698113207553,1.0471698113207548,4.218867924528302
TOR201908180,fontw001,2019-08-18,0,4.0,23.0,30.0,12.0,10.0,2.647058823529412,1.0294117647058825,4.111764705882353
LAN201908210,fontw001,2019-08-21,0,4.0,22.0,28.0,11.0,10.0,2.872340425531916,1.0531914893617025,4.221276595744682
SEA201908240,fontw001,2019-08-24,0,4.0,20.0,28.0,11.0,10.0,3.2530120481927716,1.1204819277108435,4.356626506024097
TOR201908270,fontw001,2019-08-27,0,4.0,21.0,26.0,10.0,12.0,4.563380281690142,1.3098591549295777,4.594366197183099
TOR201909010,fontw001,2019-09-01,0,3.0,19.0,29.0,10.0,10.0,4.153846153846155,1.3384615384615388,3.8461538461538467
ATL201909030,fontw001,2019-09-03,0,2.0,14.0,30.0,9.0,5.0,2.1093750000000004,1.0781250000000002,3.0125
TOR201909110,fontw001,2019-09-11,0,1.0,15.0,28.0,5.0,5.0,2.454545454545455,1.0909090909090913,1.8363636363636362
TOR201909150,fontw001,2019-09-15,0,1.0,15.0,28.0,5.0,5.0,2.454545454545455,1.0909090909090913,1.8363636363636362
BAL201909190,fontw001,2019-09-19,0,2.0,15.0,24.0,5.0,6.0,3.176470588235295,1.1764705882352944,2.788235294117647
NYA201909220,fontw001,2019-09-22,0,2.0,16.0,23.0,6.0,6.0,3.176470588235295,1.2941176470588238,3.0823529411764707
