Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
ARI201705120,glast001,2017-05-12,0,5.0,48.0,44.0,29.0,25.0,5.1923076923076925,1.776923076923077,5.023076923076923
PIT201705180,glast001,2017-05-18,0,6.0,52.0,42.0,29.0,30.0,6.694214876033058,2.0082644628099175,5.580165289256199
ATL201705230,glast001,2017-05-23,0,7.0,51.0,46.0,29.0,31.0,6.590551181102363,1.8897637795275593,5.444094488188977
PIT201705280,glast001,2017-05-28,0,8.0,53.0,45.0,29.0,30.0,6.0,1.8222222222222222,5.644444444444445
NYN201706030,glast001,2017-06-03,0,7.0,60.0,44.0,25.0,34.0,6.8,1.8888888888888888,5.066666666666666
PIT201706090,glast001,2017-06-09,0,10.0,61.0,48.0,23.0,33.0,6.1875,1.75,5.470833333333333
MIL201709130,glast001,2017-09-13,0,11.0,65.0,42.0,21.0,35.0,6.702127659574468,1.8297872340425532,5.859574468085107
TBA201808010,glast001,2018-08-01,0,12.0,62.0,40.0,24.0,39.0,7.8,1.9111111111111112,6.555555555555555
TBA201808070,glast001,2018-08-07,0,13.0,58.0,41.0,21.0,38.0,7.656716417910448,1.7686567164179106,6.558208955223881
TOR201808120,glast001,2018-08-12,0,13.0,56.0,45.0,17.0,36.0,7.59375,1.7109375,6.246875
BOS201808180,glast001,2018-08-18,0,12.0,52.0,45.0,17.0,33.0,7.185483870967743,1.6693548387096777,6.030645161290323
TBA201808230,glast001,2018-08-23,0,11.0,48.0,46.0,18.0,30.0,5.912408759124088,1.4452554744525548,5.499270072992701
CLE201808310,glast001,2018-08-31,0,10.0,50.0,48.0,17.0,31.0,6.109489051094891,1.467153284671533,5.061313868613139
TOR201809050,glast001,2018-09-05,0,10.0,43.0,50.0,17.0,30.0,5.74468085106383,1.2765957446808511,4.987234042553192
TBA201809110,glast001,2018-09-11,0,11.0,40.0,49.0,19.0,31.0,6.488372093023256,1.372093023255814,5.641860465116279
TEX201809170,glast001,2018-09-17,0,10.0,41.0,47.0,16.0,29.0,5.75735294117647,1.2573529411764706,5.1191176470588236
TOR201809220,glast001,2018-09-22,0,8.0,33.0,52.0,18.0,23.0,4.373239436619718,1.0774647887323943,4.467605633802817
TBA201809280,glast001,2018-09-28,0,8.0,35.0,55.0,15.0,21.0,3.7302631578947363,0.9868421052631579,4.088157894736842
TBA201903300,glast001,2019-03-30,0,9.0,40.0,59.0,17.0,22.0,3.735849056603773,1.0754716981132073,4.313207547169811
SFN201904050,glast001,2019-04-05,0,9.0,44.0,54.0,18.0,22.0,3.666666666666666,1.148148148148148,4.533333333333333
CHA201904100,glast001,2019-04-10,0,9.0,45.0,54.0,17.0,22.0,3.5999999999999996,1.1272727272727272,4.454545454545455
TBA201904160,glast001,2019-04-16,0,8.0,44.0,61.0,15.0,18.0,2.9815950920245395,1.085889570552147,3.8625766871165643
TBA201904210,glast001,2019-04-21,0,8.0,46.0,56.0,13.0,17.0,2.715976331360946,1.0473372781065087,3.9100591715976334
BOS201904280,glast001,2019-04-28,0,8.0,47.0,55.0,15.0,17.0,2.7987804878048776,1.1341463414634143,4.023170731707317
BAL201905030,glast001,2019-05-03,0,8.0,48.0,62.0,14.0,13.0,1.9392265193370162,1.027624309392265,3.6640883977900556
TBA201905100,glast001,2019-05-10,0,6.0,45.0,67.0,14.0,11.0,1.6408839779005522,0.9779005524861877,3.067403314917127
TBA201909080,glast001,2019-09-08,0,6.0,48.0,70.0,14.0,12.0,1.8100558659217876,1.0391061452513966,2.915083798882682
ANA201909140,glast001,2019-09-14,0,6.0,43.0,69.0,14.0,11.0,1.778443113772455,1.0239520958083832,2.930538922155689
TBA201909210,glast001,2019-09-21,0,4.0,38.0,65.0,12.0,9.0,1.5187499999999998,0.9375,2.4125
TOR201909270,glast001,2019-09-27,0,3.0,34.0,68.0,11.0,8.0,1.4025974025974026,0.8766233766233766,1.9532467532467535
TBA202007270,glast001,2020-07-27,0,3.0,31.0,66.0,12.0,8.0,1.4496644295302012,0.8657718120805369,2.052348993288591
BAL202008010,glast001,2020-08-01,0,4.0,30.0,64.0,13.0,9.0,1.6993006993006992,0.902097902097902,2.423776223776224
TBA202008081,glast001,2020-08-08,1,5.0,26.0,66.0,16.0,9.0,1.7867647058823528,0.926470588235294,2.780882352941177
BOS202008130,glast001,2020-08-13,0,5.0,28.0,66.0,16.0,12.0,2.53125,1.03125,2.7546875
NYA202008190,glast001,2020-08-19,0,4.0,30.0,65.0,17.0,15.0,3.375,1.175,2.5250000000000004
TBA202008250,glast001,2020-08-25,0,5.0,29.0,65.0,20.0,17.0,3.9568965517241375,1.2672413793103448,3.070689655172414
NYA202008310,glast001,2020-08-31,0,6.0,29.0,69.0,19.0,18.0,4.016528925619834,1.1900826446280992,3.125619834710744
TBA202009060,glast001,2020-09-06,0,5.0,30.0,73.0,18.0,16.0,3.2481203007518795,1.0827067669172932,2.590977443609023
TBA202009120,glast001,2020-09-12,0,6.0,32.0,77.0,20.0,19.0,3.6642857142857137,1.114285714285714,2.857142857142857
BAL202009180,glast001,2020-09-18,0,8.0,36.0,77.0,21.0,23.0,4.0855263157894735,1.125,3.4565789473684214
NYN202009230,glast001,2020-09-23,0,9.0,40.0,83.0,21.0,24.0,4.207792207792208,1.1883116883116882,3.4727272727272727
