Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
NYA201409070,grees005,2014-09-07,0,7.0,59.0,56.0,17.0,22.0,3.433526011560694,1.3179190751445087,4.0323699421965316
BAL201409130,grees005,2014-09-13,0,6.0,60.0,58.0,20.0,20.0,3.1764705882352944,1.411764705882353,3.8529411764705883
NYA201409180,grees005,2014-09-18,0,7.0,63.0,58.0,19.0,22.0,3.621951219512195,1.4999999999999998,4.059756097560975
NYA201409240,grees005,2014-09-24,0,7.0,61.0,59.0,20.0,20.0,3.2335329341317363,1.4550898203592812,4.008383233532935
DET201504090,grees005,2015-04-09,0,6.0,60.0,62.0,21.0,23.0,3.8333333333333335,1.5,3.7370370370370374
PIT201504140,grees005,2015-04-14,0,5.0,58.0,62.0,20.0,20.0,3.13953488372093,1.3604651162790697,3.4267441860465118
DET201504190,grees005,2015-04-19,0,5.0,56.0,60.0,17.0,20.0,3.1395348837209296,1.2732558139534882,3.33953488372093
DET201504240,grees005,2015-04-24,0,5.0,54.0,53.0,20.0,20.0,3.0857142857142854,1.2685714285714285,3.68
MIN201504290,grees005,2015-04-29,0,4.0,54.0,47.0,20.0,23.0,3.610465116279069,1.2906976744186045,3.6186046511627907
CHA201505050,grees005,2015-05-05,0,5.0,58.0,47.0,19.0,28.0,4.609756097560974,1.4085365853658534,3.8219512195121954
DET201505100,grees005,2015-05-10,0,3.0,57.0,45.0,20.0,27.0,4.4451219512195115,1.4085365853658534,3.419512195121951
SLN201505150,grees005,2015-05-15,0,3.0,56.0,44.0,17.0,28.0,4.369942196531791,1.2658959537572252,3.286705202312139
DET201505200,grees005,2015-05-20,0,2.0,54.0,39.0,17.0,26.0,4.081395348837209,1.2383720930232556,3.33953488372093
OAK201505250,grees005,2015-05-25,0,3.0,54.0,39.0,17.0,27.0,4.2631578947368425,1.2456140350877194,3.6210526315789475
ANA201505300,grees005,2015-05-30,0,3.0,55.0,38.0,14.0,25.0,3.813559322033898,1.1694915254237286,3.4881355932203393
DET201506040,grees005,2015-06-04,0,8.0,57.0,34.0,14.0,32.0,5.468354430379747,1.3481012658227847,4.90886075949367
DET201506100,grees005,2015-06-10,0,8.0,62.0,33.0,15.0,36.0,6.612244897959183,1.5714285714285712,5.1387755102040815
MIN201507120,grees005,2015-07-12,0,9.0,64.0,33.0,12.0,40.0,8.059701492537313,1.7014925373134326,5.483582089552239
DET201507210,grees005,2015-07-21,0,11.0,62.0,34.0,13.0,41.0,8.13970588235294,1.6544117647058822,6.045588235294117
BOS201507260,grees005,2015-07-26,0,10.0,59.0,27.0,14.0,39.0,7.686131386861314,1.5985401459854016,6.112408759124088
PIT201604130,grees005,2016-04-13,0,11.0,65.0,27.0,11.0,39.0,7.415492957746478,1.6056338028169013,6.094366197183099
KCA201604190,grees005,2016-04-19,0,11.0,64.0,31.0,14.0,40.0,7.941176470588235,1.7205882352941175,6.2441176470588236
DET201604240,grees005,2016-04-24,0,11.0,65.0,29.0,17.0,45.0,9.067164179104477,1.8358208955223878,6.513432835820895
