Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
KCA201405270,guthj001,2014-05-27,0,12.0,64.0,29.0,14.0,30.0,4.132653061224489,1.193877551020408,5.572448979591837
TOR201406010,guthj001,2014-06-01,0,12.0,64.0,31.0,13.0,29.0,3.9746192893401013,1.1725888324873095,5.453807106598985
KCA201406060,guthj001,2014-06-06,0,12.0,68.0,32.0,14.0,30.0,4.111675126903553,1.248730964467005,5.423350253807106
CHA201406130,guthj001,2014-06-13,0,10.0,68.0,30.0,13.0,30.0,4.05,1.2149999999999999,5.015000000000001
DET201406180,guthj001,2014-06-18,0,8.0,64.0,36.0,17.0,28.0,3.8181818181818175,1.227272727272727,4.684848484848485
KCA201406230,guthj001,2014-06-23,0,9.0,62.0,42.0,17.0,27.0,3.681818181818181,1.1969696969696968,4.7
KCA201406290,guthj001,2014-06-29,0,7.0,61.0,43.0,15.0,25.0,3.3251231527093585,1.1231527093596056,4.160591133004926
CLE201407050,guthj001,2014-07-05,0,8.0,66.0,45.0,16.0,27.0,3.6633165829145717,1.2361809045226126,4.3608040201005025
KCA201407100,guthj001,2014-07-10,0,6.0,69.0,48.0,18.0,25.0,3.4263959390862935,1.3248730964467001,3.930964467005076
CHA201407210,guthj001,2014-07-21,0,6.0,69.0,48.0,20.0,28.0,4.086486486486486,1.4432432432432427,4.172972972972973
KCA201407260,guthj001,2014-07-26,0,6.0,71.0,51.0,21.0,30.0,4.450549450549449,1.516483516483516,4.189010989010989
OAK201408010,guthj001,2014-08-01,0,7.0,74.0,50.0,20.0,34.0,5.071823204419887,1.5580110497237563,4.343646408839779
ARI201408070,guthj001,2014-08-07,0,6.0,69.0,51.0,20.0,32.0,4.853932584269661,1.4999999999999993,4.110112359550562
KCA201408120,guthj001,2014-08-12,0,6.0,70.0,53.0,19.0,30.0,4.402173913043477,1.4510869565217386,3.917391304347826
MIN201408170,guthj001,2014-08-17,0,6.0,75.0,48.0,15.0,32.0,4.773480662983424,1.49171270718232,3.8464088397790057
TEX201408230,guthj001,2014-08-23,0,7.0,76.0,46.0,16.0,35.0,5.192307692307691,1.516483516483516,4.221978021978022
KCA201408280,guthj001,2014-08-28,0,8.0,74.0,43.0,17.0,34.0,5.043956043956042,1.4999999999999996,4.584615384615384
KCA201409020,guthj001,2014-09-02,0,6.0,74.0,44.0,17.0,36.0,5.399999999999999,1.5166666666666664,4.133333333333333
DET201409080,guthj001,2014-09-08,0,5.0,71.0,40.0,15.0,32.0,4.57142857142857,1.3650793650793647,3.914285714285714
KCA201409130,guthj001,2014-09-13,0,4.0,73.0,39.0,13.0,31.0,4.524324324324323,1.3945945945945941,3.556756756756757
KCA201409210,guthj001,2014-09-21,0,4.0,71.0,36.0,11.0,28.0,3.958115183246072,1.2879581151832458,3.45130890052356
CHA201409260,guthj001,2014-09-26,0,4.0,66.0,34.0,11.0,24.0,3.410526315789473,1.2157894736842103,3.5631578947368423
ANA201504110,guthj001,2015-04-11,0,4.0,67.0,34.0,10.0,24.0,3.357512953367875,1.1968911917098444,3.510880829015544
KCA201504170,guthj001,2015-04-17,0,5.0,66.0,32.0,11.0,26.0,3.7540106951871652,1.2352941176470587,3.841711229946524
KCA201504220,guthj001,2015-04-22,0,8.0,62.0,30.0,11.0,26.0,3.675392670157067,1.1465968586387432,4.503664921465969
CLE201504280,guthj001,2015-04-28,0,6.0,63.0,26.0,15.0,25.0,3.6486486486486474,1.2648648648648644,4.448648648648648
KCA201505030,guthj001,2015-05-03,0,5.0,64.0,27.0,17.0,26.0,3.9661016949152534,1.372881355932203,4.352542372881356
DET201505090,guthj001,2015-05-09,0,6.0,66.0,23.0,15.0,27.0,4.118644067796609,1.372881355932203,4.606779661016949
TEX201505140,guthj001,2015-05-14,0,6.0,66.0,25.0,16.0,28.0,4.247191011235954,1.3820224719101122,4.582022471910112
KCA201505200,guthj001,2015-05-20,0,6.0,62.0,25.0,15.0,24.0,3.502702702702702,1.2486486486486483,4.578378378378378
NYA201505250,guthj001,2015-05-25,0,6.0,64.0,26.0,16.0,24.0,3.6201117318435743,1.3407821229050274,4.641340782122905
KCA201506020,guthj001,2015-06-02,0,9.0,68.0,25.0,17.0,34.0,5.530120481927709,1.5361445783132526,5.549397590361446
KCA201506070,guthj001,2015-06-07,0,10.0,66.0,20.0,17.0,35.0,5.833333333333332,1.5370370370370365,6.033333333333333
SLN201506130,guthj001,2015-06-13,0,9.0,63.0,23.0,18.0,31.0,5.231249999999999,1.5187499999999998,5.76875
KCA201506180,guthj001,2015-06-18,0,7.0,66.0,25.0,18.0,30.0,5.159235668789808,1.6050955414012735,5.244585987261146
SEA201506230,guthj001,2015-06-23,0,7.0,67.0,26.0,12.0,29.0,4.893749999999999,1.4812499999999997,4.775
OAK201506280,guthj001,2015-06-28,0,8.0,70.0,26.0,11.0,33.0,5.568749999999999,1.5187499999999998,4.9625
KCA201507030,guthj001,2015-07-03,0,7.0,66.0,32.0,12.0,29.0,4.893749999999999,1.4624999999999997,4.55
KCA201507080,guthj001,2015-07-08,0,7.0,63.0,33.0,12.0,29.0,4.893749999999999,1.4062499999999998,4.5125
CHA201507180,guthj001,2015-07-18,0,8.0,65.0,35.0,16.0,29.0,4.803680981595091,1.4907975460122698,4.76441717791411
KCA201507240,guthj001,2015-07-24,0,8.0,69.0,35.0,15.0,32.0,5.3999999999999995,1.5749999999999997,4.79375
CLE201507290,guthj001,2015-07-29,0,5.0,71.0,37.0,14.0,25.0,3.7921348314606735,1.4325842696629212,3.806741573033708
KCA201508080,guthj001,2015-08-08,0,7.0,79.0,39.0,14.0,31.0,4.728813559322034,1.576271186440678,4.335593220338984
KCA201508130,guthj001,2015-08-13,0,9.0,86.0,35.0,13.0,35.0,5.3999999999999995,1.6971428571428568,4.88
CIN201508190,guthj001,2015-08-19,0,8.0,78.0,33.0,16.0,33.0,5.005617977528089,1.584269662921348,4.8516853932584265
KCA201509220,guthj001,2015-09-22,0,10.0,78.0,33.0,19.0,34.0,5.306358381502889,1.6820809248554909,5.50635838150289
PHI201704080,guthj001,2017-04-08,0,13.0,78.0,32.0,17.0,36.0,5.89090909090909,1.7272727272727268,6.254545454545454
