Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
SEA201406250,iwakh001,2014-06-25,0,9.0,65.0,52.0,6.0,20.0,2.5471698113207544,1.0047169811320753,3.638679245283019
HOU201407010,iwakh001,2014-07-01,0,9.0,67.0,52.0,6.0,21.0,2.7794117647058822,1.0735294117647058,3.655882352941177
SEA201407070,iwakh001,2014-07-07,0,9.0,70.0,52.0,6.0,22.0,3.0,1.1515151515151516,3.66969696969697
SEA201407120,iwakh001,2014-07-12,0,9.0,70.0,57.0,6.0,22.0,3.046153846153846,1.1692307692307693,3.5230769230769234
ANA201407180,iwakh001,2014-07-18,0,9.0,69.0,62.0,5.0,22.0,3.015228426395939,1.1269035532994922,3.321827411167513
SEA201407240,iwakh001,2014-07-24,0,7.0,66.0,59.0,5.0,20.0,2.7411167512690353,1.0812182741116751,3.017258883248731
CLE201407290,iwakh001,2014-07-29,0,6.0,65.0,59.0,4.0,19.0,2.5522388059701493,1.0298507462686568,2.7820895522388063
BAL201408030,iwakh001,2014-08-03,0,6.0,65.0,58.0,5.0,21.0,2.8208955223880596,1.044776119402985,2.856716417910448
SEA201408080,iwakh001,2014-08-08,0,7.0,63.0,60.0,5.0,20.0,2.673267326732673,1.0099009900990097,2.992079207920792
SEA201408130,iwakh001,2014-08-13,0,7.0,62.0,57.0,5.0,20.0,2.7135678391959797,1.0100502512562812,3.079396984924623
PHI201408190,iwakh001,2014-08-19,0,5.0,58.0,57.0,5.0,17.0,2.2499999999999996,0.9264705882352939,2.7
BOS201408240,iwakh001,2014-08-24,0,4.0,54.0,65.0,4.0,13.0,1.6249999999999998,0.8055555555555554,2.2833333333333337
SEA201408310,iwakh001,2014-08-31,0,4.0,53.0,59.0,5.0,17.0,2.239024390243902,0.8487804878048779,2.541463414634147
TEX201409050,iwakh001,2014-09-05,0,7.0,54.0,55.0,5.0,20.0,2.673267326732673,0.8762376237623761,3.22970297029703
SEA201409100,iwakh001,2014-09-10,0,6.0,56.0,52.0,6.0,20.0,2.8125,0.96875,3.16875
ANA201409150,iwakh001,2014-09-15,0,6.0,56.0,55.0,8.0,22.0,3.2282608695652177,1.0434782608695652,3.1673913043478263
HOU201409210,iwakh001,2014-09-21,0,6.0,55.0,54.0,10.0,23.0,3.589595375722544,1.1271676300578037,3.3040462427745667
SEA201409260,iwakh001,2014-09-26,0,6.0,55.0,56.0,11.0,25.0,4.090909090909092,1.2000000000000002,3.290909090909091
SEA201504080,iwakh001,2015-04-08,0,7.0,54.0,53.0,9.0,26.0,4.360248447204969,1.173913043478261,3.5354037267080747
LAN201504140,iwakh001,2015-04-14,0,7.0,58.0,53.0,9.0,29.0,4.955696202531646,1.2721518987341773,3.5417721518987344
SEA201504200,iwakh001,2015-04-20,0,9.0,59.0,53.0,11.0,33.0,5.823529411764707,1.3725490196078436,4.180392156862745
SEA201507060,iwakh001,2015-07-06,0,11.0,60.0,45.0,11.0,36.0,6.703448275862071,1.4689655172413796,5.103448275862069
SEA201507110,iwakh001,2015-07-11,0,15.0,62.0,47.0,10.0,35.0,6.176470588235296,1.4117647058823533,5.768627450980393
