Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
PHI201405310,kendk001,2014-05-31,0,8.0,64.0,37.0,18.0,26.0,3.774193548387096,1.32258064516129,4.651612903225806
WAS201406050,kendk001,2014-06-05,0,9.0,67.0,38.0,18.0,29.0,4.278688524590163,1.3934426229508194,4.855737704918033
PHI201406120,kendk001,2014-06-12,0,8.0,64.0,37.0,22.0,29.0,4.142857142857142,1.3650793650793647,4.866666666666666
ATL201406170,kendk001,2014-06-17,0,7.0,65.0,35.0,19.0,28.0,3.999999999999999,1.333333333333333,4.580952380952381
SLN201406220,kendk001,2014-06-22,0,6.0,65.0,38.0,20.0,27.0,3.8571428571428563,1.3492063492063489,4.326984126984127
PHI201406270,kendk001,2014-06-27,0,5.0,63.0,38.0,20.0,30.0,4.263157894736842,1.3105263157894735,4.11578947368421
MIA201407030,kendk001,2014-07-03,0,5.0,65.0,42.0,19.0,31.0,4.314432989690721,1.2989690721649483,3.9268041237113405
MIL201407080,kendk001,2014-07-08,0,4.0,67.0,42.0,18.0,30.0,4.09090909090909,1.2878787878787876,3.6242424242424245
PHI201407130,kendk001,2014-07-13,0,6.0,74.0,39.0,19.0,34.0,4.731958762886596,1.4381443298969068,4.174226804123712
ATL201407200,kendk001,2014-07-20,0,7.0,72.0,41.0,17.0,33.0,4.592783505154638,1.376288659793814,4.2670103092783505
PHI201407250,kendk001,2014-07-25,0,8.0,71.0,40.0,15.0,39.0,5.57142857142857,1.3650793650793647,4.533333333333333
NYN201407300,kendk001,2014-07-30,0,7.0,69.0,40.0,15.0,35.0,5.02659574468085,1.3404255319148932,4.3808510638297875
PHI201408050,kendk001,2014-08-05,0,7.0,70.0,42.0,11.0,35.0,5.108108108108106,1.3135135135135132,4.091891891891892
PHI201408100,kendk001,2014-08-10,0,7.0,68.0,40.0,12.0,35.0,5.053475935828875,1.2834224598930477,4.194652406417112
SFN201408160,kendk001,2014-08-16,0,9.0,72.0,35.0,14.0,38.0,5.668508287292815,1.4254143646408834,4.923756906077347
PHI201408220,kendk001,2014-08-22,0,10.0,69.0,34.0,15.0,34.0,5.157303370786515,1.4157303370786511,5.2561797752808985
PHI201408270,kendk001,2014-08-27,0,10.0,68.0,30.0,14.0,34.0,5.306358381502888,1.4219653179190748,5.35028901734104
ATL201409020,kendk001,2014-09-02,0,11.0,69.0,30.0,14.0,36.0,5.6842105263157885,1.4561403508771926,5.603508771929825
PHI201409080,kendk001,2014-09-08,0,8.0,61.0,32.0,14.0,29.0,4.474285714285713,1.2857142857142856,4.914285714285715
PHI201409130,kendk001,2014-09-13,0,8.0,65.0,35.0,16.0,28.0,4.223463687150837,1.3575418994413406,4.825698324022346
SDN201409180,kendk001,2014-09-18,0,8.0,67.0,40.0,15.0,23.0,3.3934426229508197,1.3442622950819672,4.478688524590164
MIA201409240,kendk001,2014-09-24,0,9.0,67.0,37.0,18.0,26.0,3.8784530386740332,1.408839779005525,4.956906077348067
MIL201504060,kendk001,2015-04-06,0,8.0,66.0,35.0,18.0,23.0,3.3934426229508197,1.3770491803278688,4.7901639344262295
COL201504110,kendk001,2015-04-11,0,8.0,68.0,38.0,17.0,22.0,3.2282608695652177,1.3858695652173914,4.683695652173913
LAN201504170,kendk001,2015-04-17,0,9.0,66.0,40.0,19.0,23.0,3.3750000000000004,1.3858695652173914,4.977173913043479
COL201504220,kendk001,2015-04-22,0,9.0,68.0,45.0,20.0,28.0,4.131147540983607,1.4426229508196722,4.872131147540983
ARI201504280,kendk001,2015-04-28,0,10.0,67.0,44.0,20.0,28.0,4.0864864864864865,1.4108108108108106,5.097297297297297
SDN201505030,kendk001,2015-05-03,0,11.0,70.0,40.0,20.0,31.0,4.65,1.5,5.5
ANA201505120,kendk001,2015-05-12,0,13.0,73.0,38.0,18.0,37.0,5.741379310344827,1.5689655172413792,5.993103448275862
LAN201505170,kendk001,2015-05-17,0,12.0,71.0,35.0,16.0,36.0,5.586206896551724,1.5,5.820689655172414
COL201505220,kendk001,2015-05-22,0,11.0,67.0,30.0,20.0,36.0,5.5227272727272725,1.4829545454545454,5.944318181818182
CIN201505270,kendk001,2015-05-27,0,11.0,66.0,32.0,19.0,36.0,5.4,1.4166666666666667,5.716666666666667
COL201506010,kendk001,2015-06-01,0,13.0,65.0,31.0,19.0,37.0,5.48901098901099,1.3846153846153848,6.150549450549452
