Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
ARI201407310,lockj001,2014-07-31,0,8.0,66.0,44.0,10.0,25.0,3.2926829268292677,1.1121951219512194,3.9170731707317072
PIT201408060,lockj001,2014-08-06,0,10.0,67.0,44.0,12.0,25.0,3.2926829268292677,1.1560975609756097,4.429268292682927
PIT201408110,lockj001,2014-08-11,0,11.0,70.0,46.0,11.0,27.0,3.5560975609756094,1.1853658536585365,4.517073170731708
WAS201408160,lockj001,2014-08-16,0,10.0,71.0,40.0,15.0,28.0,3.8571428571428568,1.3163265306122447,4.745918367346938
MIL201408220,lockj001,2014-08-22,0,10.0,72.0,44.0,16.0,26.0,3.599999999999999,1.3538461538461535,4.676923076923076
PIT201408270,lockj001,2014-08-27,0,10.0,66.0,40.0,20.0,25.0,3.5340314136125643,1.3507853403141357,4.974869109947644
SLN201409020,lockj001,2014-09-02,0,11.0,64.0,40.0,21.0,24.0,3.428571428571428,1.3492063492063489,5.247619047619047
PHI201409080,lockj001,2014-09-08,0,10.0,65.0,39.0,25.0,27.0,4.189655172413792,1.551724137931034,5.441379310344827
PIT201409130,lockj001,2014-09-13,0,10.0,59.0,43.0,25.0,27.0,4.142045454545453,1.4318181818181814,5.279545454545454
PIT201409190,lockj001,2014-09-19,0,9.0,58.0,45.0,26.0,27.0,4.1657142857142855,1.4399999999999997,5.051428571428572
ATL201409240,lockj001,2014-09-24,0,7.0,53.0,42.0,24.0,23.0,3.528409090909091,1.3125,4.7
MIL201504100,lockj001,2015-04-10,0,6.0,52.0,40.0,26.0,25.0,3.9244186046511627,1.3604651162790697,4.630232558139535
PIT201504180,lockj001,2015-04-18,0,5.0,53.0,35.0,27.0,24.0,3.857142857142857,1.4285714285714286,4.717857142857143
PIT201504230,lockj001,2015-04-23,0,5.0,49.0,40.0,23.0,22.0,3.3559322033898304,1.2203389830508475,4.2677966101694915
CHN201504280,lockj001,2015-04-28,0,5.0,52.0,41.0,24.0,26.0,4.0344827586206895,1.3103448275862069,4.303448275862069
PIT201505050,lockj001,2015-05-05,0,4.0,58.0,46.0,20.0,28.0,4.526946107784432,1.4011976047904193,3.7209580838323353
PIT201505100,lockj001,2015-05-10,0,5.0,59.0,48.0,20.0,31.0,5.042168674698796,1.4277108433734942,3.8867469879518075
CHN201505150,lockj001,2015-05-15,0,6.0,60.0,46.0,17.0,30.0,4.576271186440678,1.305084745762712,3.979661016949153
PIT201505200,lockj001,2015-05-20,0,8.0,63.0,41.0,20.0,34.0,5.497005988023952,1.4910179640718564,4.834730538922156
PIT201505260,lockj001,2015-05-26,0,7.0,64.0,42.0,19.0,34.0,5.431952662721894,1.473372781065089,4.495857988165681
SDN201505310,lockj001,2015-05-31,0,6.0,63.0,45.0,23.0,32.0,5.236363636363636,1.5636363636363637,4.290909090909091
ATL201506060,lockj001,2015-06-06,0,6.0,63.0,45.0,22.0,32.0,5.236363636363636,1.5454545454545454,4.236363636363636
