Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
SLN201405270,lynnl001,2014-05-27,0,4.0,59.0,59.0,20.0,23.0,3.45,1.3166666666666667,3.25
SLN201406010,lynnl001,2014-06-01,0,2.0,56.0,54.0,22.0,20.0,2.8125,1.21875,3.090625
TOR201406060,lynnl001,2014-06-06,0,2.0,56.0,52.0,26.0,18.0,2.6413043478260874,1.3369565217391306,3.297826086956522
SLN201406130,lynnl001,2014-06-13,0,4.0,59.0,47.0,27.0,20.0,3.0337078651685396,1.4494382022471912,3.958426966292135
SLN201406180,lynnl001,2014-06-18,0,3.0,56.0,50.0,24.0,19.0,2.7729729729729735,1.2972972972972976,3.4756756756756757
COL201406230,lynnl001,2014-06-23,0,2.0,57.0,46.0,26.0,20.0,2.9347826086956523,1.3532608695652175,3.4445652173913044
LAN201406280,lynnl001,2014-06-28,0,2.0,55.0,49.0,24.0,17.0,2.378238341968912,1.227979274611399,3.246632124352332
SLN201407040,lynnl001,2014-07-04,0,2.0,61.0,46.0,22.0,21.0,3.132596685082873,1.3756906077348068,3.2497237569060777
SLN201407090,lynnl001,2014-07-09,0,2.0,57.0,47.0,23.0,17.0,2.5081967213114753,1.3114754098360655,3.216393442622951
SLN201407180,lynnl001,2014-07-18,0,3.0,56.0,48.0,23.0,17.0,2.535911602209945,1.3093922651933703,3.3988950276243095
SLN201407230,lynnl001,2014-07-23,0,3.0,53.0,51.0,26.0,16.0,2.386740331491713,1.3093922651933703,3.448618784530387
SDN201407290,lynnl001,2014-07-29,0,3.0,54.0,56.0,26.0,17.0,2.6531791907514455,1.3872832369942198,3.338728323699422
SLN201408050,lynnl001,2014-08-05,0,3.0,50.0,60.0,25.0,15.0,2.237569060773481,1.243093922651934,3.2
