Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
CLE201405300,nicaj001,2014-05-30,0,9.0,54.0,37.0,19.0,23.0,3.61046511627907,1.2732558139534884,4.996511627906977
COL201406050,nicaj001,2014-06-05,0,9.0,59.0,33.0,18.0,27.0,4.418181818181819,1.4000000000000001,5.163636363636364
COL201406100,nicaj001,2014-06-10,0,11.0,62.0,30.0,17.0,28.0,4.55421686746988,1.4277108433734942,5.675903614457832
SFN201406150,nicaj001,2014-06-15,0,14.0,67.0,29.0,17.0,36.0,6.113207547169812,1.5849056603773588,6.558490566037737
COL201506021,nicaj001,2015-06-02,1,12.0,65.0,26.0,20.0,35.0,6.300000000000001,1.7000000000000002,6.540000000000001
PIT201604060,nicaj001,2016-04-06,0,10.0,60.0,23.0,18.0,31.0,5.853146853146854,1.6363636363636367,6.095104895104896
DET201604120,nicaj001,2016-04-12,0,11.0,59.0,28.0,17.0,32.0,6.171428571428573,1.628571428571429,6.157142857142858
PIT201604170,nicaj001,2016-04-17,0,11.0,63.0,31.0,17.0,35.0,7.052238805970151,1.7910447761194033,6.155223880597015
ARI201604230,nicaj001,2016-04-23,0,10.0,63.0,34.0,18.0,36.0,7.253731343283584,1.813432835820896,5.797014925373135
PIT201604290,nicaj001,2016-04-29,0,9.0,57.0,36.0,21.0,34.0,7.007633587786261,1.7862595419847331,5.673282442748093
PIT201605040,nicaj001,2016-05-04,0,9.0,58.0,39.0,18.0,34.0,6.850746268656718,1.7014925373134333,5.282089552238807
CIN201605110,nicaj001,2016-05-11,0,9.0,58.0,40.0,21.0,33.0,6.699248120300752,1.7819548872180453,5.455639097744362
PIT201605170,nicaj001,2016-05-17,0,8.0,51.0,42.0,20.0,32.0,6.400000000000001,1.577777777777778,5.044444444444445
TEX201605280,nicaj001,2016-05-28,0,6.0,48.0,46.0,21.0,25.0,4.85611510791367,1.4892086330935252,4.322302158273382
MIA201606020,nicaj001,2016-06-02,0,8.0,50.0,48.0,18.0,26.0,4.775510204081633,1.3877551020408165,4.5265306122448985
PIT201606072,nicaj001,2016-06-07,2,8.0,53.0,51.0,20.0,28.0,4.754716981132076,1.3773584905660379,4.426415094339623
NYN201606160,nicaj001,2016-06-16,0,7.0,54.0,51.0,22.0,28.0,4.846153846153847,1.4615384615384617,4.315384615384616
