Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
OAK201406150,nunov001,2014-06-15,0,8.0,53.0,39.0,16.0,25.0,4.192546583850932,1.285714285714286,4.6347826086956525
NYA201406210,nunov001,2014-06-21,0,10.0,58.0,35.0,15.0,31.0,5.400000000000001,1.4129032258064518,5.290322580645162
NYA201406270,nunov001,2014-06-27,0,12.0,59.0,35.0,15.0,32.0,5.366459627329194,1.3788819875776401,5.696894409937889
NYA201407020,nunov001,2014-07-02,0,11.0,56.0,38.0,14.0,28.0,4.609756097560977,1.2804878048780493,5.248780487804879
ARI201407080,nunov001,2014-07-08,0,11.0,60.0,40.0,14.0,29.0,4.893750000000002,1.3875000000000004,5.281250000000001
SFN201407130,nunov001,2014-07-13,0,10.0,59.0,46.0,11.0,24.0,3.789473684210528,1.228070175438597,4.498245614035088
ARI201407210,nunov001,2014-07-21,0,10.0,59.0,45.0,11.0,26.0,4.178571428571431,1.2500000000000004,4.610714285714287
PHI201407270,nunov001,2014-07-27,0,12.0,57.0,43.0,11.0,26.0,4.360248447204971,1.2670807453416155,5.231055900621119
ARI201408010,nunov001,2014-08-01,0,10.0,54.0,42.0,14.0,24.0,4.024844720496896,1.2670807453416155,4.951552795031057
ARI201408070,nunov001,2014-08-07,0,9.0,51.0,42.0,15.0,23.0,3.763636363636365,1.2000000000000004,4.727272727272728
CLE201408131,nunov001,2014-08-13,1,10.0,54.0,41.0,14.0,27.0,4.556250000000001,1.2750000000000004,5.000000000000001
WAS201408180,nunov001,2014-08-18,0,8.0,52.0,45.0,13.0,23.0,3.6964285714285725,1.160714285714286,4.253571428571429
ARI201408230,nunov001,2014-08-23,0,6.0,51.0,48.0,13.0,21.0,3.3352941176470594,1.1294117647058826,3.6764705882352944
ARI201408300,nunov001,2014-08-30,0,6.0,51.0,47.0,13.0,21.0,3.240000000000001,1.0971428571428574,3.748571428571429
LAN201409050,nunov001,2014-09-05,0,7.0,45.0,49.0,12.0,20.0,2.934782608695653,0.9293478260869568,3.770652173913044
ARI201409120,nunov001,2014-09-12,0,8.0,49.0,47.0,13.0,22.0,3.228260869565218,1.0108695652173916,4.145652173913044
COL201409180,nunov001,2014-09-18,0,8.0,51.0,45.0,13.0,24.0,3.5217391304347836,1.0434782608695656,4.161956521739131
MIN201409240,nunov001,2014-09-24,0,7.0,52.0,49.0,13.0,24.0,3.483870967741937,1.048387096774194,3.812903225806452
COL201508040,nunov001,2015-08-04,0,6.0,51.0,50.0,14.0,24.0,3.600000000000002,1.083333333333334,3.6833333333333336
SEA201508100,nunov001,2015-08-10,0,8.0,53.0,48.0,13.0,26.0,4.057803468208094,1.1445086705202319,4.171098265895955
BOS201508160,nunov001,2015-08-16,0,8.0,51.0,52.0,13.0,23.0,3.5284090909090926,1.0909090909090915,4.0181818181818185
SEA201508220,nunov001,2015-08-22,0,10.0,54.0,48.0,14.0,25.0,3.924418604651165,1.1860465116279078,4.682558139534885
HOU201508310,nunov001,2015-08-31,0,10.0,54.0,45.0,13.0,24.0,3.7894736842105283,1.1754385964912286,4.796491228070177
SEA201509090,nunov001,2015-09-09,0,13.0,59.0,43.0,13.0,29.0,4.68862275449102,1.2934131736526953,5.607185628742516
TEX201509190,nunov001,2015-09-19,0,12.0,58.0,46.0,15.0,28.0,4.609756097560978,1.335365853658537,5.523170731707318
ANA201509250,nunov001,2015-09-25,0,11.0,56.0,44.0,17.0,28.0,4.941176470588237,1.4313725490196085,5.631372549019609
SEA201509290,nunov001,2015-09-29,0,11.0,57.0,46.0,16.0,27.0,4.827814569536426,1.450331125827815,5.524503311258279
SEA201510040,nunov001,2015-10-04,0,11.0,55.0,44.0,15.0,27.0,4.860000000000002,1.4000000000000006,5.560000000000001
