Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
MIL201405310,peraw001,2014-05-31,0,7.0,63.0,49.0,16.0,15.0,2.1204188481675392,1.2408376963350787,3.891099476439791
MIN201406050,peraw001,2014-06-05,0,8.0,63.0,48.0,16.0,17.0,2.378238341968912,1.227979274611399,4.117098445595855
NYN201406110,peraw001,2014-06-11,0,8.0,64.0,48.0,17.0,20.0,2.903225806451613,1.3064516129032258,4.2
ARI201406160,peraw001,2014-06-16,0,7.0,62.0,48.0,17.0,20.0,2.903225806451613,1.2741935483870968,3.990322580645161
COL201406210,peraw001,2014-06-21,0,6.0,65.0,48.0,16.0,21.0,3.032085561497326,1.299465240641711,3.7294117647058824
MIL201406260,peraw001,2014-06-26,0,6.0,65.0,44.0,16.0,21.0,3.0159574468085104,1.2925531914893615,3.8542553191489364
TOR201407020,peraw001,2014-07-02,0,7.0,70.0,44.0,16.0,25.0,3.7292817679558006,1.4254143646408837,4.095027624309393
MIL201407080,peraw001,2014-07-08,0,8.0,68.0,45.0,19.0,27.0,4.027624309392264,1.4419889502762429,4.4265193370165745
MIL201407130,peraw001,2014-07-13,0,9.0,71.0,45.0,21.0,33.0,5.15028901734104,1.5953757225433525,4.81271676300578
MIL201407210,peraw001,2014-07-21,0,8.0,65.0,45.0,17.0,31.0,4.675977653631285,1.3743016759776536,4.339664804469274
MIL201407260,peraw001,2014-07-26,0,9.0,62.0,45.0,17.0,31.0,4.5989010989010985,1.302197802197802,4.584615384615384
SLN201408010,peraw001,2014-08-01,0,8.0,63.0,42.0,18.0,29.0,4.302197802197802,1.335164835164835,4.518681318681319
MIL201408070,peraw001,2014-08-07,0,8.0,63.0,41.0,19.0,27.0,3.877659574468084,1.3085106382978722,4.556382978723404
CHN201408120,peraw001,2014-08-12,0,8.0,66.0,47.0,19.0,26.0,3.7142857142857135,1.3492063492063489,4.406349206349207
LAN201408170,peraw001,2014-08-17,0,9.0,64.0,44.0,21.0,26.0,3.734042553191489,1.356382978723404,4.763829787234043
MIL201408230,peraw001,2014-08-23,0,8.0,61.0,47.0,23.0,23.0,3.3749999999999996,1.3695652173913042,4.585869565217392
SFN201408290,peraw001,2014-08-29,0,10.0,60.0,45.0,24.0,26.0,3.8571428571428568,1.3846153846153846,5.1450549450549445
MIL201409040,peraw001,2014-09-04,0,8.0,60.0,42.0,23.0,28.0,4.369942196531792,1.4393063583815027,4.899421965317919
MIL201409100,peraw001,2014-09-10,0,7.0,59.0,45.0,22.0,24.0,3.640449438202247,1.3651685393258426,4.582022471910113
SLN201409160,peraw001,2014-09-16,0,8.0,61.0,45.0,25.0,25.0,3.8135593220338984,1.4576271186440677,4.96271186440678
PIT201409210,peraw001,2014-09-21,0,7.0,63.0,43.0,24.0,26.0,3.9661016949152543,1.4745762711864407,4.708474576271186
MIL201409270,peraw001,2014-09-27,0,6.0,62.0,45.0,24.0,25.0,3.7292817679558015,1.4254143646408841,4.393370165745857
MIL201504080,peraw001,2015-04-08,0,5.0,62.0,55.0,21.0,24.0,3.560439560439561,1.3681318681318684,3.6945054945054947
SLN201504150,peraw001,2015-04-15,0,6.0,62.0,48.0,20.0,26.0,3.8360655737704925,1.3442622950819676,4.036065573770492
MIL201504200,peraw001,2015-04-20,0,5.0,65.0,46.0,19.0,27.0,4.072625698324023,1.4078212290502796,3.8536312849162013
MIL201504250,peraw001,2015-04-25,0,7.0,68.0,46.0,19.0,33.0,4.895604395604396,1.4340659340659343,4.271428571428572
CHN201505010,peraw001,2015-05-01,0,4.0,68.0,45.0,17.0,28.0,4.086486486486487,1.3783783783783785,3.556756756756757
MIL201505060,peraw001,2015-05-06,0,5.0,67.0,50.0,17.0,23.0,3.201030927835052,1.2989690721649487,3.58659793814433
MIL201505110,peraw001,2015-05-11,0,7.0,67.0,49.0,15.0,22.0,2.9700000000000006,1.2300000000000002,3.8150000000000004
NYN201505170,peraw001,2015-05-17,0,7.0,68.0,48.0,13.0,23.0,3.136363636363637,1.2272727272727275,3.7606060606060607
ATL201505220,peraw001,2015-05-22,0,8.0,72.0,50.0,14.0,26.0,3.656250000000001,1.3437500000000002,3.965625
SFN201507280,peraw001,2015-07-28,0,8.0,68.0,48.0,13.0,25.0,3.688524590163935,1.3278688524590168,4.0688524590163935
MIL201508030,peraw001,2015-08-03,0,8.0,68.0,38.0,14.0,24.0,3.600000000000001,1.366666666666667,4.466666666666667
MIL201508080,peraw001,2015-08-08,0,8.0,69.0,38.0,17.0,28.0,4.473372781065089,1.5266272189349115,4.708875739644971
MIL201508140,peraw001,2015-08-14,0,9.0,64.0,39.0,17.0,27.0,4.165714285714286,1.3885714285714288,4.845714285714286
MIL201508190,peraw001,2015-08-19,0,7.0,62.0,37.0,16.0,21.0,3.258620689655173,1.3448275862068968,4.424137931034483
CLE201508250,peraw001,2015-08-25,0,8.0,64.0,35.0,18.0,25.0,3.9473684210526327,1.4385964912280704,4.849122807017545
MIL201508300,peraw001,2015-08-30,0,7.0,62.0,30.0,18.0,26.0,4.36024844720497,1.490683229813665,4.839751552795032
CIN201509052,peraw001,2015-09-05,2,5.0,62.0,30.0,18.0,25.0,4.272151898734179,1.5189873417721524,4.377215189873418
PIT201509100,peraw001,2015-09-10,0,4.0,58.0,26.0,18.0,23.0,4.253424657534248,1.5616438356164388,4.432876712328768
MIL201509160,peraw001,2015-09-16,0,3.0,54.0,23.0,19.0,19.0,3.4429530201342295,1.4697986577181212,4.32751677852349
CHN201509210,peraw001,2015-09-21,0,6.0,59.0,23.0,19.0,24.0,4.348993288590606,1.5704697986577187,5.052348993288591
MIL201604040,peraw001,2016-04-04,0,6.0,62.0,22.0,21.0,30.0,5.586206896551726,1.7172413793103456,5.331034482758621
MIL201604090,peraw001,2016-04-09,0,5.0,60.0,22.0,20.0,28.0,5.142857142857145,1.6326530612244905,4.975510204081633
SLN201604140,peraw001,2016-04-14,0,7.0,62.0,24.0,23.0,31.0,6.021582733812952,1.8345323741007202,5.746762589928059
MIN201604190,peraw001,2016-04-19,0,8.0,63.0,26.0,23.0,36.0,7.253731343283586,1.9253731343283593,6.110447761194031
MIL201604240,peraw001,2016-04-24,0,7.0,59.0,26.0,24.0,32.0,6.447761194029854,1.8582089552238816,5.886567164179106
MIL201605010,peraw001,2016-05-01,0,7.0,60.0,30.0,22.0,33.0,6.187500000000003,1.7083333333333341,5.470833333333335
MIA201605090,peraw001,2016-05-09,0,8.0,66.0,24.0,23.0,37.0,7.13571428571429,1.9071428571428581,6.135714285714288
MIL201605140,peraw001,2016-05-14,0,8.0,74.0,28.0,24.0,39.0,6.973509933774837,1.9470198675496697,5.762913907284769
NYN201605200,peraw001,2016-05-20,0,10.0,77.0,29.0,24.0,44.0,8.081632653061227,2.061224489795919,6.322448979591838
ATL201605260,peraw001,2016-05-26,0,8.0,77.0,33.0,24.0,42.0,7.460526315789477,1.9934210526315799,5.607894736842106
MIL201605310,peraw001,2016-05-31,0,9.0,76.0,35.0,22.0,38.0,6.662337662337665,1.9090909090909098,5.5766233766233775
PHI201606050,peraw001,2016-06-05,0,9.0,79.0,35.0,22.0,37.0,6.403846153846157,1.9423076923076932,5.546153846153848
MIL201606110,peraw001,2016-06-11,0,7.0,79.0,32.0,19.0,34.0,5.884615384615387,1.8846153846153855,4.988461538461539
MIL201608090,peraw001,2016-08-09,0,8.0,77.0,31.0,18.0,32.0,5.538461538461541,1.8269230769230778,5.161538461538463
MIL201608140,peraw001,2016-08-14,0,8.0,76.0,35.0,17.0,31.0,5.264150943396229,1.7547169811320762,4.916981132075472
SEA201608200,peraw001,2016-08-20,0,8.0,73.0,35.0,18.0,29.0,4.924528301886794,1.7169811320754724,4.916981132075472
MIL201608250,peraw001,2016-08-25,0,9.0,68.0,36.0,19.0,28.0,4.725000000000001,1.6312500000000005,5.168750000000001
MIL201608300,peraw001,2016-08-30,0,10.0,63.0,37.0,20.0,28.0,4.784810126582281,1.5759493670886082,5.4594936708860775
MIL201609060,peraw001,2016-09-06,0,9.0,58.0,44.0,18.0,23.0,3.78658536585366,1.3902439024390247,4.773170731707317
CIN201609120,peraw001,2016-09-12,0,11.0,58.0,44.0,17.0,24.0,3.8117647058823545,1.3235294117647065,5.070588235294118
CHN201609180,peraw001,2016-09-18,0,10.0,57.0,45.0,16.0,25.0,3.9244186046511644,1.2732558139534889,4.734883720930234
MIL201609250,peraw001,2016-09-25,0,10.0,57.0,48.0,15.0,23.0,3.528409090909092,1.2272727272727277,4.546590909090909
COL201610010,peraw001,2016-10-01,0,9.0,55.0,52.0,17.0,22.0,3.300000000000001,1.2000000000000004,4.2666666666666675
MIL201704050,peraw001,2017-04-05,0,7.0,55.0,51.0,16.0,19.0,2.8032786885245913,1.1639344262295088,3.806557377049181
TOR201704110,peraw001,2017-04-11,0,7.0,54.0,50.0,14.0,18.0,2.700000000000001,1.133333333333334,3.7500000000000004
CIN201704160,peraw001,2017-04-16,0,7.0,55.0,52.0,17.0,20.0,3.016759776536314,1.2067039106145256,3.8368715083798888
MIL201704210,peraw001,2017-04-21,0,6.0,50.0,52.0,18.0,18.0,2.7150837988826826,1.139664804469274,3.7195530726256987
MIL201704260,peraw001,2017-04-26,0,6.0,54.0,47.0,15.0,22.0,3.3750000000000013,1.1761363636363642,3.745454545454546
SLN201705020,peraw001,2017-05-02,0,9.0,59.0,44.0,16.0,25.0,3.9473684210526336,1.3157894736842113,4.6035087719298255
MIL201705090,peraw001,2017-05-09,0,6.0,58.0,45.0,17.0,21.0,3.4573170731707332,1.3719512195121957,3.9682926829268297
MIL201705140,peraw001,2017-05-14,0,7.0,57.0,44.0,19.0,21.0,3.5660377358490583,1.433962264150944,4.3886792452830194
