Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
PIT201405240,stras001,2014-05-24,0,4.0,63.0,74.0,15.0,23.0,3.3934426229508197,1.278688524590164,2.511475409836066
WAS201405300,stras001,2014-05-30,0,4.0,65.0,71.0,14.0,22.0,3.2108108108108104,1.2810810810810809,2.6162162162162166
WAS201406040,stras001,2014-06-04,0,4.0,63.0,74.0,12.0,19.0,2.6999999999999997,1.1842105263157894,2.442105263157895
SFN201406090,stras001,2014-06-09,0,4.0,67.0,73.0,11.0,20.0,2.827225130890052,1.2251308900523559,2.3832460732984293
SLN201406140,stras001,2014-06-14,0,3.0,63.0,75.0,9.0,15.0,2.0558375634517767,1.0964467005076142,2.0578680203045687
WAS201406200,stras001,2014-06-20,0,4.0,65.0,71.0,8.0,15.0,2.0351758793969847,1.1005025125628138,2.34070351758794
MIL201406250,stras001,2014-06-25,0,5.0,67.0,68.0,6.0,19.0,2.6173469387755097,1.11734693877551,2.5265306122448985
WAS201407010,stras001,2014-07-01,0,6.0,69.0,65.0,8.0,26.0,3.637305699481865,1.1968911917098444,2.904663212435233
WAS201407070,stras001,2014-07-07,0,7.0,67.0,67.0,7.0,25.0,3.4793814432989683,1.1443298969072162,2.9989690721649485
PHI201407120,stras001,2014-07-12,0,8.0,63.0,70.0,7.0,24.0,3.3402061855670095,1.0824742268041234,3.107216494845361
WAS201407180,stras001,2014-07-18,0,8.0,64.0,75.0,8.0,24.0,3.4105263157894723,1.1368421052631574,2.9000000000000004
COL201407230,stras001,2014-07-23,0,9.0,64.0,77.0,8.0,25.0,3.5526315789473673,1.1368421052631574,2.9947368421052634
MIA201407290,stras001,2014-07-29,0,9.0,67.0,73.0,9.0,28.0,4.02127659574468,1.2127659574468082,3.168085106382979
WAS201408030,stras001,2014-08-03,0,8.0,64.0,66.0,11.0,27.0,3.8776595744680837,1.1968085106382975,3.279787234042553
ATL201408080,stras001,2014-08-08,0,8.0,63.0,69.0,12.0,26.0,3.675392670157067,1.1780104712041881,3.2314136125654453
NYN201408140,stras001,2014-08-14,0,11.0,63.0,73.0,14.0,31.0,4.499999999999999,1.2419354838709675,3.829032258064516
WAS201408190,stras001,2014-08-19,0,10.0,57.0,73.0,16.0,27.0,3.8571428571428563,1.1587301587301584,3.707936507936508
WAS201408240,stras001,2014-08-24,0,9.0,52.0,75.0,14.0,21.0,2.8492462311557785,0.9949748743718592,3.335678391959799
SEA201408300,stras001,2014-08-30,0,10.0,55.0,71.0,15.0,25.0,3.590425531914893,1.1170212765957446,3.7265957446808513
WAS201409050,stras001,2014-09-05,0,10.0,57.0,70.0,15.0,24.0,3.410526315789473,1.1368421052631577,3.7526315789473683
WAS201409100,stras001,2014-09-10,0,10.0,54.0,66.0,13.0,23.0,3.25130890052356,1.0523560209424083,3.781151832460733
ATL201409150,stras001,2014-09-15,0,9.0,54.0,65.0,12.0,22.0,3.142857142857143,1.0476190476190477,3.6126984126984127
MIA201409210,stras001,2014-09-21,0,9.0,50.0,67.0,10.0,19.0,2.6443298969072164,0.9278350515463917,3.4474226804123713
WAS201409270,stras001,2014-09-27,0,9.0,49.0,68.0,10.0,18.0,2.5051546391752577,0.9123711340206185,3.416494845360825
WAS201504090,stras001,2015-04-09,0,9.0,48.0,65.0,10.0,18.0,2.544502617801047,0.9109947643979057,3.5141361256544505
BOS201504140,stras001,2015-04-14,0,5.0,50.0,61.0,11.0,14.0,1.96875,0.953125,2.91875
WAS201504190,stras001,2015-04-19,0,6.0,57.0,58.0,9.0,19.0,2.7433155080213907,1.0588235294117647,3.167914438502674
MIA201504250,stras001,2015-04-25,0,5.0,59.0,61.0,10.0,19.0,2.7729729729729735,1.118918918918919,2.908108108108108
NYN201504300,stras001,2015-04-30,0,3.0,59.0,63.0,10.0,18.0,2.5445026178010477,1.0837696335078535,2.4460732984293196
