Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
TOR201905240,thort002,2019-05-24,0,8.0,41.0,50.0,22.0,23.0,4.224489795918367,1.2857142857142858,4.689795918367347
TBA201905290,thort002,2019-05-29,0,10.0,43.0,52.0,25.0,26.0,4.68,1.36,5.28
TOR201906050,thort002,2019-06-05,0,9.0,47.0,50.0,26.0,27.0,4.959183673469388,1.489795918367347,5.2
BAL201906110,thort002,2019-06-11,0,7.0,44.0,51.0,27.0,26.0,4.588235294117647,1.392156862745098,4.631372549019608
HOU201906160,thort002,2019-06-16,0,7.0,45.0,52.0,27.0,26.0,4.558441558441558,1.4025974025974026,4.583116883116883
BOS201906210,thort002,2019-06-21,0,6.0,45.0,54.0,30.0,22.0,3.7358490566037736,1.4150943396226414,4.388679245283019
NYA201906260,thort002,2019-06-26,0,6.0,51.0,54.0,26.0,22.0,3.6441717791411046,1.4171779141104295,4.138650306748467
TOR201907020,thort002,2019-07-02,0,8.0,57.0,53.0,26.0,27.0,4.796052631578948,1.6381578947368423,4.75921052631579
TOR201907070,thort002,2019-07-07,0,7.0,61.0,53.0,25.0,29.0,5.084415584415585,1.6753246753246755,4.427272727272728
BOS201907150,thort002,2019-07-15,0,6.0,61.0,51.0,20.0,27.0,4.703225806451614,1.5677419354838713,3.9548387096774196
DET201907200,thort002,2019-07-20,0,7.0,63.0,47.0,22.0,31.0,5.936170212765958,1.8085106382978726,4.540425531914894
BAL201908010,thort002,2019-08-01,0,6.0,62.0,40.0,19.0,31.0,6.340909090909092,1.8409090909090913,4.45
TBA201908060,thort002,2019-08-06,0,6.0,60.0,37.0,16.0,29.0,5.757352941176471,1.6764705882352944,4.413235294117648
TOR201908110,thort002,2019-08-11,0,8.0,63.0,35.0,14.0,31.0,6.340909090909092,1.7500000000000002,4.995454545454546
TOR201908170,thort002,2019-08-17,0,8.0,59.0,37.0,12.0,29.0,5.843283582089554,1.5895522388059704,4.811940298507463
SEA201908230,thort002,2019-08-23,0,9.0,58.0,33.0,13.0,32.0,6.5954198473282455,1.6259541984732828,5.398473282442749
TOR201908300,thort002,2019-08-30,0,11.0,59.0,30.0,13.0,34.0,7.403225806451614,1.741935483870968,6.296774193548387
TBA201909050,thort002,2019-09-05,0,10.0,58.0,32.0,11.0,32.0,6.697674418604652,1.6046511627906979,5.641860465116279
TOR201909280,thort002,2019-09-28,0,9.0,51.0,35.0,13.0,26.0,5.200000000000001,1.4222222222222225,5.377777777777778
WAS202007270,thort002,2020-07-27,0,9.0,49.0,38.0,17.0,26.0,5.318181818181819,1.5000000000000002,5.563636363636364
TOR202008202,thort002,2020-08-20,2,8.0,52.0,41.0,16.0,22.0,4.242857142857144,1.4571428571428575,4.957142857142857
TBA202008230,thort002,2020-08-23,0,7.0,54.0,39.0,17.0,23.0,4.669172932330828,1.6015037593984967,4.914285714285715
